nama,komentar
adhe,terkecoh banget sama variannya ternyata yang di klik 9a. bukan 9c. semoga awet deh ya hpnya. thx seller
Widyat,"Hp nya bagus. Tapi TG parah, sdh kotor di bagian lengketnya dari awal. Jd gak bisa dipake. Case nya kasar banget, mending case yg transparan aja sekalian. Padahal bayar l... "
sumarno,Pelayanan toko bagus. Hanya bagian pengiriman yg agak lambat
Putri,Siip mantap
pagar,"Produk original, pengiriman lumayan cepet. Belum di coba.. Tp looks ok nih.. Recommended seller."
A***w,brg dh nyampe mulus g da cacat
I***n,yang penting gercap barang aman k sipp
FiqihDwiSaputra,pelyanan admin dan pengiriman sangat memuaskanBarangnya original 👍. Ada garansi resmi.
Mohammad,"Pengiriman serta respon penjual cepat, tapi bonus nya tidak sesuai harapan; Order warna grey yg dikirim warna kemerahan stand holder nya malah jadi stand mic tempared gla... "
A***n,"Barangnya original 👍. Spesifikasi sesuai . Kelengkapan sesuai. Kemasan disegel. Warna sesuai pesanan. Berfungsi dengan baik. Barangnya mulus. Proses pesanan cepat. Packa... "
Y***a,Diterima dengan selamat meskipun ga dapet bonus apa2. Chat ga dibales2
Heyo,"HP sampai dgn cepat, dan kondisi baik... Terima kasih"
Rifqi,Ada garansi resmi. Barangnya original 👍. Kemasan disegel.
Ristriono,Thanks yaaa fast respons🙏
m***a,bgs tp bonusnya kurang bermanfaat
Bigah,"pengiriman cepat, seller responsif"
Kemal,"barang semuanya ok, cuman bonus nya g dapat... dipostingan iklan nya katanya dapat aneka bonus tp g apalah yg penting HP nya sudah mendarat dgn selamat tks"
Otanxyanuar,"Harusnya bisa bintang 5, tapi karena di sana ketulis ada bonus macem2 tp pas nyampe kaga ada 1 pun dapet apa2."
R***n,pengiriman cepat barang sesuai
M***i,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job
M***s,"Di gambar warna hitam, yg datang oren"
Vaundra,sangat puas belnja di toko ini
Noni,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job
M***s,"Di gambar warna hitam, yg datang oren"
Vaundra,sangat puas belnja di toko ini
Noni,
