,nama,komentar,rating
0,v***o,barang tidak datang....sampai sekarang. di komplain...malah di menangkan sama penjual,1
1,W***y,"sudah pilih pengiriman nextday, ternyata alhasil 5 hari barang baru sampai,",1
2,Suwantun,ty,1
3,Abu,"barang oke tapi judul anda ini loh menipu saya bos, emang salah saya kurang teliti cari toko",1
4,Miyanno,"awalnya ragu ada buyer lain komplain beli pake gift lengkap tapi dapatnya ga lengkap..(malah harganya lebih mahal untuk accesories standar), AKHIRNYA NGERASAIN KEKECEWAAN... ",1
5,Miyanno,Padahal sudah pesat gift lengkap tapi tidak ada softcase Di deskripsi tidak ada keterangan gift harus pilih tidak dapat semua. Pdhal nama varianya gift lengkap lucu aja.... ,1
6,K***k,Beda tipe bonus yg dikirim dgn foto yg ada di toko.,1
7,Z***a,tidak sesui sama pesanan...judulnya tidak jelas dan menjebak pembeli,1
8,A***y,"Pengemasan agak lama, beli yg sama bonus stand hp dikasihnya stand mic dkira buat karoke ap ya 🤣 , bonus casing casingnya ga di kasih, popsocket pun gada kl gt ngapain b... ",1
9,benazir,versi berapa? tidak bisa donlod aplikasi tertentu,1
10,P***a,saya pesen yg 9c bukan 9A hadeeeeeeeeeeeeeeeeeeeeseeeeeeeeeeeeeeeeeee,1
11,Lidy,repacking,1
12,d***e,official kok begini jual barang second tapi disegel ulang,1
13,M***n,BARANG BARU RASA SECOND ALIAS REPACK!!!,1
14,E***y,repack alias barang second baek2 yg beli disini,1
15,M***y,repack garansi ud lewat sebulan,1
16,M***y,repack garansi aktif sebulan ud lewat,1
17,M***y,"kualitas barang sesuai harga. pengiriman lama, 3 hari baru dikirim setelah konfirmasi pemesanan.",1
18,M***y,"katanya ada bonus sofcase, temperglas dll padahal saya sudah ingatkan sebelum pengiriman. 🤪, saya minta dikirim lagi krn itu hak saya loh",1
19,A***l,Ternyata extra bonus nya cuma tipu tipu,1
20,Rae,ini knapa ya keder gua ktnya ada bonus kiranya klo gk ada bonus blng gak ada blang ada mna gak ada sue,1
21,Bahrudin,"BONUS DI GAMBAR TIDAK SESUAI REALITA, BONUS NYA CUMA : TRIPOD , KARTU PERDANA, KANTONG ANTI AIR BONUS YANG PENTING : TAMPERGLASS dan SOFT CASE TIDAK ADA",1
22,D***p,"barang yg datang hanya unit HP, sedangkan gambar yg dipajang ada bonus macam2.",1
23,Arie,"katanya ada bonus sofcase, temperglas dll padahal saya sudah ingatkan sebelum pengiriman. 🤪, saya minta dikirim lagi krn itu hak saya loh",1
24,I***a,Ternyata extra bonus nya cuma tipu tipu,1
25,Rae,ini knapa ya keder gua ktnya ada bonus kiranya klo gk ada bonus blng gak ada blang ada mna gak ada sue,1
26,Bahrudin,"BONUS DI GAMBAR TIDAK SESUAI REALITA, BONUS NYA CUMA : TRIPOD , KARTU PERDANA, KANTONG ANTI AIR BONUS YANG PENTING : TAMPERGLASS dan SOFT CASE TIDAK ADA",1
27,D***p,"barang yg datang hanya unit HP, sedangkan gambar yg dipajang ada bonus macam2.",1
28,Arie,,1
29,I***a,,1
