,nama,komentar,rating
0,R***I,kotak nya agak rusak sedikit tpi mudah2an hp nya ga ppa blum di buka soal nya. dan kurir nya paket nya di titipin gak di anterin di rumah lumayan jauh juga ngambil paket... ,4
1,ence,"pengiriman cepat, barang sesuai pesanan mantuul",4
2,F***a,ini pembelian kedua karena hape pertama ilang. hape kedua ini kayanya dapet gacha an:( batre nya boros pars dahal baru beli,4
3,Sururyadi,"barang nya da sampai untuk sementara puas, yang pasti kurir nya cepat bener",4
4,Alfian,"Masalah sms premium, tidak ada setting. Setelah factory reset bbrp kali, baru berhasil. pulsa terpakai 50 rb lbh",4
5,Setiawan,"packing, waktu pengiriman standar",4
6,M***r,jos,4
7,H***o,"Mantap, order tadi pagi sekitar jam 10 an barang nyampe jam 13 an Belum buka total sih karna buat anak, biar buka sendiri terutama segelnya Puas dengan palayanannya",4
8,HARRIS,Mantap,4
9,Basri,Mantaaaab bos 👍👍👍👍,4
10,F***y,"Barang berfungsi dengan baik. Mudah digunakan. Packaging Aman. Kualitas sesuai harga. , dan respon seller rama banget udah berkali"" belanja di sini gak pernah kecewa.",4
11,Leonardo,Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Barangnya mulus.,4
12,Dudus,Barangnya original 👍. Kelengkapan sesuai. Spesifikasi sesuai .,4
13,I***a,,4
