,nama,komentar,rating,kelas
0,Zaenal,siap Sdh diterima segel semoga TDK ada kendala kedepan.terimakasih seller,5,Sangat-baik
1,Nugroho,Mantap,5,Sangat-baik
2,M***d,mantap,5,Sangat-baik
3,F***h,"pengiriman sehari langsung sampai, barang masih tersegel, Poco M4 PRO #POCOnyaBeraksi",5,Sangat-baik
4,R***y,barang sampai dengan baik,5,Sangat-baik
5,Didik,"Barang sesuai dengan deskripsi, kemasan bagus dan aman sampai tujuan, respon penjual cepat.",5,Sangat-baik
6,Mirza,Mantul ini mah.,5,Sangat-baik
7,sarifudin,Barang masih segel Sesuai dengan pesanan Belum dicoba semoga berfungsi dengan baik,5,Sangat-baik
8,wahyu,"pengiriman sangat cepat, respon baik, recommended seller",5,Sangat-baik
9,Aria,barang mantap respon cepat,5,Sangat-baik
10,Z***k,"Packing aman, barang masih tersegel, berfungsi dengan baik.",5,Sangat-baik
11,Eddy,"hp masih disegel, garansi resmi",5,Sangat-baik
12,A***d,Produk bekerja dengan baik,5,Sangat-baik
13,Fira,Pengemasan aman. Barang juga oke. Makasih seller,5,Sangat-baik
14,Aa,top pengiriman cepat barang sesuai,5,Sangat-baik
15,Jasmine,"mantap beli disini, pengirimannya cepat dan packingnya aman pakai dus 👍😁",5,Sangat-baik
16,agus,keren barang nya,5,Sangat-baik
17,rolis,"pelayanan toko bagus, Tokopedia bagus, cuma pengiriman lewat estimasi, terimakasih seller & Tokopedia.",5,Sangat-baik
18,Yulianto,"Pengiriman cepat, Barang masih segel, kualitas bagus ... Semoga awet",5,Sangat-baik
19,m***o,barang nya bagus sampai sekarang cuman takut aja update software katanya bikin lag dan sebelumnya pakai redmi note 7 lancar jaya abis update software malah tambah berat d... ,5,Sangat-baik
20,A***s,sangat cepat respon nya dan kualitas bagus bungkus nya sangat rapih,5,Sangat-baik
21,M***d,keren,5,Sangat-baik
22,De,Alhamdulillah barang sudah sampai tak kurang suatu apapun,5,Sangat-baik
23,Muhamad,good. konsumen suka..,5,Sangat-baik
24,Indra,"sampainya cepet banget, barang oke, mantab deh pokoknya",5,Sangat-baik
25,Agus,Barang berkualitas. bagus sy suka. Pengirimannya pake instant jadi cepat. Semoga awet dan lancar.,5,Sangat-baik
26,Ari,barang diterima dengan baik. fungsi belom di coba. terimakasih,5,Sangat-baik
27,R***a,Barang rapi tersegel saat sampai. belum sempat dipakai. semoga saja dengan Ram besar 8/256 hp ini akan awet. terimakasih seller...,5,Sangat-baik
28,Puja,barang nya cepat sampai😍 dan suka banget pakingnya rapih dan amanah 🥰,5,Sangat-baik
29,Eka,barang bagus. manteplah,5,Sangat-baik
30,L***a,aman banget packingnya. sampe cepat dan kualitas bagus sih. semoga tahan lama. gak nyesel belanja via tokped. semoga experience waktu makenya bagus,5,Sangat-baik
31,Break,barang official dari xiaomi pasti sudah terjamin aman,5,Sangat-baik
32,Nova,Xiaomi Poco M4 Pro bagus 🎣,5,Sangat-baik
33,Sani,"Packing ok, Pengiriman cepet banget... Barang berfungsi ..",5,Sangat-baik
34,Ega,"mantap 3 hari test lancar gada kendala, seler fast respon banget, oke banget dah",5,Sangat-baik
35,abdullah,moga awet,5,Sangat-baik
36,Y***n,"barang tersegel dengan baik, packing aman, produk okeh sesuai deskripsi",5,Sangat-baik
37,T***i,"bagus, berfungsi dengan baik dan aman bngt",5,Sangat-baik
38,R***i,"barang masih trsegel, pgriman std barang mulus smoga awet",5,Sangat-baik
39,Roni,,5,Sangat-baik
40,Rafi,"Barang sampai dengan aman, lumayan lah... baru nyalain udah panas",4,Baik
41,Prima,"Terima kasih paket telah diterima dengan baik. Namun perlu ditingkatkan untuk proses ke pengirimannya, harusnya bisa jemput bola jika kurir ada kendala pickup.. kalau tun... ",4,Baik
42,Sangbima,sudah diterima dengan selamat. tenkyu,4,Baik
43,N***r,Bagus sesuai tapi pengiriman lama banget.,4,Baik
44,Tobi,"pengiriman cepat, PENGEMASAN BURUK POOOL.",4,Baik
45,Reyhan,"barang bagus, sesuai pesanan, tpi pengiriman lama tidak sesuai / melebihi estimasi pesanan. itu saja makasih",4,Baik
46,Rifandy,"paket udh diterima,alhamdulilah",4,Baik
47,Indra,best prize best choice no cacat process officials store luambatttt polllll,4,Baik
48,A***k,"Tolong perhatikan pelayananan kurir, terutama dari perusahaan jasanya. Kata kurir, yang memutuskan pengiriman sampai / tidak itu tergantung perusahaan jasa kurir tersebut... ",4,Baik
49,MS,Barang original resmi. Tapi sangat kecewa dengan pengirimannya sangat lama. Pesan hari jum’at di kirim hari selasa. Packing sangat simple ga safety,4,Baik
50,R***i,"Product sesuai, lebih mantab lagi bonus sd card",4,Baik
51,Ikhwanul,Barangnya original 👍 Kemasan disegel Ada garansi resmi Warna sesuai pesanan Barangnya mulus Packaging rapi Packaging aman 🙏,4,Baik
