,nama,komentar,rating
0,Harry,kadang kamera tiba-tiba error,3
1,Soni,"Barang bagus dan berfungsi baik, ttp respon admin utk mengirim barangnya lambat.",3
2,D,pengirimanya lama,3
3,S***n,"pengirimannya tiba di hari terakhir estimasi, sempat khawatir, namun akhirnya datang juga",3
4,AWu,"Tidak bisa pakai TF card , kalo masuk TF card gak bisa operasi , Hang display. sdh coba ganti 3 TF card yg berbeda.",3
5,F***a,Pengiriman lama. Hampir 1 minggu baru sampai,3
6,Nandang,Pengiriman barang memakai jasa pengiriman yg lambat. Jakarta - Bandung 4 hr,3
7,H***i,Packing kurang aman,3
8,Daniarti,"produknya ori, tp speaker nya bermasalah nih. bs retur ga ya",3
9,Geary,hp bagus.. yg kurang cuma pelayanan dr admin nya. seperti chat sma robot. admin jg slow respon banget. smoga bisa ditingkatkan,3
