nama,komentar
Zaenal,siap Sdh diterima segel semoga TDK ada kendala kedepan.terimakasih seller
Nugroho,Mantap
M***d,mantap
F***h,"pengiriman sehari langsung sampai, barang masih tersegel, Poco M4 PRO #POCOnyaBeraksi"
R***y,barang sampai dengan baik
Didik,"Barang sesuai dengan deskripsi, kemasan bagus dan aman sampai tujuan, respon penjual cepat."
Mirza,Mantul ini mah.
sarifudin,Barang masih segel Sesuai dengan pesanan Belum dicoba semoga berfungsi dengan baik
wahyu,"pengiriman sangat cepat, respon baik, recommended seller"
Aria,barang mantap respon cepat
Z***k,"Packing aman, barang masih tersegel, berfungsi dengan baik."
Eddy,"hp masih disegel, garansi resmi"
A***d,Produk bekerja dengan baik
Fira,Pengemasan aman. Barang juga oke. Makasih seller
Aa,top pengiriman cepat barang sesuai
Jasmine,"mantap beli disini, pengirimannya cepat dan packingnya aman pakai dus 👍😁"
agus,keren barang nya
rolis,"pelayanan toko bagus, Tokopedia bagus, cuma pengiriman lewat estimasi, terimakasih seller & Tokopedia."
Yulianto,"Pengiriman cepat, Barang masih segel, kualitas bagus ... Semoga awet"
m***o,"barang nya bagus sampai sekarang cuman takut aja update software katanya bikin lag dan sebelumnya pakai redmi note 7 lancar jaya abis update software malah tambah berat d... "
A***s,sangat cepat respon nya dan kualitas bagus bungkus nya sangat rapih
M***d,keren
De,Alhamdulillah barang sudah sampai tak kurang suatu apapun
Muhamad,good. konsumen suka..
Indra,"sampainya cepet banget, barang oke, mantab deh pokoknya"
Agus,Barang berkualitas. bagus sy suka. Pengirimannya pake instant jadi cepat. Semoga awet dan lancar.
Ari,barang diterima dengan baik. fungsi belom di coba. terimakasih
R***a,Barang rapi tersegel saat sampai. belum sempat dipakai. semoga saja dengan Ram besar 8/256 hp ini akan awet. terimakasih seller...
Puja,barang nya cepat sampai😍 dan suka banget pakingnya rapih dan amanah 🥰
Eka,barang bagus. manteplah
L***a,aman banget packingnya. sampe cepat dan kualitas bagus sih. semoga tahan lama. gak nyesel belanja via tokped. semoga experience waktu makenya bagus
Break,barang official dari xiaomi pasti sudah terjamin aman
Nova,Xiaomi Poco M4 Pro bagus 🎣
Sani,"Packing ok, Pengiriman cepet banget... Barang berfungsi .."
Ega,"mantap 3 hari test lancar gada kendala, seler fast respon banget, oke banget dah"
abdullah,moga awet
Y***n,"barang tersegel dengan baik, packing aman, produk okeh sesuai deskripsi"
T***i,"bagus, berfungsi dengan baik dan aman bngt"
R***i,"barang masih trsegel, pgriman std barang mulus smoga awet"
Roni,
