nama,komentar
Wildan,"mantap, terima kasih! 👍🏽"
Muzn,barang sesuai deskripsi. lgsg dipakai anak. mantaplah buat mereka. thanks
Fachry,"Barang sampai dengan aman, seller juga responsif 👌 soon semoga order lagi"
A***i,👍👍👍👍👍
Muhammad,barang sesuai diterima dengan baik.
M***o,barang masih disegel dan diberi bubble wrap
D***i,siiiiip 👍👍
Z***k,Toppp Aman
w***n,sudah sampai barangnya walau ada trouble sedikit dalam pengiriman
a***g,mantapp
H***i,"proses & pengiriman cepat, terimakasih 🫡"
R***a,"Barang datang dengan Keadaan baik, proses pengiriman cepat, bagus mantap. Xiaomi semoga awettttt"
Dani,realpik banget masih segel. Terimakasih Xiomi.
MUHAMMAD,Produk mendarat dengan baik
Sukarjo,Semoga awet
B***i,barang kondisi bagus...masih tersegel rapi.. respon cs bagus...
Pututsuryanto,"barang ok,segel aman packing rapih"
Baby,"Barang msh disegel, kualitas bagus, ORI..."
Lilyana,"hp ny sesuai pesanan , pengiriman cpet dan playanan oke juga .makasii xiaomi official"
angga,sesuai dengan harga
Wiji,"barang masih di segel, seller ramaah, barang ori asli dan canggih"
P***u,"barangnya bagus, aman, dan berfungsi dengan baik terimakasih seller recommended belanja di sini untuk beli hp datangnya juga cepat. barang berkualitas harga terjangkau... "
A***y,original dan segel terimakasih
muraibatu,mantab
erizedkai,nyampe tepat waktu barang bagus masih disegel. te o pe lah. terimakasih
Topan,"Barang segel, bagus, sesuai deskripsi, butuh tambahan micro SD aja sih"
Topan,"Barang masih segel, bagus, sesuai deskripsi"
Dudy,sesuai harga
A***i,┈┉┉┉━━━ ❁﷽❁ ━━━┉┉┉┈
marwan,alhamdulillah sesuai dan pengirimannya cepat walau pakai kurir recomend.si cepat.mksh xiaomi👍
nipta,"barang masih disegel, baru dibuka dan cek layar, karena buat hadiah ke orang. semoga awet ya"
Mochamad,top
D***a,"respon penjual cepat, proses pesan cepat, barang diterima bagus sesuai dengan pesanan, paking rapi dan aman, sampai saat ini barang bagus dan tidak ada kendala"
Iswanto,"Keterlaluan sih pakingnya, hp sekecil ini d paking d dus gede trus isinya burblewrap smua. mantap sih biar aman barangnya. makasih tokped."
Wiji,"barangnya hilang di ekspedisi, namun seller bertanggung jawab, klaim saya ditindak lanjuti, saya akan coba beli lagi setelah dana saya dikembalikan beserta dan asuransi y... "
S***a,barang diterima sesuai pesanan
Agam,Nice.. Xiaomi official store fast respon and fast delivery.tks
endra,"pengiriman cepat, barang sesuai, goodjob"
V***o,produk berkualitas tinggi dan sangat bermanfaat buat kehidupan tq
Zian,mantap
