,nama,komentar,rating
0,Wildan,"mantap, terima kasih! 👍🏽",5
1,Muzn,barang sesuai deskripsi. lgsg dipakai anak. mantaplah buat mereka. thanks,5
2,Fachry,"Barang sampai dengan aman, seller juga responsif 👌 soon semoga order lagi",5
3,A***i,👍👍👍👍👍,5
4,Muhammad,barang sesuai diterima dengan baik.,5
5,M***o,barang masih disegel dan diberi bubble wrap,5
6,D***i,siiiiip 👍👍,5
7,Z***k,Toppp Aman,5
8,w***n,sudah sampai barangnya walau ada trouble sedikit dalam pengiriman,5
9,a***g,mantapp,5
10,H***i,"proses & pengiriman cepat, terimakasih 🫡",5
11,R***a,"Barang datang dengan Keadaan baik, proses pengiriman cepat, bagus mantap. Xiaomi semoga awettttt",5
12,Dani,realpik banget masih segel. Terimakasih Xiomi.,5
13,MUHAMMAD,Produk mendarat dengan baik,5
14,Sukarjo,Semoga awet,5
15,B***i,barang kondisi bagus...masih tersegel rapi.. respon cs bagus...,5
16,Pututsuryanto,"barang ok,segel aman packing rapih",5
17,Baby,"Barang msh disegel, kualitas bagus, ORI...",5
18,Lilyana,"hp ny sesuai pesanan , pengiriman cpet dan playanan oke juga .makasii xiaomi official",5
19,angga,sesuai dengan harga,5
20,Wiji,"barang masih di segel, seller ramaah, barang ori asli dan canggih",5
21,P***u,"barangnya bagus, aman, dan berfungsi dengan baik terimakasih seller recommended belanja di sini untuk beli hp datangnya juga cepat. barang berkualitas harga terjangkau... ",5
22,A***y,original dan segel terimakasih,5
23,muraibatu,mantab,5
24,erizedkai,nyampe tepat waktu barang bagus masih disegel. te o pe lah. terimakasih,5
25,Topan,"Barang segel, bagus, sesuai deskripsi, butuh tambahan micro SD aja sih",5
26,Topan,"Barang masih segel, bagus, sesuai deskripsi",5
27,Dudy,sesuai harga,5
28,A***i,┈┉┉┉━━━ ❁﷽❁ ━━━┉┉┉┈,5
29,marwan,alhamdulillah sesuai dan pengirimannya cepat walau pakai kurir recomend.si cepat.mksh xiaomi👍,5
30,nipta,"barang masih disegel, baru dibuka dan cek layar, karena buat hadiah ke orang. semoga awet ya",5
31,Mochamad,top,5
32,D***a,"respon penjual cepat, proses pesan cepat, barang diterima bagus sesuai dengan pesanan, paking rapi dan aman, sampai saat ini barang bagus dan tidak ada kendala",5
33,Iswanto,"Keterlaluan sih pakingnya, hp sekecil ini d paking d dus gede trus isinya burblewrap smua. mantap sih biar aman barangnya. makasih tokped.",5
34,Wiji,"barangnya hilang di ekspedisi, namun seller bertanggung jawab, klaim saya ditindak lanjuti, saya akan coba beli lagi setelah dana saya dikembalikan beserta dan asuransi y... ",5
35,S***a,barang diterima sesuai pesanan,5
36,Agam,Nice.. Xiaomi official store fast respon and fast delivery.tks,5
37,endra,"pengiriman cepat, barang sesuai, goodjob",5
38,V***o,produk berkualitas tinggi dan sangat bermanfaat buat kehidupan tq,5
39,Zian,mantap,5
