,nama,komentar,rating,kelas
0,Wildan,"mantap, terima kasih! 👍🏽",5,Sangat-baik
1,Muzn,barang sesuai deskripsi. lgsg dipakai anak. mantaplah buat mereka. thanks,5,Sangat-baik
2,Fachry,"Barang sampai dengan aman, seller juga responsif 👌 soon semoga order lagi",5,Sangat-baik
3,A***i,👍👍👍👍👍,5,Sangat-baik
4,Muhammad,barang sesuai diterima dengan baik.,5,Sangat-baik
5,M***o,barang masih disegel dan diberi bubble wrap,5,Sangat-baik
6,D***i,siiiiip 👍👍,5,Sangat-baik
7,Z***k,Toppp Aman,5,Sangat-baik
8,w***n,sudah sampai barangnya walau ada trouble sedikit dalam pengiriman,5,Sangat-baik
9,a***g,mantapp,5,Sangat-baik
10,H***i,"proses & pengiriman cepat, terimakasih 🫡",5,Sangat-baik
11,R***a,"Barang datang dengan Keadaan baik, proses pengiriman cepat, bagus mantap. Xiaomi semoga awettttt",5,Sangat-baik
12,Dani,realpik banget masih segel. Terimakasih Xiomi.,5,Sangat-baik
13,MUHAMMAD,Produk mendarat dengan baik,5,Sangat-baik
14,Sukarjo,Semoga awet,5,Sangat-baik
15,B***i,barang kondisi bagus...masih tersegel rapi.. respon cs bagus...,5,Sangat-baik
16,Pututsuryanto,"barang ok,segel aman packing rapih",5,Sangat-baik
17,Baby,"Barang msh disegel, kualitas bagus, ORI...",5,Sangat-baik
18,Lilyana,"hp ny sesuai pesanan , pengiriman cpet dan playanan oke juga .makasii xiaomi official",5,Sangat-baik
19,angga,sesuai dengan harga,5,Sangat-baik
20,Wiji,"barang masih di segel, seller ramaah, barang ori asli dan canggih",5,Sangat-baik
21,P***u,"barangnya bagus, aman, dan berfungsi dengan baik terimakasih seller recommended belanja di sini untuk beli hp datangnya juga cepat. barang berkualitas harga terjangkau... ",5,Sangat-baik
22,A***y,original dan segel terimakasih,5,Sangat-baik
23,muraibatu,mantab,5,Sangat-baik
24,erizedkai,nyampe tepat waktu barang bagus masih disegel. te o pe lah. terimakasih,5,Sangat-baik
25,Topan,"Barang segel, bagus, sesuai deskripsi, butuh tambahan micro SD aja sih",5,Sangat-baik
26,Topan,"Barang masih segel, bagus, sesuai deskripsi",5,Sangat-baik
27,Dudy,sesuai harga,5,Sangat-baik
28,A***i,┈┉┉┉━━━ ❁﷽❁ ━━━┉┉┉┈,5,Sangat-baik
29,marwan,alhamdulillah sesuai dan pengirimannya cepat walau pakai kurir recomend.si cepat.mksh xiaomi👍,5,Sangat-baik
