nama,komentar
I***a,"Barang original resmi, respon cepat, pengiriman mantab, sesuai pemesanan, mantab pokoknya ✌"
F***y,"barang masih disegel dengan baik, handphonenya pun masih baru, kemasannya juga gak ada rusak, handphone nya menyala dengan baik, pokoknya mantap"
Totok,Ok
F***a,"Barangnya sesuai pesanan. Mudah2an awet. Packing oke, pengiriman lumayan cepat. Thanks"
Sri,"Alhamdulillah paket sampai dengan selamat. keadaan aman, kardus penyok sedikit tapi nggak apa2. Pake pengiriman sameday, mesan jam 12 nyampe jam 8 malam 🥰 HP yang udah d... "
Manik,"packing nya aman dan rapi, semua fitur berfungsi dengan baik 👍"
jati,"barang sampai dengan kondisi baik, fitur fast chragingnya cepat dlm mengisi baterai"
Sabilus,👍👍
Noveman,Mantap
S***y,cs na slow respon 👌
Azis,good
Iadrianus,"kedua kali beli smartphone disini, dari 2017 memang favorit banget pake xiaomi dari redmi note 7,redmi note 8, redmi note 10 5G, ini yg terbaru redmi note 12pro 5G. I LO... "
Rizki,dr taun 2020 akhirnya upgrade note 9 pro to note 12 pro
DiptaLana,top banget barang original segel garansi ok paking bagus Aman gak kecewa pokok nya
b***u,Xiaomi mantap poll
Alessandro,barangnya sagat memuaskan.. walau pun pengiriman agak telat
Muhamad,Official store emg terpercaya.. good recomended seller. puasa banget sama barangnya
Edi,oke..
a***a,"bagus, segel aman, dan respon cepet"
Harfin,"Barang original, sesuai dengan description. Barang asli. Segel kotak bagus. Kekurangan: pengiriman ditinggal di depan pintu, tanpa bel dan telepon, untung tidak hilang, h... "
Felix,"pengiriman lumayan lama, respon penjual sangat baik dan cepat, kemasan produk aman dan rapi. berfungsi dengan baik."
Triono,"Packing aman, semua fitur bkerja dengan baik, sesuai ekpektasi brngnya, bagus sekali. Terima kasih gan atas produk dan pelayanannya"
Dedi,"Kualitas barang luar biasa. Main PUBGM sudah bisa Smooth Extreme. Refresh rate 120Hz, bikin nonton dan kerja jadi lebih enak!"
Andi,"brg sesuai,fungsi normal,semoga berkah buat cr rejeki"
Yosia,"Barang bagus tnpa ad kendala,smua berfungsi baik"
Widodo,"barangnya bagus banget, sesuai ekspektasi cm pengiriman dr pihak xiaomi lelet banget"
Nur,"terimakasih,0 bintang buat pengirimannya"
R***l,bagussssss cuman pengiriman agak lama
Ryan,Pengguna setia xiaomi. Harga murah kualitas dijamin tidak murahan.
L***n,bagus
D***y,Kalo official seller pasti gak diragukan lagi lah...
F***y,mantap dah
a***i,ntapppp
A***z,"Barang segel, berfungsi tanpa kendala, mantap"
Evendi,"mantap,,,,,👍👍👍"
Mohammad,"barang diterima 15 April, langsung dicoba, dan mantul..."
Reza,"barang aman, mulus, admin fast respon, sangat rekomendet"
Andriansah,
A***f,
A***n,
