,nama,komentar,rating,kelas
0,Suhartanto,barang sesuai dengan gambarnya,3,Biasa
1,E***g,"haduh repack gan, padahal klo beli biasanya gx repack, pas order udah di tulis juga no repack, eh dikirim barang repack",3,Biasa
2,Z***i,"pesan warna black,, yg datang blue. tp kondisi ok",3,Biasa
3,XION,"Barangnya original 👍. Kemasan disegel. , kurangnya packing ga ad plastik bubble wrap, tipis banget tau !!! syukur hp nya ga kenapa,lain kali jng pelit bosku... plastik b... ",3,Biasa
4,dandidinda,barang tidak sesuai dengan pesanana,1,Sangat-buruk
5,toprz,"barang di kirim repack, tidak di kasih ket. sesui barangnya",1,Sangat-buruk
6,apriliasusanti,barang ripek,1,Sangat-buruk
7,Yahya,kecewa tidak sesuai diskripsi,1,Sangat-buruk
8,Gatot,penjual tdk konfirmasi kalo repack,1,Sangat-buruk
9,Nabilah,REPACK!!!!,1,Sangat-buruk
10,K***y,Repackkkk....,1,Sangat-buruk
11,K***y,Parah REPACK semuaaaaa!!!!!!,1,Sangat-buruk
12,B***e,Repackkkkk coy,1,Sangat-buruk
13,B***e,Beli 8 unit Repack semua,1,Sangat-buruk
14,B***e,tidak ada konfirmasi kalo SDH repack,1,Sangat-buruk
15,a***n,ketipu lihat ulasan.ternyata barangnya REPACK semua,1,Sangat-buruk
16,N***a,REPACKKKKKK!!!!!!!!,1,Sangat-buruk
17,N***a,barang repack tanpa deskripsi.sial kena tipu official,1,Sangat-buruk
18,N***a,"admin nya blagu pake banget. ditanya kirim jam brp karna Sudah lewat Dari janji jam kirim, Malahan suruh ajukan cancel. Baru Kali ini belanja online ketemu yang super som... ",1,Sangat-buruk
19,A***n,,1,Sangat-buruk
