,nama,komentar,rating
0,dandidinda,barang tidak sesuai dengan pesanana,1
1,toprz,"barang di kirim repack, tidak di kasih ket. sesui barangnya",1
2,apriliasusanti,barang ripek,1
3,Yahya,kecewa tidak sesuai diskripsi,1
4,Gatot,penjual tdk konfirmasi kalo repack,1
5,Nabilah,REPACK!!!!,1
6,K***y,Repackkkk....,1
7,K***y,Parah REPACK semuaaaaa!!!!!!,1
8,B***e,Repackkkkk coy,1
9,B***e,Beli 8 unit Repack semua,1
10,B***e,tidak ada konfirmasi kalo SDH repack,1
11,a***n,ketipu lihat ulasan.ternyata barangnya REPACK semua,1
12,N***a,REPACKKKKKK!!!!!!!!,1
13,N***a,barang repack tanpa deskripsi.sial kena tipu official,1
14,N***a,"admin nya blagu pake banget. ditanya kirim jam brp karna Sudah lewat Dari janji jam kirim, Malahan suruh ajukan cancel. Baru Kali ini belanja online ketemu yang super som... ",1
15,A***n,,1
