,nama,komentar,rating,kelas
0,Afif,"barang bagus, sudah beli 3x, cyman yang kali ini sampainya lama banget sampai 6 hari😔",3,Biasa
1,a***a,repack,3,Biasa
2,r***a,"Sering error, isi batrei lama, aplikasi wa tak kliatan nama kalo ada telp masuk",3,Biasa
3,R***y,"Barangnya original 👍 untuk pelayanan tokonya jempolan mantap,hp nya ok,cmn layarnya mengecewakan menurut saya pribadi gambar yg dihasilkan cenderung terlalu merah,foto b... ",3,Biasa
4,Bagus,lama pengemasan,3,Biasa
5,Dicky,saya pesennya warna apa datangnya apa,2,Buruk
6,A***y,packing tipis sekali buble nya . penyok nih barang jadinya. tambah dus kek atau lebih tebal . packing hp kaya packing maenan bocah,2,Buruk
7,ahmad,"pesannya hitam, kirimnya putih",1,Sangat-buruk
8,Abdul,Barang Ga pernah nyampe,1,Sangat-buruk
9,L***d,Untuk pelayanan oke hanya saja karena kelalaian penjual saya dapat produk mode demo yg membuat saya rugi ongkir waktu membeli dan ongkir ketika mengirim barang yg tidak d... ,1,Sangat-buruk
10,Sigit,,1,Sangat-buruk
