nama,komentar
T***o,"barang sudah sampai, tapi yang dikirim tidak sesuai warna nya. sisa nya ok semua tidak ada masalah."
wagiyah,ga dikasih free adaptornya
B***y,"nyesal beli disini lebih mahal terpengaruh ulasan dpt charger ternyata hanya HP dan kabel saja,harga lebih mahal dari toko lain.Hati hati terpengaruh ulasan,sudah kirim n... "
n***a,Pengiriman lama overall bagus
I***m,Keterangan promo benefit tidak detail dan kurang jelas.
A***t,"Untuk respon seller dalam pengemasan lumayan cepat, untuk barang sesuai pesanan, dan masih baru dan segel, top 👍 kekurangannya: respon chat menggunakan otomatis chat jdi... "
F***h,"biasa aja, ngirimnya lama transaksi siang tetep di kirim besoknya"
AGUS,respon admin nya parah bgt lelettttt cuma ngandelin balasan otomatis cuman hp good lah g nyesel beli disini tapi admin kualitas jelek bgt
Susanto,"Barang nya bagus, pelayanannya huek..mau muntah. lelet"
erni,"barang bagus,hanya pelayanan yg kurang.sekelas official store pelayanannya sangat mengecewakan.pesana tanggal 3 dan baru dikirim tanggal 6,itupun setelah mengajukan pemba... "
Gilang,"Barang bagus saya ga ada komplain soal barang, cuman pengiriman ini termasuk yang paling lama. Pengiriman super lama hampir 30 menit lagi pembatalan otomatis, di chat dar... "
Fata,"packing aman, tapi pengiriman toko lambat. Pesan jumat sore, baru sampe Rabu siang padahal nextday"
