nama,komentar
Riswanda,pengiriman melewati waktu seharusnya sampai tapi barang aman
GMS,Barang sudh sampe
F***a,"Sangat puas, sesuai dengan spesifikasi, bonusnya lengkap, mantap. Laptop langsung dipakai ngedit 👍🏼. Cuman mesti dicatat bahwa laptop ini berbahan metal, jadi kalau lis... "
Rudy,"Barang Overal tidak ada masalah dan Ori, cuma pengiriman agak lama karena ekspedisi yang dipakai.. Untuk kualitas sih sedikit kecewa karena keliatan tidak di QC oleh piha... "
S***n,"Paket sampai dengan aman, sampai saat ini belum ada kendala, sayang ga dapat SSD Samsung"
rizki,"overall, cukup puas. cuma sayang packaging nya cuma pakai bubble wrap. sampai saat diterima sih aman. moga2 ga ada masalah di internalnya ke depan. Bonus tas laptop saja."
A***i,"unit sesuai dgn yg ada di foto, original, delivery by gojeg cepat, tks"
Mohamad,barang bagus. fastrapon. pngiriman cepet. cuma kurang bonusnya aja yg gda. ktnya kosong dari acernya
Jersy,"oke, barang segel dan sesuai."
Muhammad,"Seller responsif, pengiriman cepat, laptop sementara berfungsi normal, cuma sayang g dapet ssd samsung..."
Ryal,"respon seller cepat, tapi ketika minta free bublewarp tidak ti tanggapi, sayangnya dapet ssd merk micron, kecepatan standar, ga seperti ssd merk samsung yang lebih cepat."
K***a,"tidak dapat yg terbaik ssd-nya tapi gapapa bukan rezeki namanya adminnya ada yg ramah banget, ada yg lumayan jutek🙏🏻 Pengirimannya agak mepet ya🙏🏻 At last terimakas... "
Jordhy,"Barangnya sesuai iklan dan tiba sesuai estimasi, cuma sayangnya sering ngefreeze dan shutdown tiba-tiba"
Atikah,"untuk produk: 1. trackpad miring sebelah meskipun tetap berfungsi dgn baik kata tokonya sih emang modelnya 2. SSD kenceng pol tapi kek gacha kalo hoki dapet yang samsung... "
A***d,"sengaja mesen buble warp 3 lembar, paket malah dibungkus pake trash bag, ga ada buble warp sama sekalipun 🤣 edited: overall semuanya bagus ga kecewa cuma kendala di bubl... "
