,nama,komentar,rating
0,Jian,"Overall bagus, tombol 4 nya agak keras",4
1,Rizanfiero,Masih belum terbiasa tanpa ms word,4
2,m***i,Seller responsif hanya saja kurir yg mengecewakan,4
3,Ekanur,"barangnya gak ada masalah cuma yg jadi masalah itu adminnya, saya minta batalin aja karena kelamaan ngirimnya tapi pengajuan pembatalan malah di tolak dan tetap di kirim... ",4
4,G***U,mungkin buble dan packing bs ditingkatkan karena cm lapis buble 2 lapis saja gampang penyok,4
5,A***p,pengiriman tidak sesuai yang dijanjikan. kualitas barang oke. Harga relarif murah. barang tersegel dengan aman.,4
6,Fachri,"barang sesuai, harga bersaing, tapi sayang nggak dapet screen protector",4
7,Eza,bagus,4
8,v***a,"Persis seperti hp android tapi versi laptop. Cocok untuk kebutuhan belajar-mengajar secara online. Aplikasi Zoom agak berbeda dengan versi cloud, tidak ada anotasi atau... ",4
9,m***h,ŕada lama kirim nya,4
10,Ivan,komplit tanpa ada lecet cuma mash bingung cara pakai nya,4
11,Tiyas,"Produk sesuai, Chromebook kereenn.. cm proses dr penjual agak lama aja.",4
12,A***e,"sebelumnya saya cuma mau ngomong bahwa tidak ada masalah dengan toko ini. penjual responsif, barang jg oke sesuai deskripsi. hanya saja, kurir yg saya pakai yaitu a*n*r*j... ",4
13,Indra,Perbaikin untuk konsekuensi perihal pengiriman ya kak. Lain2 oke lahh,4
14,A***a,,4
