,nama,komentar,rating,kelas
0,Riswanda,pengiriman melewati waktu seharusnya sampai tapi barang aman,4,Baik
1,GMS,Barang sudh sampe,4,Baik
2,F***a,"Sangat puas, sesuai dengan spesifikasi, bonusnya lengkap, mantap. Laptop langsung dipakai ngedit 👍🏼. Cuman mesti dicatat bahwa laptop ini berbahan metal, jadi kalau lis... ",4,Baik
3,Rudy,"Barang Overal tidak ada masalah dan Ori, cuma pengiriman agak lama karena ekspedisi yang dipakai.. Untuk kualitas sih sedikit kecewa karena keliatan tidak di QC oleh piha... ",4,Baik
4,S***n,"Paket sampai dengan aman, sampai saat ini belum ada kendala, sayang ga dapat SSD Samsung",4,Baik
5,rizki,"overall, cukup puas. cuma sayang packaging nya cuma pakai bubble wrap. sampai saat diterima sih aman. moga2 ga ada masalah di internalnya ke depan. Bonus tas laptop saja.",4,Baik
6,A***i,"unit sesuai dgn yg ada di foto, original, delivery by gojeg cepat, tks",4,Baik
7,Mohamad,barang bagus. fastrapon. pngiriman cepet. cuma kurang bonusnya aja yg gda. ktnya kosong dari acernya,4,Baik
8,Jersy,"oke, barang segel dan sesuai.",4,Baik
9,Muhammad,"Seller responsif, pengiriman cepat, laptop sementara berfungsi normal, cuma sayang g dapet ssd samsung...",4,Baik
10,Ryal,"respon seller cepat, tapi ketika minta free bublewarp tidak ti tanggapi, sayangnya dapet ssd merk micron, kecepatan standar, ga seperti ssd merk samsung yang lebih cepat.",4,Baik
11,K***a,"tidak dapat yg terbaik ssd-nya tapi gapapa bukan rezeki namanya adminnya ada yg ramah banget, ada yg lumayan jutek🙏🏻 Pengirimannya agak mepet ya🙏🏻 At last terimakas... ",4,Baik
12,Jordhy,"Barangnya sesuai iklan dan tiba sesuai estimasi, cuma sayangnya sering ngefreeze dan shutdown tiba-tiba",4,Baik
13,Atikah,untuk produk: 1. trackpad miring sebelah meskipun tetap berfungsi dgn baik kata tokonya sih emang modelnya 2. SSD kenceng pol tapi kek gacha kalo hoki dapet yang samsung... ,4,Baik
14,A***d,"sengaja mesen buble warp 3 lembar, paket malah dibungkus pake trash bag, ga ada buble warp sama sekalipun 🤣 edited: overall semuanya bagus ga kecewa cuma kendala di bubl... ",4,Baik
15,Teguh,"Produk oke, respon seller jg cepat.. cm sayang request nota toko tdk bisa, why ???",3,Biasa
16,S***a,"Agak disesalkan, mengincar laptop ini karena kelebihannya di SSD, kecepatan ssd tidak seperti PCIe gen 4. Padahal konsumen yg lain dapat merk samsung. Tapi malah dapet y... ",3,Biasa
17,Bondan,"saya kasih bintang 3, packaging kurang safety tidak ada stiker fragile atau pecah belah dan hnya buble wrap tipis. tertolong laptop nya kondisi nyala. semoga tidak ada... ",3,Biasa
18,M***y,Toko respon dan sangat gercep. Cuma saat saya tanya ada slot kosong utk ssd katanya ada tipenya M2 NVME. Pas mau dipasang di acer center ternyata TDK ADA SLOT KOSONG... b... ,1,Sangat-buruk
19,J***r,"Respon sellernya sih cepet, tapi barangnya mengecewakan. Trackpad tinggi sebelah.. menyisakan rongga antara body dengan trackpad",1,Sangat-buruk
20,Rio,"barang sdh diterima dengan baik, tpi laptop yg dikirim bermasalah kita sebagai konsumen sangat dirugikan, penjual tidak mengecek sebelum dikirim, pas sampai ditangan kon... ",1,Sangat-buruk
