,nama,komentar,rating,kelas
0,Jian,"Overall bagus, tombol 4 nya agak keras",4,Baik
1,Rizanfiero,Masih belum terbiasa tanpa ms word,4,Baik
2,m***i,Seller responsif hanya saja kurir yg mengecewakan,4,Baik
3,Ekanur,"barangnya gak ada masalah cuma yg jadi masalah itu adminnya, saya minta batalin aja karena kelamaan ngirimnya tapi pengajuan pembatalan malah di tolak dan tetap di kirim... ",4,Baik
4,G***U,mungkin buble dan packing bs ditingkatkan karena cm lapis buble 2 lapis saja gampang penyok,4,Baik
5,A***p,pengiriman tidak sesuai yang dijanjikan. kualitas barang oke. Harga relarif murah. barang tersegel dengan aman.,4,Baik
6,Fachri,"barang sesuai, harga bersaing, tapi sayang nggak dapet screen protector",4,Baik
7,Eza,bagus,4,Baik
8,v***a,"Persis seperti hp android tapi versi laptop. Cocok untuk kebutuhan belajar-mengajar secara online. Aplikasi Zoom agak berbeda dengan versi cloud, tidak ada anotasi atau... ",4,Baik
9,m***h,ŕada lama kirim nya,4,Baik
10,Ivan,komplit tanpa ada lecet cuma mash bingung cara pakai nya,4,Baik
11,Tiyas,"Produk sesuai, Chromebook kereenn.. cm proses dr penjual agak lama aja.",4,Baik
12,A***e,"sebelumnya saya cuma mau ngomong bahwa tidak ada masalah dengan toko ini. penjual responsif, barang jg oke sesuai deskripsi. hanya saja, kurir yg saya pakai yaitu a*n*r*j... ",4,Baik
13,Indra,Perbaikin untuk konsekuensi perihal pengiriman ya kak. Lain2 oke lahh,4,Baik
14,A***a,,4,Baik
15,Ekobolang,bingung makainya,3,Biasa
16,Lailatul,ga dapet free mouse :(,3,Biasa
17,E***F,"admin yg bales chat kurang jujur, kurir blm pickup bilangnya udah. giliran ditanyain jam brp dipickup, gabisa kasi jawaban pasti. utk kondisi laptop untungnya ga knp2. ga... ",3,Biasa
18,Rizki,"dikerjain waktu pengiriman gosend, awalnya bilang dikirim sebelum jam 12, tapi ga dikirim juga, saya minta buat kirim besok sekalian karena harus pergi lalu diiyakan, say... ",3,Biasa
19,C***i,"barang pas sampe bergaris² kayanya ketumpuk paketnya krg bagus packingnya biasanya kl dr marketplace lain stlh dbuble wrap tebel masukin lg ke dus packing , alhasil dkomp... ",3,Biasa
20,muhammad,kurang informatif,3,Biasa
21,A***o,"secara fungsi kurang bagus, ternyata bukan fungsi laptop, hanya netbook, akibat minimnya informasi awal",3,Biasa
22,Dionsius,sy kira os ny windows rupanya os android,3,Biasa
23,Saeful,"semuanya oke kecuali mouse ngga sesuai deskripsi, ngga ada respon juga pas mau tuker",3,Biasa
24,K***n,Disarankan penjual order pakai packing kayu dan udah sy order TAPI datang malah cuma dikasih buble wrap hitam tipis👎,2,Buruk
25,Yayuk,"Hanya bisa buat zoom, Microsoft office word dan Excel tidak ada, mau download ada yang bisa dan ada yang tidak bisa.",2,Buruk
26,A***n,pelayan sangat buruk 👎,1,Sangat-buruk
27,siska,"Kirain laptop, ini android seperti laptop Jadi untuk basic Excel dan Word susah gak bisa, Keterangan nya kurang informatif",1,Sangat-buruk
28,d***y,rusak di dalam 24jam,1,Sangat-buruk
29,wiryono,"Pelayanan admin nya tidak ramah, saya diminta bayaran tambahan 60k untuk packing kayu karna kalo gak ditambah 60k barang ga bisa dikirim. ternyata pas sampai barangnya ti... ",1,Sangat-buruk
30,Georg,,1,Sangat-buruk
31,Liza,,1,Sangat-buruk
