,nama,komentar,rating,kelas
0,Fanky,ada bunyi2 di harddisknya..,3,Biasa
1,Early,"Kacoooo, udh kena ongkir di toped, pas dikirim malah diminta ongkir lagi sm kurir toko 100rb!!!",3,Biasa
2,Nia,Pengiriman sangat sangat Lama. percuma pakai kurir SAMEDAY. masukan aja jangan beli ditoko ini. mendingan yg lain,1,Sangat-buruk
3,C***a,"Sudah Request 3x untuk Faktur Pajak tapi di Ignore oleh seller. Sebelum beli sudah di chat dluan apakah bisa atau tidak, dan di confirm bisa. Tolong Itikad baik nya.",1,Sangat-buruk
4,Jay,"Bundling mousenya gak sesuai merk yg tertulis, selebihnya mantab",4,Baik
5,Asep,Barang OK tapi packing KURANG ok,4,Baik
6,robby,"Agak nyesal sih, karena waktu barang sudah sampai harga turun 200rb",4,Baik
7,S***l,baru sadar ternyata laptopnya lebar banget btw semuanya bagus dan gak ngeh juga ternyata gak disediain tas,4,Baik
8,Gunawan,"sedikit masukan,karena masuk musim hujan kalo bisa di lapisi pastik biar tidak basa kardusnya basah ,untungnya laptopnya kondisi baik,",4,Baik
9,yoga,Kualitas barang sesuai dengan pesanan namun estimasi pengirimannya tidak sesuai,4,Baik
10,ihza,"produk ok pengiriman aman, tapi di bagian yg di bilang layar sentuh sedikit misleading",4,Baik
11,J***k,Harga murah dan rekomendasi buat laptop low budget spek tinggi,4,Baik
12,I***k,"Mantap, cepet dan sangat menolong pelayanannya, sukses selalu gan 🙏👏👏",4,Baik
13,Donny,"Dapet barang cacat produksi dibagian layar, sering flicker / kedap-kedip. Komplain seminggu setelah barang diterima (22 Februari 2023) karna baru ketauan. Ditanya baik-b... ",3,Biasa
14,Wilson,Beberapa barang bermasalah. Keyboard ada yg mati setelah dipakai 2 bulanan. Ada yg trackpadnya tdk sensitif dan bisa lompat2.,2,Buruk
15,Arif,"Touchpad laptop kalo disentuh terjadi shaking. bisa diatasi sih pake mouse external, cuma ya produk sedikit cacat.",2,Buruk
16,V***a,staff atau karyawan ditoko gudang operasionalnya ITC ROXY MAS kurang komunikatif dan belum bisa .mentreatment customer dengan sopan dan ramah. pengiriman barang dari guda... ,2,Buruk
17,Edy,Kualitas barang bermasalah,1,Sangat-buruk
18,IQBAL,janjinya mouse Logitech tapi yg dikirim HP. males belanja disini lagi.,1,Sangat-buruk
19,anggi,"Kualitas barang bermasalah, Pelayanan penjual kurang, Kemasan tidak aman",1,Sangat-buruk
20,S***o,beli barang mahal jangan pakai kurir. eh malah di hilangkan .. gagal deh,1,Sangat-buruk
