,nama,komentar,rating
0,Adikrisna,"Admin responsif mantap, untuk barang memang ada harga ada barang, tapi overall sip!",5
1,Adhan,"laptop agak cepet panas, barang lengkap semoga awet",5
2,Heri,"Untuk pemakaian kerja ringan seperti mengetik dan browsing perangkat ini sudah sangat memadai, boleh dikatakan lebih dari cukup. Pengiriman cepat sampai, terimakasih sell... ",5
3,oca,makasiiiii,5
4,A***d,Bagus,5
5,j***o,mantapppp,5
6,nurmala,pelayanan nya ramah❤,5
7,Jannatun,"Saya beli untuk anak. Dan anak pun suka. Mudah dioperasikan, bahannya bagus. Top!",5
8,wegig,"bagus produknya, dan sesuai untuk pekerjaan2 yg tidak membutuh aplikasi yg berat2...",5
9,P***u,Ketika barang sampai saya merasa puas sebab barang benar-benar mulus. Ekspektasi terhadap chromebook membuat saya sangat antusias. laptop juga tidak terkesan murahan. goo... ,5
10,Arif,ManTRAPS,5
11,N***m,Mantaap kualitas bagus barang cepat nyampe juga,5
12,C***s,Terima kasih,5
13,Julfandes,"Puas banget sama pelayannya, returnnya juga mudah dan tidak dipersulit. Baru pertama kali beli laptop eh kena Hot Pixel, untung masih bisa direturn dengan syarat vido unb... ",5
14,Tentra,"Bekerja dengan baik laptopnya… lalu untuk packaging aman, cm mgkn buat ke depannya bs lebih tebal lagi wrap nya. Ketika barang sudah sampai kalau bs ada bukti foto yang n... ",5
15,F***e,"tidak menyesal beli di toko ini.. : 1. respon cepat 2.barang di pack rapi dan di buble wrap 3.brg mulus tiba di buyer 4.utk kualitas brg: performa bagus, bentuk compact,... ",5
16,Sapto,Semoga awet. Mantap.,5
17,kinderjoy,Value for money,5
18,ahdiyat,"Sempat kena drama keluh kesah belanja online, tapi seller sangat responsif menyelesaikan masalah gak pake ribet. Untuk pelayanan, top notch juara pisan. Kalo laptopnya g... ",5
19,adiptawf,Proses cepat,5
20,I***a,"Sesuai ekspektasi. Performanya lancar jaya walaupun chipsetnya, ya tau sendiri lah. Secara keseluruhan memuaskan, walaupun minusnya mungkin di speaker yang kurang bisa le... ",5
21,Adam,Produk nya berkualitas. Produknya recommended dan berkualitas!. Produk mantap..Pengiriman juga cepat.. Packing aman Jaya..Terima kasih bos.. Sukses selalu🙏🙏👍👍,5
22,Woen,"Build quality bagus, performa utk chromebook kencang, desain lumayan, seller komunikatif",5
23,Antonio,Ini adalah pertama kalinya saya beli chromebook. Berawal dari review gadgetin ttg benda satu ini dari toko satu ini lalu david gadgetin bilang buat apa beli laptop mahal... ,5
24,r***a,"sudaah sampaii niihh, suka bgt smaa kakanyaaa sabarr ngadepin chat aku ehehe besttt bgtt dehh terimakasiih puass bgtt 🥰🥰",5
25,H***l,"bagus, mulus gak ngelag, ringan",5
26,Tegar,"barang oke , recommended seller",5
27,Samuel,❤️❤️,5
28,Siti,"Mantap min, paket sampai dengan aman. Sesuai ekspektasi.",5
29,e***a,Barang datangnya cepet sekali. Sudah sampai dan langsung dipakai buat kerja. Ini laptop harga 1jtan tapi cepet banget dibandingkan laptop windows 5jtan saya 👍🏻,5
30,N***a,"sampai dengan amann, gercep banget utk seller dan ekspedisinya. langsung di proses dan langsung sampai. paket juga aman",5
31,Ridho,Sesuai ekspektasi,5
32,Adityo,"cocok untuk orang yang bener"" tau tujuannya beli laptop ini untuk apa 😁🙏",5
33,I***d,sesuai ekspektasi... kirain pakai wifi rumahan g bisa ternyata bisa....ITS ok lah,5
34,Moh,ok good,5
35,Yoanfara,"Alhamdhulillah bgs barangnya video unboxingnya menyusul, overall bgs cocok utk kerja edit tipis dan foto, makasih gan 😁🙏👍",5
36,Aning,"untuk crhome book harga segini lumayan lah, cuma kesan pertama agak panas aja.",5
37,Yuliyanti,"mantap performa keren. wuzz, build Quality kalau merk hp mah gk usah di ragukan lah",5
38,Daru,"Barang sesuai pesanan, barang Ori disertai dengan Garansi 1 tahun, sistem berjalan dengan baik, terima kasih",5
39,A***f,"barang bagus, pengiriman cepat.",5
40,Lkp,👍👍👍👍👍,5
41,Priyo,"Entah kenapa pengiriman berkendala. Kemasan cukup baik. Produk sesuai deskripsi, berfungsi dg baik 👍",5
42,Handoko,Alhamdulillah barang sesuai pesanan mudah mudahan awet bisa buat kerja dan nonton jangka lama,5
43,K***k,Packing cukup aman pakai bubblewrap. Barang oke untuk harganya tinggal penyesuaian penggunaan. Port usb a dan usb c cukup banyak untuk kelasnya. Baterai irit. Performa bu... ,5
44,F***z,alhamdullillah,5
45,A***p,mendarat dengan selamat,5
46,P***i,"bagus rekomeded DECH seller ini ,, fast respon dan respect banget terimakasih kak seller next beli lagi di toko ini selalu amanah ya terima kasih",5
47,Delviadi,,5
48,Oki,,5
49,A***a,,5
