,nama,komentar,rating,kelas
0,Adikrisna,"Admin responsif mantap, untuk barang memang ada harga ada barang, tapi overall sip!",5,Sangat-baik
1,Adhan,"laptop agak cepet panas, barang lengkap semoga awet",5,Sangat-baik
2,Heri,"Untuk pemakaian kerja ringan seperti mengetik dan browsing perangkat ini sudah sangat memadai, boleh dikatakan lebih dari cukup. Pengiriman cepat sampai, terimakasih sell... ",5,Sangat-baik
3,oca,makasiiiii,5,Sangat-baik
4,A***d,Bagus,5,Sangat-baik
5,j***o,mantapppp,5,Sangat-baik
6,nurmala,pelayanan nya ramah❤,5,Sangat-baik
7,Jannatun,"Saya beli untuk anak. Dan anak pun suka. Mudah dioperasikan, bahannya bagus. Top!",5,Sangat-baik
8,wegig,"bagus produknya, dan sesuai untuk pekerjaan2 yg tidak membutuh aplikasi yg berat2...",5,Sangat-baik
9,P***u,Ketika barang sampai saya merasa puas sebab barang benar-benar mulus. Ekspektasi terhadap chromebook membuat saya sangat antusias. laptop juga tidak terkesan murahan. goo... ,5,Sangat-baik
10,Arif,ManTRAPS,5,Sangat-baik
11,N***m,Mantaap kualitas bagus barang cepat nyampe juga,5,Sangat-baik
12,C***s,Terima kasih,5,Sangat-baik
13,Julfandes,"Puas banget sama pelayannya, returnnya juga mudah dan tidak dipersulit. Baru pertama kali beli laptop eh kena Hot Pixel, untung masih bisa direturn dengan syarat vido unb... ",5,Sangat-baik
14,Tentra,"Bekerja dengan baik laptopnya… lalu untuk packaging aman, cm mgkn buat ke depannya bs lebih tebal lagi wrap nya. Ketika barang sudah sampai kalau bs ada bukti foto yang n... ",5,Sangat-baik
15,F***e,"tidak menyesal beli di toko ini.. : 1. respon cepat 2.barang di pack rapi dan di buble wrap 3.brg mulus tiba di buyer 4.utk kualitas brg: performa bagus, bentuk compact,... ",5,Sangat-baik
16,Sapto,Semoga awet. Mantap.,5,Sangat-baik
17,kinderjoy,Value for money,5,Sangat-baik
18,ahdiyat,"Sempat kena drama keluh kesah belanja online, tapi seller sangat responsif menyelesaikan masalah gak pake ribet. Untuk pelayanan, top notch juara pisan. Kalo laptopnya g... ",5,Sangat-baik
19,adiptawf,Proses cepat,5,Sangat-baik
20,I***a,"Sesuai ekspektasi. Performanya lancar jaya walaupun chipsetnya, ya tau sendiri lah. Secara keseluruhan memuaskan, walaupun minusnya mungkin di speaker yang kurang bisa le... ",5,Sangat-baik
