,nama,komentar,rating
0,Nurul,Barang bagus sesuai dengan deskripsi produk,5
1,Rahadian,"packing rapih dan aman, laptop berfungsi baik, pelayanan cepat",5
2,Mulyadi,Alhamdulilah barang tiba dengan cepat.. barang ok,5
3,Titiek,sudah di terima dengan baik dan sesuai. hanya terkendala di pengiriman yg cukup meresahkan dan lama. karena tracking tidak jalan. but overall jkt - bali aman. pakai asura... ,5
4,sophia,mmmmmmmmmaaaaaaaaannnnnnnnnnnntttttttaaaaaabbbbbbbbb,5
5,I***n,"datengnya cepet dan barang'nya original, fast respon, official store emang the best",5
6,Deannissa,"Pengirimannya cepat, walaupun pakai yang reguler. Packaging aman, anti basah padahal udah deg2an musim hujan. Desain laptopnya bagus, simple but elegant. Dapet tas laptop... ",5
7,B***y,Puji Tuhan barangnya sudah diterima malam ini juga jam 10mlm. toko responsif. semoga bermanfaat utk anak saya dlm pendidikannya. utk pak Suwandi driver grab semoga sehat... ,5
8,A***w,Laptopnya oke 👍 specs sesuai .. setelah pemakaian 3 Minggu lancar jaya ..,5
9,N***i,good pokonya recommended bgt nih laptop pesan tadi siang jam 6 sore sampai. respon cs sangan baik n sabar .kurir cepat good pokonya,5
10,Asep,keren si... mantappppppppppppppppppppp dahhh gk diragukan lagi... keren keren keren,5
11,Elwimetri,overall good... recommended sellers... thanks alot,5
12,Captaw,"Original, berfungsi dengan baik, Windows OHS ori, dapat free tas dan cashback gopay...",5
13,G***a,pengiriman cepat barang sampai dengan aman,5
14,P***i,"Pengiriman barang agak lambat karena ada dibatalkan oleh kurir ekspedisi, pengecekan dan review kualitas barang menunggu penerima balik dari tugas luar kota.",5
15,A***e,"kerasa kualitasnya, desain nya mewah, dll",5
16,Hermawan,barangnya bagus smga awet,5
17,e***a,Barang cepat sampai. Dapet discount. Jauh lbh murah,5
18,D***y,Packing rapi dan barang sampai dengan selamat mantap 👍🏼👍🏼,5
19,K***k,"masyaallah... barangnya bner bner gress, tanpa ada cacat sdkitpun, smpet degdegan juga sih krna tkt trjdi hal apa, tapi alhmdulillah barang slmat smpai k tangan,, smoga... ",5
20,kembar,Mantap,5
21,A***s,Alhamdulillah mantul dikirim dengan cepat dan selamat. terima kasih bisa dipakai semoga awet. thank you toped dan antaraja,5
22,S***a,Great lappie with reasonable price. Spectacular!,5
23,Eric,"Diprosesnya cepat, pengantarannya juga cepat & lancar, customer service cepat responsenya.",5
24,M***r,"Barangnya cepat diterima dengan kondisi baik, terlebih produknya sesuai dengan harapan. Terima kasih ya",5
25,F***l,"laptop yang murah tapi mantap. Sayangnya pengiriman instan ternyata baru tiba 7 jam sejak dipesan, karna seller lama komfirmasi ordernya.",5
26,B***V,Baru pertama beli di toko ini . Seller fast response. Langsung diproses. Recommended seller. Semoga awet barangnya. Terima kasih,5
27,Joice,rekomendasi banget,5
28,devdan,barang bagus. selamat sampai tujuan. cuma agak ribet di bagian daftar emailnya.,5
29,Rika,"overall semua berfungsi normal, windows+office, desainnya jg bagus recommended bgt buat kerja2 kantoran",5
30,R,"Packaging rapi dan aman, barang sesuai ekspektasi, mulus tanpa cacat, berfungsi dengan sejauh ini. Agak lambat performanya, bisa di maklumi karena intel celeron.",5
31,B***i,sippp mantabbb... paking aman... barang mulus...desainya bagus.... berfungsi dengan baik...semoga awet...,5
32,Andi,Terbaik,5
33,Agung,mantap,5
34,I***l,barang nya sampai dengan selamat. semoga awet,5
35,Agustina,"Alhamdulillah paket sampai dengan selamat, pengirimannya cepat. Tampilan ok",5
36,Putra,Terima kasih pesanan sudah sampai sangat cepat sekali dan terima kasih kurir nya sangat ramah sekali,5
37,umi,Packing rapi. pengiriman cepat,5
38,Clay,Pengiriman cepat dan aman. Semoga awet.,5
39,D***i,Keren. Price for value banget. Dapat windows 11 and office.,5
40,ASP,"sesuai deskripsi, kualitas baik, original",5
41,yan,"pengiriman aman sekali, mantap, admin ramah",5
42,Kevin,"barangmya bagus, pengiriman cepat",5
43,M,,5
44,Ninik,,5
45,NOVARIA,,5
46,S***i,,5
47,Sahrul,,5
48,R***n,,5
49,Tatan,,5
