,nama,komentar,rating,kelas
0,M***d,"Fast respon dan barang bnib, sy sdh beberapakali belanja di toko ini dan tidak pernah mengecewakan",5,Sangat-baik
1,Yovinus,"Mantap Jiwa deh pokoknya, aktif ngebalas, dan sellernya ramah",5,Sangat-baik
2,A***i,best cepet banget pesen jam 1 sore jam 5 sampe,5,Sangat-baik
3,E***h,barangnya okee pengiriman jg cepat krn pake instant. sayangnya segel box laptop udah kekupas sedikit dan box penyok (bukan kesalahan kurir) garansi di website apple sisa... ,5,Sangat-baik
4,Anessa,"mantulll... pengiriman cepat, ke papua kurang dari 1 minggu. barang aman meski cuma pake bubble wrap. barang ori. chat seller responsif. recomended seller 👍",5,Sangat-baik
5,M***z,"seller fast respond, macbook nya garansi blm jalan packingnya jg aman karna pake packing kayu",5,Sangat-baik
6,R***d,Brg sesuai pesanan 👍🏼,5,Sangat-baik
7,H***z,Barang baru sesuai dengan informasi,5,Sangat-baik
8,Young,Bagus banget udah 2 buln di pakai gada kendala,5,Sangat-baik
9,H***i,"seller sangat responsif saat ada pertanyaan merupakan nilai plus. Barang mulus, cycle count baru 6 dan masih dapat garansi sampai oktober 2023",5,Sangat-baik
10,L***d,"kualitas sangat bagus dan sesuai, barang baru dan masih garansi, meskipun barang cpo namun semua berfungsi dengan baik seperti baru, seller pro aktif",5,Sangat-baik
11,M***i,cepat. kirim.ke jogja aman gak ada yg penyok karena full bubble dan tercover kadus dari toko. jadi kardus apple aman. barang juga aman,5,Sangat-baik
12,Flinn,"Pengirimin cepat, walaupun plastik segel terbuka sedikit namun setelah di cek laptop original dan aman.",5,Sangat-baik
13,L***y,🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻,5,Sangat-baik
14,Fandhy,"macbook m1 2020 inter, kualitas oke",5,Sangat-baik
15,A***y,Mantaappp produknya original dan sesuai. Proses pemesanan cepat dan dipacking pake bubble warpnya aman sekali. Terimakasih!!,5,Sangat-baik
16,Jenshiang,"mantep lah, tapi belum seminggu beli udah diajak kecelakaan sama yang punya 🤣",5,Sangat-baik
17,Gilang,"Packing tebel, mantap semoga maxwin gan",5,Sangat-baik
18,Hilarius,barang segel mantap,5,Sangat-baik
19,M***d,Walaupun box ada sedikit penyok tapi unit aman dan penjual sangat responsif dan komunikatif,5,Sangat-baik
20,Yudha,"Respon nya sangat baik, so far blm ada kendala ya di laptopnya . Sukses !",5,Sangat-baik
21,kinoy,"setelah seminggu lebih pemakaian tidak ada masalah, admin juga fast respon. pengiriman cepat",5,Sangat-baik
22,Z***h,barangnya mulus seperti baru,5,Sangat-baik
23,s***a,Thank you for your job) All is good!),5,Sangat-baik
24,B***s,Pengiriman cepat dan aman walau ketika datang kondisi kotak sedikit penyok di salah satu sudut kotak. Namun kondisi macbook masih aman. Bonus hardshell case dan keyboard... ,5,Sangat-baik
25,M***a,"Produk sampai dengan selamat, keren behh...",5,Sangat-baik
26,Nenden,So far super satisfied,5,Sangat-baik
27,S***s,Pembelian ketiga dari toko ini. Semuanya memuaskan. Kali ini bonus langsung dikirim bersama macbooknya. Thanks,5,Sangat-baik
28,mohammad,"seller sangat responsif, pengemasan dan pengiriman sangat cepat, barang bnib dan berfungsi dengan baik, mantap👍🏻",5,Sangat-baik
29,R***y,pelayanan dan barang oke bgttt,5,Sangat-baik
30,Ardyan,Baru dibuka dan normal jaya semuanya.,5,Sangat-baik
31,Sulthoni,"Pengiriman cepat, packing tebal walau luar kota tetap aman, barang ori. admin nya juga fast response, ga salah pilih toko ini. smoga usahanya makin lancarr",5,Sangat-baik
32,N***l,"Puji Tuhan barang aman dan ori 💯%, sudah di cek serial numbernya dan terdaftar walaupun garansinya sudah berjalan kurang lebih sebulan, tapi gapapa karena dapet cashback... ",5,Sangat-baik
33,Muhammad,Udah langganan beli produk apple disini. Packing cepat dan seller responsive. Semoga produknya awet yaaa. Pelayanan after salesnya semoga baik juga. Thank you seller,5,Sangat-baik
34,Nakzim,"Sampainya cepat, packing aman dan tebal",5,Sangat-baik
35,Widitia,"Setelah beberapa hari pemakaian, ternyata bagus barangnya, ga ada masalah, sayangnya karena dipacking bareng airpods, box luarnya terlalu sempit, jadi penyok box macbookn... ",5,Sangat-baik
36,T***s,Mantap,5,Sangat-baik
37,P***a,"mantab,fast responce,recommended seller..",5,Sangat-baik
38,B***a,"Semuanya berfungsi dengan baik, saran aja sih adain contact Customer Service nya jika terjadi sesuatu dan ingin claim garansi",5,Sangat-baik
39,F***n,"Finally! Terealisasi jg beli mac disini. Makasi ya semoga awet, pelayanannya emang ga kaleng2, garansi aktif, Langsung dikirim dalam hitungan jam, cashbacknya mantep ni t... ",5,Sangat-baik
40,Feisal,mantaapp!!,5,Sangat-baik
41,M***d,"barang sesuai pesanan, seller ramah komunikatif, barang cepat sampai dan packing super aman. top lah.....",5,Sangat-baik
42,funstuff,"Mantap sehh...packing keren dan aman, respon saat chatingcepat",5,Sangat-baik
43,Kris,"Sudah terpercaya, Semoga ga ada kendala. Terima kasih admin",5,Sangat-baik
44,I***i,"Barangnya nyanpe dengan selamat, awalnya kirain dikirim pake box kayu, ternyata engga, pake bubble wrap, sedikiittt penyok dikit beberapa sisi, tapi untungnya dalemnya am... ",5,Sangat-baik
45,a***r,,5,Sangat-baik
46,Surya,,5,Sangat-baik
47,asriel,,5,Sangat-baik
48,K***a,,5,Sangat-baik
49,Oktavia,,5,Sangat-baik
50,ALI,Black peel nya macam di tempel balik hmmmm. Produk minta yg garansi blm aktif tp dikirim yg sudah aktif. Untung produk ok,4,Baik
51,B***n,Bagus aja,4,Baik
52,Nurdin,"Barangnya oke, asli apple MacBook, dicek garansi sesuai tanggal beli, hanya saja pengiriman kurang komunikatif adminnya dan driver grab instannya ganti2 terus sampai beso... ",4,Baik
53,Ayu,"Sesuai deskripsi, terimakasih bonusnya",4,Baik
54,J***n,"barang sangat bagus, cs juga responsif nanya apa dijawab, cm sebelum membeli saya nanya bonus hardcasenya ada ga, ktnya ada tp ketika sampai cm keyboard cover aja. overal... ",4,Baik
55,Shellshark,barang sesuai pesanan dan packing bagus,4,Baik
56,Ahmad,"pas pesen, tulisan di etalase nya available yang warna Gold, jadi pesan yang itu. tapi setelah check out, di chat kalo ternyata stock nya ngga ada. jadi diganti ke warna... ",4,Baik
57,A***a,"walaupun kardus nya penyok dari bawaan tokonya, lumayan lah :) barang oke aman.",4,Baik
58,E***a,"Barang bagus. Hanya, seller tidak memasang sign fragile di paket, sehingga kurir main lempar dan main ninggalin barang di gerbang tanpa ada konfirmasi, dikiranya batu bat... ",4,Baik
59,Cokorda,Baru kali ini beli laptop dan mahal secra online tp bener2 g diragukan toko ini Penjualnya sabaar bener sm pembeli yg awam ini,4,Baik
60,F***y,"ada sedikit penyok aja kardusnya, padahal udah packing kayu.",4,Baik
61,J***n,"Barang semua aman, tapi agak lama di pengiriman. Masih jabodetabek masa 3 hari:(",4,Baik
62,ravi,"Melayani pelanggan hingga malam, packing aman barang segel dan original, jadikan langganan belanja anda, recommended seller yg satu ini...",4,Baik
63,Xiunqxiunq,"Barang sampai dengan selamat, tapi kardusnya bonyok. Mungkin seller bisa bantu ingatkan utk tambah packing kayu di deskripsi biar buyer ga lupa. Mac nya berfungsi normal... ",4,Baik
64,F***n,"Barang sampai lebih cepat dari estimasi, barang ori, dan sudah di cek semua dalam kondisi tersegel, cmn bingung dengan cara packing nya hehe, kardusnya tidak padat, ter... ",4,Baik
65,Jaka,,4,Baik
66,Mrz,1. Box tetap penyok seperti ulasan pembeli yg lain pdhl udah ikutin instruksi 2. Ada tanda seru kuning di website cek serial numbernya (katanya sih gak masalah) 3. Ini si... ,3,Biasa
67,y***o,"Bonusnya belum dikirim,",3,Biasa
68,Bimo,,3,Biasa
69,d***d,Komputer tidak orisinil. Komputer sudah aktif saat saya terima paketnya. Setelah dipakai seminggu sering panas dan macet. Kualitas komputernya sangat jelek!Sikap penjual... ,1,Sangat-buruk
