,nama,komentar,rating
0,M***d,"Fast respon dan barang bnib, sy sdh beberapakali belanja di toko ini dan tidak pernah mengecewakan",5
1,Yovinus,"Mantap Jiwa deh pokoknya, aktif ngebalas, dan sellernya ramah",5
2,A***i,best cepet banget pesen jam 1 sore jam 5 sampe,5
3,E***h,barangnya okee pengiriman jg cepat krn pake instant. sayangnya segel box laptop udah kekupas sedikit dan box penyok (bukan kesalahan kurir) garansi di website apple sisa... ,5
4,Anessa,"mantulll... pengiriman cepat, ke papua kurang dari 1 minggu. barang aman meski cuma pake bubble wrap. barang ori. chat seller responsif. recomended seller 👍",5
5,M***z,"seller fast respond, macbook nya garansi blm jalan packingnya jg aman karna pake packing kayu",5
6,R***d,Brg sesuai pesanan 👍🏼,5
7,H***z,Barang baru sesuai dengan informasi,5
8,Young,Bagus banget udah 2 buln di pakai gada kendala,5
9,H***i,"seller sangat responsif saat ada pertanyaan merupakan nilai plus. Barang mulus, cycle count baru 6 dan masih dapat garansi sampai oktober 2023",5
10,L***d,"kualitas sangat bagus dan sesuai, barang baru dan masih garansi, meskipun barang cpo namun semua berfungsi dengan baik seperti baru, seller pro aktif",5
11,M***i,cepat. kirim.ke jogja aman gak ada yg penyok karena full bubble dan tercover kadus dari toko. jadi kardus apple aman. barang juga aman,5
12,Flinn,"Pengirimin cepat, walaupun plastik segel terbuka sedikit namun setelah di cek laptop original dan aman.",5
13,L***y,🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻,5
14,Fandhy,"macbook m1 2020 inter, kualitas oke",5
15,A***y,Mantaappp produknya original dan sesuai. Proses pemesanan cepat dan dipacking pake bubble warpnya aman sekali. Terimakasih!!,5
16,Jenshiang,"mantep lah, tapi belum seminggu beli udah diajak kecelakaan sama yang punya 🤣",5
17,Gilang,"Packing tebel, mantap semoga maxwin gan",5
18,Hilarius,barang segel mantap,5
19,M***d,Walaupun box ada sedikit penyok tapi unit aman dan penjual sangat responsif dan komunikatif,5
20,Yudha,"Respon nya sangat baik, so far blm ada kendala ya di laptopnya . Sukses !",5
21,kinoy,"setelah seminggu lebih pemakaian tidak ada masalah, admin juga fast respon. pengiriman cepat",5
22,Z***h,barangnya mulus seperti baru,5
23,s***a,Thank you for your job) All is good!),5
24,B***s,Pengiriman cepat dan aman walau ketika datang kondisi kotak sedikit penyok di salah satu sudut kotak. Namun kondisi macbook masih aman. Bonus hardshell case dan keyboard... ,5
25,M***a,"Produk sampai dengan selamat, keren behh...",5
26,Nenden,So far super satisfied,5
27,S***s,Pembelian ketiga dari toko ini. Semuanya memuaskan. Kali ini bonus langsung dikirim bersama macbooknya. Thanks,5
28,mohammad,"seller sangat responsif, pengemasan dan pengiriman sangat cepat, barang bnib dan berfungsi dengan baik, mantap👍🏻",5
29,R***y,pelayanan dan barang oke bgttt,5
30,Ardyan,Baru dibuka dan normal jaya semuanya.,5
31,Sulthoni,"Pengiriman cepat, packing tebal walau luar kota tetap aman, barang ori. admin nya juga fast response, ga salah pilih toko ini. smoga usahanya makin lancarr",5
32,N***l,"Puji Tuhan barang aman dan ori 💯%, sudah di cek serial numbernya dan terdaftar walaupun garansinya sudah berjalan kurang lebih sebulan, tapi gapapa karena dapet cashback... ",5
33,Muhammad,Udah langganan beli produk apple disini. Packing cepat dan seller responsive. Semoga produknya awet yaaa. Pelayanan after salesnya semoga baik juga. Thank you seller,5
34,Nakzim,"Sampainya cepat, packing aman dan tebal",5
35,Widitia,"Setelah beberapa hari pemakaian, ternyata bagus barangnya, ga ada masalah, sayangnya karena dipacking bareng airpods, box luarnya terlalu sempit, jadi penyok box macbookn... ",5
36,T***s,Mantap,5
37,P***a,"mantab,fast responce,recommended seller..",5
38,B***a,"Semuanya berfungsi dengan baik, saran aja sih adain contact Customer Service nya jika terjadi sesuatu dan ingin claim garansi",5
39,F***n,"Finally! Terealisasi jg beli mac disini. Makasi ya semoga awet, pelayanannya emang ga kaleng2, garansi aktif, Langsung dikirim dalam hitungan jam, cashbacknya mantep ni t... ",5
40,Feisal,mantaapp!!,5
41,M***d,"barang sesuai pesanan, seller ramah komunikatif, barang cepat sampai dan packing super aman. top lah.....",5
42,funstuff,"Mantap sehh...packing keren dan aman, respon saat chatingcepat",5
43,Kris,"Sudah terpercaya, Semoga ga ada kendala. Terima kasih admin",5
44,I***i,"Barangnya nyanpe dengan selamat, awalnya kirain dikirim pake box kayu, ternyata engga, pake bubble wrap, sedikiittt penyok dikit beberapa sisi, tapi untungnya dalemnya am... ",5
45,a***r,,5
46,Surya,,5
47,asriel,,5
48,K***a,,5
49,Oktavia,,5
