nama,komentar
Nurul,Barang bagus sesuai dengan deskripsi produk
Rahadian,"packing rapih dan aman, laptop berfungsi baik, pelayanan cepat"
Mulyadi,Alhamdulilah barang tiba dengan cepat.. barang ok
Titiek,"sudah di terima dengan baik dan sesuai. hanya terkendala di pengiriman yg cukup meresahkan dan lama. karena tracking tidak jalan. but overall jkt - bali aman. pakai asura... "
sophia,mmmmmmmmmaaaaaaaaannnnnnnnnnnntttttttaaaaaabbbbbbbbb
I***n,"datengnya cepet dan barang'nya original, fast respon, official store emang the best"
Deannissa,"Pengirimannya cepat, walaupun pakai yang reguler. Packaging aman, anti basah padahal udah deg2an musim hujan. Desain laptopnya bagus, simple but elegant. Dapet tas laptop... "
B***y,"Puji Tuhan barangnya sudah diterima malam ini juga jam 10mlm. toko responsif. semoga bermanfaat utk anak saya dlm pendidikannya. utk pak Suwandi driver grab semoga sehat... "
A***w,Laptopnya oke 👍 specs sesuai .. setelah pemakaian 3 Minggu lancar jaya ..
N***i,good pokonya recommended bgt nih laptop pesan tadi siang jam 6 sore sampai. respon cs sangan baik n sabar .kurir cepat good pokonya
Asep,keren si... mantappppppppppppppppppppp dahhh gk diragukan lagi... keren keren keren
Elwimetri,overall good... recommended sellers... thanks alot
Captaw,"Original, berfungsi dengan baik, Windows OHS ori, dapat free tas dan cashback gopay..."
G***a,pengiriman cepat barang sampai dengan aman
P***i,"Pengiriman barang agak lambat karena ada dibatalkan oleh kurir ekspedisi, pengecekan dan review kualitas barang menunggu penerima balik dari tugas luar kota."
A***e,"kerasa kualitasnya, desain nya mewah, dll"
Hermawan,barangnya bagus smga awet
e***a,Barang cepat sampai. Dapet discount. Jauh lbh murah
D***y,Packing rapi dan barang sampai dengan selamat mantap 👍🏼👍🏼
K***k,"masyaallah... barangnya bner bner gress, tanpa ada cacat sdkitpun, smpet degdegan juga sih krna tkt trjdi hal apa, tapi alhmdulillah barang slmat smpai k tangan,, smoga... "
kembar,Mantap
A***s,Alhamdulillah mantul dikirim dengan cepat dan selamat. terima kasih bisa dipakai semoga awet. thank you toped dan antaraja
S***a,Great lappie with reasonable price. Spectacular!
Eric,"Diprosesnya cepat, pengantarannya juga cepat & lancar, customer service cepat responsenya."
M***r,"Barangnya cepat diterima dengan kondisi baik, terlebih produknya sesuai dengan harapan. Terima kasih ya"
F***l,"laptop yang murah tapi mantap. Sayangnya pengiriman instan ternyata baru tiba 7 jam sejak dipesan, karna seller lama komfirmasi ordernya."
B***V,Baru pertama beli di toko ini . Seller fast response. Langsung diproses. Recommended seller. Semoga awet barangnya. Terima kasih
Joice,rekomendasi banget
devdan,barang bagus. selamat sampai tujuan. cuma agak ribet di bagian daftar emailnya.
Rika,
