nama,komentar
e***i,semoga awet . barang mulus.
Muhammad,Mantabbbbbbbbbbbbbbbbbbbbbbb
D***i,"udah dicek, spek sesuai deskripsi dan sejauh ini semua fitur berfungsi. worthy banget sih harga affordable dan kualitas oke. semoga bisa awet jangka panjang. thank you"
A***n,"Semoga awet amin, recommended."
R***K,Sesuai spek
Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih"
Haniv,"recommended 👍👍,."
Budi,mantuuul
Warmsilo,"respon cepat, masih mulus juga."
Maulana,2x pesan barang yg dikirim mantap tidak mengecewakan dapat barang yg muluss battery bahkan kuat 5jam
Y***s,"bagusssss, semoga awet🙇‍♂️ seller responsif, thank you jangan ragu beli disini guys, super recomended🥳 thanks juga Pak Pos Indonesia"
Achmad,"barang sudah sampai, barang sesuai dengan pesanan, di test lancar,internet jalan, ringan. thanks ya gan,,,,"
Teguh,"dapet barang mulus banget, mantep lah pokok na"
H***r,oke
D***e,"Murah tp ga murahan. Sempet maju mundur buat beli, karena ga pernah beli brg second (takut zonk) tp abis mikir2 kalo buat kerja data doang ngapain mahal2. Akhirnya berani... "
Bobi,Terbaik dan Terpercaya lah ini seller 👍👍
Iven,Barang sampai cepat dan laptop sangat bagus
Sahabat,"produk bagus, fisik bagus nyaris 100%"
K***a,"mantap, produk sesuai bekerja dengan baik. sesuai dengan spesifikasi. Packaging aman dan diproses cepat"
Arya,Baru dicek awal .. okeh sesuai spek .. mdh2an awet ya .. mksh seller
Bayu,"barang mulus, sesuai deskripsi produk. pelayanan cepat responsif seller. recomended. trims pada seller sukses selalu"
Rachmat,"mantap terima kasih seller, sesuai spek, rekomendet"
Ahmad,"mantap, harga murah performa nggak murahan 👍"
Bayu,"barang sudah sampai selamat ,smga tahan lama terbaik"
faiz,"barang overall oke , sesuai pesanan. harga murah. cuma pengiriman aja yg lama bet. kungkin kendala pemilihan kurir yg kurang tepat. tk."
Arul,oke lah good
Deni,mantapp
Satrio,"Laptop nya berfungsi dengan baik hanya minus body sedikit lecet bekas pemakaian,respon dari seller nya juga fast respon"
Wahyudi,"Barang Bagus, kayak pakai dan bermanfaat. thanks"
i,"barang nya msh bagus walopun second, recommended deh pokoknya"
Bayu,"barang mulus, sesuai deskripsi produk. pelayanan cepat responsif seller. recomended. trims pada seller sukses selalu"
Rachmat,"mantap terima kasih seller, sesuai spek, rekomendet"
Ahmad,"mantap, harga murah performa nggak murahan 👍"
Bayu,"barang sudah sampai selamat ,smga tahan lama terbaik"
faiz,"barang overall oke , sesuai pesanan. harga murah. cuma pengiriman aja yg lama bet. kungkin kendala pemilihan kurir yg kurang tepat. tk."
Arul,oke lah good
Deni,mantapp
Satrio,"Laptop nya berfungsi dengan baik hanya minus body sedikit lecet bekas pemakaian,respon dari seller nya juga fast respon"
Wahyudi,"Barang Bagus, kayak pakai dan bermanfaat. thanks"
i,"barang nya msh bagus walopun second, recommended deh pokoknya"
Tridatu,"barang bagus, pengiriman cepat, saler ramah, rekomeded"
leholey,Alhamdulillah sampai dengan selamat
E***M,"performa baik, packing baik. respon baik. terbaik"
A***s,"barang mulus tidak ada masalah apapun, dari pihak ekspedisi pun cepat. barang sesuai ekspetasi semoga awet 🙏"
Farid,"ga kerasa udah setahun Makai,,, cuma keyboardnya udah rusak"
Hawin,masih seperti baru .. mulus .. tp di bagian bawah bagian karet dudukan / kaki nya copot satu .. gp2 sih masih cukup worth it dan memuaskan .. semoga awet ..
Y***o,Sip.. Keyboard Jepang 🤣😅
Sigit,"Mantab, fast"
Ayeng,Mantapp
M***d,
