nama,komentar
Ricky,"Ada bug pas nyoba tethering yaitu tidak bisa jadi hotspot kalau jaringan di setting 5g. Dan juga pas proses po tidak memuaskan. menunda pengiriman tanpa kompensasi apap... "
N***s,zeeb
Emil,"barangnya udah bagus banget cuman pengiriman ekspedisinya yang harus di tingkatkan karena udh nyampe di gudang kota saya 2 hari ga di kirim², akhirnya saya ngambil sendir... "
A***n,"Secara performa hp ini cukup gahar, RAM dan ROM sangat lega, tidak cepat panas, dan kemampuan charging sangat luar biasa. Satu satunya kelemahan ada pada layar yang baru... "
F***y,"Honestly, minus pada kepastian waktu pengiriman, overall untuk spesifikasi dan kualitas produk cukup memuaskan pada saat ini, semoga bisa awet dan tidak mengecewakan pela... "
Aditya,alhamdulillah sampai juga
T***y,barangnya oke tapi pengirimannya lama
nur,"untuk barang ok, hanya pengiriman yg kurang"
U***i,"untuk perihal imei seharusnya sudah siap sebelum dijual ke publik, jadi tidak menghambat proses PO"
R***n,"ya ke diapain penjualan yg lama, tapi hp memuaskan"
Michael,"barangnya segel, cuman hp nya panas ternyata, agak kecewa padahal ada liquid camber apaan itu lah, tapi ternyata suhunya puanas, over all hpnya bagus, cuman ya agak ange... "
A***y,"Kualitas Produk: 5 Produk sangat baik, spek sesuai keinginan, dan melebihi ekspektasi soal price to value. Saya rekomen HP ini untuk sesama gamers kompetitif karena punya... "
dimas,
huri,
silentlofd,
