,nama,komentar,rating,kelas
0,Ricky,Ada bug pas nyoba tethering yaitu tidak bisa jadi hotspot kalau jaringan di setting 5g. Dan juga pas proses po tidak memuaskan. menunda pengiriman tanpa kompensasi apap... ,3,Biasa
1,N***s,zeeb,3,Biasa
2,Emil,"barangnya udah bagus banget cuman pengiriman ekspedisinya yang harus di tingkatkan karena udh nyampe di gudang kota saya 2 hari ga di kirim², akhirnya saya ngambil sendir... ",3,Biasa
3,A***n,"Secara performa hp ini cukup gahar, RAM dan ROM sangat lega, tidak cepat panas, dan kemampuan charging sangat luar biasa. Satu satunya kelemahan ada pada layar yang baru... ",3,Biasa
4,F***y,"Honestly, minus pada kepastian waktu pengiriman, overall untuk spesifikasi dan kualitas produk cukup memuaskan pada saat ini, semoga bisa awet dan tidak mengecewakan pela... ",3,Biasa
5,Aditya,alhamdulillah sampai juga,3,Biasa
6,T***y,barangnya oke tapi pengirimannya lama,3,Biasa
7,nur,"untuk barang ok, hanya pengiriman yg kurang",3,Biasa
8,U***i,"untuk perihal imei seharusnya sudah siap sebelum dijual ke publik, jadi tidak menghambat proses PO",3,Biasa
9,R***n,"ya ke diapain penjualan yg lama, tapi hp memuaskan",3,Biasa
10,Michael,"barangnya segel, cuman hp nya panas ternyata, agak kecewa padahal ada liquid camber apaan itu lah, tapi ternyata suhunya puanas, over all hpnya bagus, cuman ya agak ange... ",3,Biasa
11,A***y,"Kualitas Produk: 5 Produk sangat baik, spek sesuai keinginan, dan melebihi ekspektasi soal price to value. Saya rekomen HP ini untuk sesama gamers kompetitif karena punya... ",3,Biasa
12,dimas,,3,Biasa
13,huri,,3,Biasa
14,silentlofd,,3,Biasa
15,Ainul,"untuk barangnya bagus sesuai dengan apa yg ditawarkan. TAPI, untuk masalah pre-order yg harusnya 7hari dikirim malah dikirim pada hari ke 13 yg menandakan bahwa TIM PENJU... ",1,Sangat-buruk
16,A***d,lemottt,1,Sangat-buruk
17,A***a,semoga menjadi bahan pertimbangan untuk membuat Pre Order suatu barang. Terima Kasih,1,Sangat-buruk
18,Krisyan,"Drama terus Iqoo ini.. udah pengiriman telat, ga mau bantu rubah alamat, sekarang garansi yg dijanjiin 2tahun ternyata cuma setahun",1,Sangat-buruk
19,Its,"Hipotesis diterima, kualitas pelayanan berpengaruh signifikan terhadap kepuasan konsumen. Berarti kualitas pelayanan yang diberikan oleh VIVO terlalu buruk, sehingga ting... ",1,Sangat-buruk
20,PT,kualitas speakernya parah. jauh dari ekspetasi. CEMPRENG,1,Sangat-buruk
21,Agus,"barang OK banget, cuma minus di proses pengiriman dari sisi vivo nya,, udah bikin PO tapi barang belum siap kirim saat masa PO selesai,, tapi tidak menutup mata soal bara... ",1,Sangat-buruk
