nama,komentar
v***o,barang tidak datang....sampai sekarang. di komplain...malah di menangkan sama penjual
W***y,"sudah pilih pengiriman nextday, ternyata alhasil 5 hari barang baru sampai,"
Suwantun,ty
Abu,"barang oke tapi judul anda ini loh menipu saya bos, emang salah saya kurang teliti cari toko"
Miyanno,"awalnya ragu ada buyer lain komplain beli pake gift lengkap tapi dapatnya ga lengkap..(malah harganya lebih mahal untuk accesories standar), AKHIRNYA NGERASAIN KEKECEWAAN... "
Miyanno,"Padahal sudah pesat gift lengkap tapi tidak ada softcase Di deskripsi tidak ada keterangan gift harus pilih tidak dapat semua. Pdhal nama varianya gift lengkap lucu aja.... "
K***k,Beda tipe bonus yg dikirim dgn foto yg ada di toko.
Z***a,tidak sesui sama pesanan...judulnya tidak jelas dan menjebak pembeli
A***y,"Pengemasan agak lama, beli yg sama bonus stand hp dikasihnya stand mic dkira buat karoke ap ya 🤣 , bonus casing casingnya ga di kasih, popsocket pun gada kl gt ngapain b... "
benazir,versi berapa? tidak bisa donlod aplikasi tertentu
P***a,saya pesen yg 9c bukan 9A hadeeeeeeeeeeeeeeeeeeeeseeeeeeeeeeeeeeeeeee
Lidy,repacking
d***e,official kok begini jual barang second tapi disegel ulang
M***n,BARANG BARU RASA SECOND ALIAS REPACK!!!
E***y,repack alias barang second baek2 yg beli disini
M***y,repack garansi ud lewat sebulan
M***y,repack garansi aktif sebulan ud lewat
M***y,"kualitas barang sesuai harga. pengiriman lama, 3 hari baru dikirim setelah konfirmasi pemesanan."
M***y,"katanya ada bonus sofcase, temperglas dll padahal saya sudah ingatkan sebelum pengiriman. 🤪, saya minta dikirim lagi krn itu hak saya loh"
A***l,Ternyata extra bonus nya cuma tipu tipu
Rae,ini knapa ya keder gua ktnya ada bonus kiranya klo gk ada bonus blng gak ada blang ada mna gak ada sue
Bahrudin,"BONUS DI GAMBAR TIDAK SESUAI REALITA, BONUS NYA CUMA : TRIPOD , KARTU PERDANA, KANTONG ANTI AIR BONUS YANG PENTING : TAMPERGLASS dan SOFT CASE TIDAK ADA"
D***p,"barang yg datang hanya unit HP, sedangkan gambar yg dipajang ada bonus macam2."
Arie,"katanya ada bonus sofcase, temperglas dll padahal saya sudah ingatkan sebelum pengiriman. 🤪, saya minta dikirim lagi krn itu hak saya loh"
I***a,Ternyata extra bonus nya cuma tipu tipu
Rae,ini knapa ya keder gua ktnya ada bonus kiranya klo gk ada bonus blng gak ada blang ada mna gak ada sue
Bahrudin,"BONUS DI GAMBAR TIDAK SESUAI REALITA, BONUS NYA CUMA : TRIPOD , KARTU PERDANA, KANTONG ANTI AIR BONUS YANG PENTING : TAMPERGLASS dan SOFT CASE TIDAK ADA"
D***p,"barang yg datang hanya unit HP, sedangkan gambar yg dipajang ada bonus macam2."
Arie,
I***a,
