,nama,komentar,rating,kelas
0,R***I,kotak nya agak rusak sedikit tpi mudah2an hp nya ga ppa blum di buka soal nya. dan kurir nya paket nya di titipin gak di anterin di rumah lumayan jauh juga ngambil paket... ,4,Baik
1,ence,"pengiriman cepat, barang sesuai pesanan mantuul",4,Baik
2,F***a,ini pembelian kedua karena hape pertama ilang. hape kedua ini kayanya dapet gacha an:( batre nya boros pars dahal baru beli,4,Baik
3,Sururyadi,"barang nya da sampai untuk sementara puas, yang pasti kurir nya cepat bener",4,Baik
4,Alfian,"Masalah sms premium, tidak ada setting. Setelah factory reset bbrp kali, baru berhasil. pulsa terpakai 50 rb lbh",4,Baik
5,Setiawan,"packing, waktu pengiriman standar",4,Baik
6,M***r,jos,4,Baik
7,H***o,"Mantap, order tadi pagi sekitar jam 10 an barang nyampe jam 13 an Belum buka total sih karna buat anak, biar buka sendiri terutama segelnya Puas dengan palayanannya",4,Baik
8,HARRIS,Mantap,4,Baik
9,Basri,Mantaaaab bos 👍👍👍👍,4,Baik
10,F***y,"Barang berfungsi dengan baik. Mudah digunakan. Packaging Aman. Kualitas sesuai harga. , dan respon seller rama banget udah berkali"" belanja di sini gak pernah kecewa.",4,Baik
11,Leonardo,Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Barangnya mulus.,4,Baik
12,Dudus,Barangnya original 👍. Kelengkapan sesuai. Spesifikasi sesuai .,4,Baik
13,I***a,,4,Baik
14,Tanti,ada cahaya merah ditengah hp,3,Biasa
15,Munisah,Thanks...😚,3,Biasa
16,Asep,pesen twilight dikirim biru ....,3,Biasa
17,B***r,"alhamdulillah, barang sudah sampai dan berfungsi semoga awet",3,Biasa
18,a***n,sering beli disini baru kali ini dapat repack sudah aktif dari january. next jika ada repack di infoin ya bos 🙏 udah jalan 1 bulan garansinya ini,2,Buruk
19,Jaka,barang rekondisi. sy kurang teliti belinya,2,Buruk
20,H***i,hape 3 jutaan 3 tahun yg lalu. masih lebh baik dri hp ini. endorse youtuber untuk naikan barang. g sesuai ekpetasi. kalau mau ganti hp mending mikir lagi.,2,Buruk
21,Finn,"Hp yang di beri hape bekas dan returan. beli baru 1 bulan riwayat penggunaan udh 6bulan dicek di service center, gak ada itikad baik dari seller malah disuruh service sen... ",1,Sangat-buruk
22,Bagus,"saya pilih dan centang pada aplikasi toped yg warnanya GREY, tapi yg dateng warna BIRU, saya minta tukar karena bukan kesalahan dari saya.. Dan saya ga suka warna cerah p... ",1,Sangat-buruk
23,Riki,barang repack,1,Sangat-buruk
