nama,komentar
R***I,"kotak nya agak rusak sedikit tpi mudah2an hp nya ga ppa blum di buka soal nya. dan kurir nya paket nya di titipin gak di anterin di rumah lumayan jauh juga ngambil paket... "
ence,"pengiriman cepat, barang sesuai pesanan mantuul"
F***a,ini pembelian kedua karena hape pertama ilang. hape kedua ini kayanya dapet gacha an:( batre nya boros pars dahal baru beli
Sururyadi,"barang nya da sampai untuk sementara puas, yang pasti kurir nya cepat bener"
Alfian,"Masalah sms premium, tidak ada setting. Setelah factory reset bbrp kali, baru berhasil. pulsa terpakai 50 rb lbh"
Setiawan,"packing, waktu pengiriman standar"
M***r,jos
H***o,"Mantap, order tadi pagi sekitar jam 10 an barang nyampe jam 13 an Belum buka total sih karna buat anak, biar buka sendiri terutama segelnya Puas dengan palayanannya"
HARRIS,Mantap
Basri,Mantaaaab bos 👍👍👍👍
F***y,"Barang berfungsi dengan baik. Mudah digunakan. Packaging Aman. Kualitas sesuai harga. , dan respon seller rama banget udah berkali"" belanja di sini gak pernah kecewa."
Leonardo,Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Barangnya mulus.
Dudus,Barangnya original 👍. Kelengkapan sesuai. Spesifikasi sesuai .
I***a,
