,nama,komentar,rating
0,M,barang ORI..segel.. berfungsi dengan baik.. hanya pengiriman nya lama tapi itu murni kesalahan kurir.. untuk pelayanan toko sudah bagus.. gudang hp top ..,5
1,Herni,Barang mendarat dengan selamat makasih seller en tokped,5
2,Trisna,barang diterima dengan selamat... semoga awet...,5
3,sholahudin,mantap,5
4,A***n,"recommended seller, packing rapi dan kuat.. salut",5
5,William,Pengiriman cepat barang ori mantap dehhh,5
6,Yanah,"gak ragu belanja di sini, tokop responsif, barang asli.",5
7,Moh,barang ORI masih segel jangan ragu untuk bli d toko ini,5
8,Yuda,ramah dan cepat,5
9,A***s,saya beli hp di gudang hp selalu pus dan chatnya selalu direspon mantap gudang hp sukses,5
10,A***K,"barang segel , kiriman cepat mantab",5
11,Yono,mantap,5
12,sholahudin,sangat recomendasiiiii,5
13,F***a,mantaaappp...,5
14,T***N,mantap fan terpercaya,5
15,P***i,barang sesuai,5
16,Yono,Barang sesuai,5
17,Yono,"baru sudah sampai,Gress masih segel",5
18,feno,"pengemasan rapi dan aman. respon penjual sangat ramah. cuma sayangnya dari ekspedisinya, Anteraja kurang gercep. paket dibawa muter muter :(",5
19,E***Y,ok,5
20,Marieka,pas sesuai pesana,5
21,n***a,mantap,5
22,Wijayanto,"Mantap, HP nya bener bener baru, masih segel",5
23,Fachri,Beli HP? Ya di gudang HP!,5
24,U***r,alhamdulillah barang nya sudh nyampe cepet rekomend pokonya puas belanja d gudang HP trimakasih,5
25,Endang,josssssssssss bosskuuuu,5
26,Rujita,"Respon seller sangat cepat, semua pertanyaan dijawab dgn baik... HP berfungsi dgn baik, garansi resmi.. Pokoknya rekomend buat teman2 yg lagi cari hp online di toko ini a... ",5
27,M***a,Biar jumlah bintang yang berbicara ..,5
28,A***s,Barangnya original 👍 semua lengkap hanya warna barang bukan biru kayaknya.,5
29,Jauhari,Belum di coba semoga awet. Pengiriman cepat.,5
30,Fajar,"Barangnya original 👍 Barangnya mulus, Berfungsi dengan baik, Warna sesuai pesanan.",5
31,D***y,sippp udh langganan disini,5
32,Heri,Respon seller cepat. Pengiriman cepat. HPnya original. Recommended seller.,5
33,I***n,mantap barang ok .puas original segel aman jangan ragu belanja disini gak kaya toko sebelah beli barang baru yg d kirim servisan ..toko ini mah amanah semoga sukses,5
34,Hariansyah,Barangnya original 👍 Ada garansi resmi Kemasan disegel Spesifikasi sesuai Kelengkapan sesuai Warna sesuai pesanan Barangnya mulus Berfungsi dengan baik Baterai awet Penj... ,5
35,Yuda,Keren banget! Admin tokonya very helpful. Terima kasih Admin 🙏🏽🙏🏽🙏🏽,5
36,davidwd,mantap,5
37,Erika,semua ok barang segel dan baru. Barangnya original 👍 Ada garansi resmi Warna sesuai pesanan Spesifikasi sesuai Proses pesanan cepat Packaging rapi,5
38,Ahlan,,5
39,WedarSustriyogo,,5
