,nama,komentar,rating,kelas
0,M,barang ORI..segel.. berfungsi dengan baik.. hanya pengiriman nya lama tapi itu murni kesalahan kurir.. untuk pelayanan toko sudah bagus.. gudang hp top ..,5,Sangat-baik
1,Herni,Barang mendarat dengan selamat makasih seller en tokped,5,Sangat-baik
2,Trisna,barang diterima dengan selamat... semoga awet...,5,Sangat-baik
3,sholahudin,mantap,5,Sangat-baik
4,A***n,"recommended seller, packing rapi dan kuat.. salut",5,Sangat-baik
5,William,Pengiriman cepat barang ori mantap dehhh,5,Sangat-baik
6,Yanah,"gak ragu belanja di sini, tokop responsif, barang asli.",5,Sangat-baik
7,Moh,barang ORI masih segel jangan ragu untuk bli d toko ini,5,Sangat-baik
8,Yuda,ramah dan cepat,5,Sangat-baik
9,A***s,saya beli hp di gudang hp selalu pus dan chatnya selalu direspon mantap gudang hp sukses,5,Sangat-baik
10,A***K,"barang segel , kiriman cepat mantab",5,Sangat-baik
11,Yono,mantap,5,Sangat-baik
12,sholahudin,sangat recomendasiiiii,5,Sangat-baik
13,F***a,mantaaappp...,5,Sangat-baik
14,T***N,mantap fan terpercaya,5,Sangat-baik
15,P***i,barang sesuai,5,Sangat-baik
16,Yono,Barang sesuai,5,Sangat-baik
17,Yono,"baru sudah sampai,Gress masih segel",5,Sangat-baik
18,feno,"pengemasan rapi dan aman. respon penjual sangat ramah. cuma sayangnya dari ekspedisinya, Anteraja kurang gercep. paket dibawa muter muter :(",5,Sangat-baik
19,E***Y,ok,5,Sangat-baik
20,Marieka,pas sesuai pesana,5,Sangat-baik
21,n***a,mantap,5,Sangat-baik
22,Wijayanto,"Mantap, HP nya bener bener baru, masih segel",5,Sangat-baik
23,Fachri,Beli HP? Ya di gudang HP!,5,Sangat-baik
24,U***r,alhamdulillah barang nya sudh nyampe cepet rekomend pokonya puas belanja d gudang HP trimakasih,5,Sangat-baik
25,Endang,josssssssssss bosskuuuu,5,Sangat-baik
26,Rujita,"Respon seller sangat cepat, semua pertanyaan dijawab dgn baik... HP berfungsi dgn baik, garansi resmi.. Pokoknya rekomend buat teman2 yg lagi cari hp online di toko ini a... ",5,Sangat-baik
27,M***a,Biar jumlah bintang yang berbicara ..,5,Sangat-baik
28,A***s,Barangnya original 👍 semua lengkap hanya warna barang bukan biru kayaknya.,5,Sangat-baik
29,Jauhari,Belum di coba semoga awet. Pengiriman cepat.,5,Sangat-baik
30,Fajar,"Barangnya original 👍 Barangnya mulus, Berfungsi dengan baik, Warna sesuai pesanan.",5,Sangat-baik
31,D***y,sippp udh langganan disini,5,Sangat-baik
32,Heri,Respon seller cepat. Pengiriman cepat. HPnya original. Recommended seller.,5,Sangat-baik
33,I***n,mantap barang ok .puas original segel aman jangan ragu belanja disini gak kaya toko sebelah beli barang baru yg d kirim servisan ..toko ini mah amanah semoga sukses,5,Sangat-baik
34,Hariansyah,Barangnya original 👍 Ada garansi resmi Kemasan disegel Spesifikasi sesuai Kelengkapan sesuai Warna sesuai pesanan Barangnya mulus Berfungsi dengan baik Baterai awet Penj... ,5,Sangat-baik
35,Yuda,Keren banget! Admin tokonya very helpful. Terima kasih Admin 🙏🏽🙏🏽🙏🏽,5,Sangat-baik
36,davidwd,mantap,5,Sangat-baik
37,Erika,semua ok barang segel dan baru. Barangnya original 👍 Ada garansi resmi Warna sesuai pesanan Spesifikasi sesuai Proses pesanan cepat Packaging rapi,5,Sangat-baik
38,Ahlan,,5,Sangat-baik
39,WedarSustriyogo,,5,Sangat-baik
40,Tri,kurirnya lelet.....,4,Baik
41,Asep,mantap sesuai pesanan semoga awet,4,Baik
42,Abdullah,"maaf cuma sy kasi 4* soalnya warna tdk sesuai minta hijau dateng biru, sisanya recommend, pengiriman cepat, respon cepat, original.",4,Baik
43,P***a,barang sampai sesuai dengan apa yg dipesan..,4,Baik
44,E***s,Produk sesuai Deskripsi.,4,Baik
45,Miranti,kok ada nama orang di phone book hp nya,4,Baik
46,Tedy,gak dapat bns headset..mengecewakan..,4,Baik
47,D***l,pengiriman lambat ....,4,Baik
48,fie,gan kok gak dpt softcase nya ya,4,Baik
49,N***a,"sayang aja barang repack, segel lebih besar daripada segel ori",4,Baik
50,HAFIDZ,Cepet banget semoga awet,4,Baik
51,sahirudin,pengiriman nya cepat banget...,4,Baik
52,A***d,minta abu dikirim biru,4,Baik
53,M***n,ok,4,Baik
54,Bahar,"proses cepat.. pengiriman lancar.. packing standart.. barang OK,NO-MINUS.. terimakasih..",4,Baik
55,Mundy,"Respon cepat, barang ori dan masih segel👍🏻",4,Baik
56,B***r,produk ok banget hanya kurir ny yg lola,4,Baik
57,A***c,ok,4,Baik
58,H***i,"Barang sesuai yg dipesan, cuma untuk charging masih pake mikro usbnya lama, bukan type c seperti redmi 8. Sayangnya IMEI belum terdaftar di situs kemenperin.co.id, sama t... ",4,Baik
59,HAFIDZ,Cepet banget semoga awet,4,Baik
60,sahirudin,pengiriman nya cepat banget...,4,Baik
