nama,komentar
M,barang ORI..segel.. berfungsi dengan baik.. hanya pengiriman nya lama tapi itu murni kesalahan kurir.. untuk pelayanan toko sudah bagus.. gudang hp top ..
Herni,Barang mendarat dengan selamat makasih seller en tokped
Trisna,barang diterima dengan selamat... semoga awet...
sholahudin,mantap
A***n,"recommended seller, packing rapi dan kuat.. salut"
William,Pengiriman cepat barang ori mantap dehhh
Yanah,"gak ragu belanja di sini, tokop responsif, barang asli."
Moh,barang ORI masih segel jangan ragu untuk bli d toko ini
Yuda,ramah dan cepat
A***s,saya beli hp di gudang hp selalu pus dan chatnya selalu direspon mantap gudang hp sukses
A***K,"barang segel , kiriman cepat mantab"
Yono,mantap
sholahudin,sangat recomendasiiiii
F***a,mantaaappp...
T***N,mantap fan terpercaya
P***i,barang sesuai
Yono,Barang sesuai
Yono,"baru sudah sampai,Gress masih segel"
feno,"pengemasan rapi dan aman. respon penjual sangat ramah. cuma sayangnya dari ekspedisinya, Anteraja kurang gercep. paket dibawa muter muter :("
E***Y,ok
Marieka,pas sesuai pesana
n***a,mantap
Wijayanto,"Mantap, HP nya bener bener baru, masih segel"
Fachri,Beli HP? Ya di gudang HP!
U***r,alhamdulillah barang nya sudh nyampe cepet rekomend pokonya puas belanja d gudang HP trimakasih
Endang,josssssssssss bosskuuuu
Rujita,"Respon seller sangat cepat, semua pertanyaan dijawab dgn baik... HP berfungsi dgn baik, garansi resmi.. Pokoknya rekomend buat teman2 yg lagi cari hp online di toko ini a... "
M***a,Biar jumlah bintang yang berbicara ..
A***s,Barangnya original 👍 semua lengkap hanya warna barang bukan biru kayaknya.
Jauhari,Belum di coba semoga awet. Pengiriman cepat.
Fajar,"Barangnya original 👍 Barangnya mulus, Berfungsi dengan baik, Warna sesuai pesanan."
D***y,sippp udh langganan disini
Heri,Respon seller cepat. Pengiriman cepat. HPnya original. Recommended seller.
I***n,mantap barang ok .puas original segel aman jangan ragu belanja disini gak kaya toko sebelah beli barang baru yg d kirim servisan ..toko ini mah amanah semoga sukses
Hariansyah,"Barangnya original 👍 Ada garansi resmi Kemasan disegel Spesifikasi sesuai Kelengkapan sesuai Warna sesuai pesanan Barangnya mulus Berfungsi dengan baik Baterai awet Penj... "
Yuda,Keren banget! Admin tokonya very helpful. Terima kasih Admin 🙏🏽🙏🏽🙏🏽
davidwd,mantap
Erika,semua ok barang segel dan baru. Barangnya original 👍 Ada garansi resmi Warna sesuai pesanan Spesifikasi sesuai Proses pesanan cepat Packaging rapi
Ahlan,
WedarSustriyogo,
