,nama,komentar,rating,kelas
0,n***n,"sering putus sebelah kiri , pelayanan semau nya penjual",1,Sangat-buruk
1,Richard,"pertama pas mau beli direspon, giliran udah bayar dan mau tanya"" yg lain dikacangin terus. sampe 3 pertanyaan di hari yg berbeda. padahal sedang online terus pas nany... ",1,Sangat-buruk
2,r***s,"pengiriman tidak sesuai dengan antian, yang order tgl 4-5 sebagian d krm duluan sedangkan Sy yg order tgl 2 malah telat d krm.",1,Sangat-buruk
3,A***i,"baru beli tapi garansi habis, tanya ke Cs lempar2an kesana kesni tnpa solusi mending tiadakan cs aja",1,Sangat-buruk
4,yusmar,Padahal udah ikut PO dari tgl 1. malah barang ilang saat pengiriman. dan tidak ada kebijakan pengiriman barang dari pihak tokopedia maupun xiaomi.,1,Sangat-buruk
5,b***l,barang datang tidak mulus ada baret halusnya,1,Sangat-buruk
6,w***i,"buruk sekali PO Kali ini. pengiriman lama, udah gt tidak urut.saya pesan tgl 1 tp yg pesen setelah saya malah bisa dpt duluan . dikomplain jg tidak solutif Dan selalu kir... ",1,Sangat-buruk
7,B***y,keburu menyelesaikan masalah. ternyata ada masalah di kamera. dateng ke service center xiaomi roxy malah ga bisa tukar unit hanya pergantian sparepart. sayang banget unit... ,1,Sangat-buruk
8,t***a,proses PO tidak berjalan sesuai first come first serve tp lbh ke random atau last come first serve. beli tgl 1 dptnya 3 hari lbh telat dr yg beli tgl 5 lawak banget,1,Sangat-buruk
9,F***y,"Sangat sangat sangat sangat jengkel dengan xiaomi kali ini, dari dulu pakai xiaomi baru sekali ini ikut PO ampunnya setengah mati si raja jamping saman brembo @saman brem... ",1,Sangat-buruk
10,Riharto,pelayanan jelek pengiriman lelet intiny susah u promosiin ini toko ke org laen 👎👎👎👎👎👎👎👎👎👎👎😤🤬🥵😤🥵🥵👎👎👎👎👎👎😰,1,Sangat-buruk
11,Jin,"Battery boros padahal pemakaian sehari2 sekedar buka sosmed karena emg blm berani buat ngegame, ngecahrge jg lama, gimmick doang fast charging 120w nya",1,Sangat-buruk
12,Yap,"Produk baik-baik aja, yang masalah ada di respon admin dan pengiriman ekspedisi yang luar biasa ***** nya. PO tanggal satu pisan tapi dikirim duluan orang yang PO tanggal... ",1,Sangat-buruk
