,nama,komentar,rating
0,A***a,"pelayanan kurang maksimal, respon lambat yg bales bot teros,, pengiriman diusahakan jangan memakai nextday karena sama aja seperti reguler di saat menjelang hari raya bes... ",3
1,Muhammad,produk alhamdulillah diterima dengan keadaan baik. meskipun pengiriman ditunda 1 hari namun tidak masalah. hanya saja yang perlu diimprove adalah bagaimana admin melayani... ,3
2,Rendy,"barang bagus sesuai pesanan, tp saya kecewa pengiriman gak sesuai dari deadline pengantarannya, malah lambat 3 hari, sampai saya harus pakai jasa tambahan buat jemput bar... ",3
3,Salim,"pengiriman cepat, untuk packingan barang kurang safety, kualitas barang biasa saja, body hpnya licin(berbahan plastik) videonya dikirim ke official XIOAMI karena untuk m... ",3
4,F***i,barang segel. sayang dapat barang defect pertama. retur ke bhinneka setelah cek barang dl ke SC xiaomi. respon admin kurang cepat karna masih jawaban Bot. dri tgl PO 10 a... ,3
5,Johan,"Videonya masih belum mulus, glittering, seperti focus berubah, features yg lain ok. ****************************",3
6,IREGG,pengiriman agak lambat tp ya sudah lah yang penting barang sesuai dan tidak cacat,3
7,Zufrial,barang bagus pelayan minus,3
8,A***d,"Yaa, overall produknya bagus, tetapi ada satu masalah saya dapat produk yang ada bermasalah dengan baterai nya (daya tahannya tidak sesuai dengan kapasitas aslinya) agak... ",3
9,K***o,hp lumayan cepat panas dan pengiriman lama. kualitas kamera B sja.,3
10,L***n,"po nya amburadul ,, yg Po tgl belakangn malah dikirim duluan sedangkan saya pengiriman lama bgt po tgl 3 , dikirim baru tgl 12. , untung kurirnya cepet 1 hari sampai .sm... ",3
11,H***y,dikirim sesuai antrian👎👎,3
12,Aya,"proses pengiriman PO kacau, banyak yg pesan dr tgl 1 dikirim belakangan, sy pesen tgl 2, paket tiba tgl 9, berkat tim anteraja sameday yg bela2in anterin paket sy jam 9.3... ",3
