,nama,komentar,rating
0,Rafi,"Barang sampai dengan aman, lumayan lah... baru nyalain udah panas",4
1,Prima,"Terima kasih paket telah diterima dengan baik. Namun perlu ditingkatkan untuk proses ke pengirimannya, harusnya bisa jemput bola jika kurir ada kendala pickup.. kalau tun... ",4
2,Sangbima,sudah diterima dengan selamat. tenkyu,4
3,N***r,Bagus sesuai tapi pengiriman lama banget.,4
4,Tobi,"pengiriman cepat, PENGEMASAN BURUK POOOL.",4
5,Reyhan,"barang bagus, sesuai pesanan, tpi pengiriman lama tidak sesuai / melebihi estimasi pesanan. itu saja makasih",4
6,Rifandy,"paket udh diterima,alhamdulilah",4
7,Indra,best prize best choice no cacat process officials store luambatttt polllll,4
8,A***k,"Tolong perhatikan pelayananan kurir, terutama dari perusahaan jasanya. Kata kurir, yang memutuskan pengiriman sampai / tidak itu tergantung perusahaan jasa kurir tersebut... ",4
9,MS,Barang original resmi. Tapi sangat kecewa dengan pengirimannya sangat lama. Pesan hari jum’at di kirim hari selasa. Packing sangat simple ga safety,4
10,R***i,"Product sesuai, lebih mantab lagi bonus sd card",4
11,Ikhwanul,Barangnya original 👍 Kemasan disegel Ada garansi resmi Warna sesuai pesanan Barangnya mulus Packaging rapi Packaging aman 🙏,4
12,Lisa,Pengiriman langsung sampai dan cepat hanya belum dibuka,4
13,Mochammad,"Produk oke . Di terima gaada cacat sama sekali.Pokoknya mantap.Ga ragu deh . Semoga si awet tahan lama. Cuma 1 kurangnya Dr toko ini , slow respon sangat. Nanya kapan.... ",4
14,muhamad,barang bagus aman....cm proses verivikasi agak lama..,4
15,Triaji,"barang sesuai, bagus, masih segel, sayang pengirimannya lama sampai 4 hari baru sampai, padahal masih 1 provinsi dan sudah pilih ekspedisi yang 1 hari sampai",4
16,Abdi,"pengiriman cepat, HP ori, tapi sayang cepat panas",4
17,Rizki,"semuanya okelah, fast respon, chat ok, barang bagus dll, ...cuman kurirnya aja yg agak lama ...",4
18,Triaji,Memang cuma Infinix yg bener2 Pawang nya Gelio G Prosesor. Maen game di hape ini sering ngelag dropd FPS nya. Layarnya agak kecil krn memang sy biasa pake layar minimal 6... ,4
19,R***e,"Barang ori,respon cepat, minus di pengiriman saja delay",4
20,I***a,"Barang mantap, seller responsif, masalah di kurir aja karena gak tepat waktu",4
21,A***f,Barang bagus .. ORI ... packing aman.. kurir baik dan cepat 1 hari sampai Lagi di setel,4
22,Rachmat,"Barang ori,respon cepat, minus di pengiriman saja delay",4
23,I***a,"Barang mantap, seller responsif, masalah di kurir aja karena gak tepat waktu",4
24,A***f,Barang bagus .. ORI ... packing aman.. kurir baik dan cepat 1 hari sampai Lagi di setel,4
25,Rachmat,,4
