nama,komentar
Rafi,"Barang sampai dengan aman, lumayan lah... baru nyalain udah panas"
Prima,"Terima kasih paket telah diterima dengan baik. Namun perlu ditingkatkan untuk proses ke pengirimannya, harusnya bisa jemput bola jika kurir ada kendala pickup.. kalau tun... "
Sangbima,sudah diterima dengan selamat. tenkyu
N***r,Bagus sesuai tapi pengiriman lama banget.
Tobi,"pengiriman cepat, PENGEMASAN BURUK POOOL."
Reyhan,"barang bagus, sesuai pesanan, tpi pengiriman lama tidak sesuai / melebihi estimasi pesanan. itu saja makasih"
Rifandy,"paket udh diterima,alhamdulilah"
Indra,best prize best choice no cacat process officials store luambatttt polllll
A***k,"Tolong perhatikan pelayananan kurir, terutama dari perusahaan jasanya. Kata kurir, yang memutuskan pengiriman sampai / tidak itu tergantung perusahaan jasa kurir tersebut... "
MS,Barang original resmi. Tapi sangat kecewa dengan pengirimannya sangat lama. Pesan hari jum’at di kirim hari selasa. Packing sangat simple ga safety
R***i,"Product sesuai, lebih mantab lagi bonus sd card"
Ikhwanul,Barangnya original 👍 Kemasan disegel Ada garansi resmi Warna sesuai pesanan Barangnya mulus Packaging rapi Packaging aman 🙏
Lisa,Pengiriman langsung sampai dan cepat hanya belum dibuka
Mochammad,"Produk oke . Di terima gaada cacat sama sekali.Pokoknya mantap.Ga ragu deh . Semoga si awet tahan lama. Cuma 1 kurangnya Dr toko ini , slow respon sangat. Nanya kapan.... "
muhamad,barang bagus aman....cm proses verivikasi agak lama..
Triaji,"barang sesuai, bagus, masih segel, sayang pengirimannya lama sampai 4 hari baru sampai, padahal masih 1 provinsi dan sudah pilih ekspedisi yang 1 hari sampai"
Abdi,"pengiriman cepat, HP ori, tapi sayang cepat panas"
Rizki,"semuanya okelah, fast respon, chat ok, barang bagus dll, ...cuman kurirnya aja yg agak lama ..."
Triaji,"Memang cuma Infinix yg bener2 Pawang nya Gelio G Prosesor. Maen game di hape ini sering ngelag dropd FPS nya. Layarnya agak kecil krn memang sy biasa pake layar minimal 6... "
R***e,"Barang ori,respon cepat, minus di pengiriman saja delay"
I***a,"Barang mantap, seller responsif, masalah di kurir aja karena gak tepat waktu"
A***f,Barang bagus .. ORI ... packing aman.. kurir baik dan cepat 1 hari sampai Lagi di setel
Rachmat,"Barang ori,respon cepat, minus di pengiriman saja delay"
I***a,"Barang mantap, seller responsif, masalah di kurir aja karena gak tepat waktu"
A***f,Barang bagus .. ORI ... packing aman.. kurir baik dan cepat 1 hari sampai Lagi di setel
Rachmat,
