nama,komentar
Kurniawan,"segel aman , cuman pengiriman nya lama banget"
Jati,hmmmmm
Marina,"ga se wow yg ku bayangkan karna pas dipake isi dalemnya display dll jelas beda sama yg smartphone sekelas keliatan jadul, untuk expand ram juga butuh memory card yah baru... "
Nikita,Normal office for that price
Dayan,barang sesuai pesanan
Rizal,Bagus untuk harga segini
E***s,"Alhamdulillah barang nya cepet sampai,packing rapi bagus,ini barang pesenan orang lain. mf ga bisa kirimin Poto nyaa,karna langsung di kasihin, lupa di Poto in"
subli,nggak dapat casing
A***m,barang oke. sesuai dengan harga yang relatif murah
saryono,bagus
M***n,"Alhamdulillah sudah sampai,terima kasih xioami sudah mengeluarkan HP ramah dikantong,kebetulan hp Ayah rusak,jd jodoh disini."
liu,pengiriman barang agak telat bossku
N***o,Kemasannya harusnya lebih baik lagi.
Amsi,pelayanan ramah dan cepat
f***n,
