nama,komentar
A***d,"Barang Original, Segel, bungkus rapi. pakai bubble warp pastinya aman. cuma chat dibales lama. Redmi Note 12 Pro Spek sesuai deskripsi."
AMBC,"Lumayan puas dengan xiaomi official store cuma yang sangat saya kecewakan di bagian jasa pengirim paketnya yaitu sicepat pengirimannya lambat banget sampai sampai waktuny... "
A***l,Komunikasi tolong diperbaiki. Slow respon sekali. Utk barang tdk ada masalah. Barang sampaipun sesuai perkiraan.
w***m,"Barang barusan diterima, masih segel jadi saya yakin qualitasnya original Xiaomi. Sebelumnya pakai Mi 9, sampai hari ini berfungsi baik cukup puas. Semoga Xiaomi Redmi No... "
Herman,"barang bagus dapet cashback jg, packing bagus hanya saja pengiriman agak lemot tpi yaa okelaah"
T***s,"paket sampai dengan selamat, aman dan segel hanya lama di pengiriman 6 hari baru nyampe pdahal jkt-kbm, dimohon untuk diperhatikan lg kedepannya, Terima kasih👍"
A***d,"barang nya sih oke,,, sesuai bgt,,, cuma kendala di pengiriman, sminggu baru nyampe... -_-("
Z***n,barang sesuai harga. nggak expect gmn2
I***d,"Barangnya bagus, tapi sayangnya lama sampainya"
C***e,"Hanya 1 masukan : ADMIN HARUS FAST RESPON, APALAGI KALO DI CHAT. SELAMA INI ADMIN SANGAT SLOW RESPON. Semoga bisa jadi masukan & ada perubahan."
b***b,Respon menjawab lama dan kurir salah kirim alamat
Renol,"Mantab,...keren,.. top markotob... Walau sebetulnya mau beli yang paket bundling buds 4 pro,... hikss.. Semoga xiaomi kasih saya voucher diskon utk pembelian buds 4 pro."
Tresno,"semua ok, kecuali kecepatan respon dalam membalas chat. 🙏"
H***d,"barangnya bagus original, cuman proses pesanan nya lama. mohon di tingkatkan lagi. terimakasih"
E***d,alat pelepas sim nya ga ada
Selly,top lah redmi sayang msh android 12
D***n,"barang masih segel saat diterima, utuh dan kemasan aman rapi. Respon penjualnya agak selow pas ditanya ttg pengiriman yg tdk update progressnya jawabannya kurang responsi... "
Santi,pengiriman lama
H***d,"barang masih segel sesuai pesanan, cuman seller lambat respon dan lama pengiriman"
khoirul,original paket aman
Rio,mantul
Mike,
