,nama,komentar,rating
0,I***a,"Barang original resmi, respon cepat, pengiriman mantab, sesuai pemesanan, mantab pokoknya ✌",5
1,F***y,"barang masih disegel dengan baik, handphonenya pun masih baru, kemasannya juga gak ada rusak, handphone nya menyala dengan baik, pokoknya mantap",5
2,Totok,Ok,5
3,F***a,"Barangnya sesuai pesanan. Mudah2an awet. Packing oke, pengiriman lumayan cepat. Thanks",5
4,Sri,"Alhamdulillah paket sampai dengan selamat. keadaan aman, kardus penyok sedikit tapi nggak apa2. Pake pengiriman sameday, mesan jam 12 nyampe jam 8 malam 🥰 HP yang udah d... ",5
5,Manik,"packing nya aman dan rapi, semua fitur berfungsi dengan baik 👍",5
6,jati,"barang sampai dengan kondisi baik, fitur fast chragingnya cepat dlm mengisi baterai",5
7,Sabilus,👍👍,5
8,Noveman,Mantap,5
9,S***y,cs na slow respon 👌,5
10,Azis,good,5
11,Iadrianus,"kedua kali beli smartphone disini, dari 2017 memang favorit banget pake xiaomi dari redmi note 7,redmi note 8, redmi note 10 5G, ini yg terbaru redmi note 12pro 5G. I LO... ",5
12,Rizki,dr taun 2020 akhirnya upgrade note 9 pro to note 12 pro,5
13,DiptaLana,top banget barang original segel garansi ok paking bagus Aman gak kecewa pokok nya,5
14,b***u,Xiaomi mantap poll,5
15,Alessandro,barangnya sagat memuaskan.. walau pun pengiriman agak telat,5
16,Muhamad,Official store emg terpercaya.. good recomended seller. puasa banget sama barangnya,5
17,Edi,oke..,5
18,a***a,"bagus, segel aman, dan respon cepet",5
19,Harfin,"Barang original, sesuai dengan description. Barang asli. Segel kotak bagus. Kekurangan: pengiriman ditinggal di depan pintu, tanpa bel dan telepon, untung tidak hilang, h... ",5
20,Felix,"pengiriman lumayan lama, respon penjual sangat baik dan cepat, kemasan produk aman dan rapi. berfungsi dengan baik.",5
21,Triono,"Packing aman, semua fitur bkerja dengan baik, sesuai ekpektasi brngnya, bagus sekali. Terima kasih gan atas produk dan pelayanannya",5
22,Dedi,"Kualitas barang luar biasa. Main PUBGM sudah bisa Smooth Extreme. Refresh rate 120Hz, bikin nonton dan kerja jadi lebih enak!",5
23,Andi,"brg sesuai,fungsi normal,semoga berkah buat cr rejeki",5
24,Yosia,"Barang bagus tnpa ad kendala,smua berfungsi baik",5
25,Widodo,"barangnya bagus banget, sesuai ekspektasi cm pengiriman dr pihak xiaomi lelet banget",5
26,Nur,"terimakasih,0 bintang buat pengirimannya",5
27,R***l,bagussssss cuman pengiriman agak lama,5
28,Ryan,Pengguna setia xiaomi. Harga murah kualitas dijamin tidak murahan.,5
29,L***n,bagus,5
30,D***y,Kalo official seller pasti gak diragukan lagi lah...,5
31,F***y,mantap dah,5
32,a***i,ntapppp,5
33,A***z,"Barang segel, berfungsi tanpa kendala, mantap",5
34,Evendi,"mantap,,,,,👍👍👍",5
35,Mohammad,"barang diterima 15 April, langsung dicoba, dan mantul...",5
36,Reza,"barang aman, mulus, admin fast respon, sangat rekomendet",5
37,Andriansah,,5
38,A***f,,5
39,A***n,,5
