,nama,komentar,rating,kelas
0,I***a,"Barang original resmi, respon cepat, pengiriman mantab, sesuai pemesanan, mantab pokoknya ✌",5,Sangat-baik
1,F***y,"barang masih disegel dengan baik, handphonenya pun masih baru, kemasannya juga gak ada rusak, handphone nya menyala dengan baik, pokoknya mantap",5,Sangat-baik
2,Totok,Ok,5,Sangat-baik
3,F***a,"Barangnya sesuai pesanan. Mudah2an awet. Packing oke, pengiriman lumayan cepat. Thanks",5,Sangat-baik
4,Sri,"Alhamdulillah paket sampai dengan selamat. keadaan aman, kardus penyok sedikit tapi nggak apa2. Pake pengiriman sameday, mesan jam 12 nyampe jam 8 malam 🥰 HP yang udah d... ",5,Sangat-baik
5,Manik,"packing nya aman dan rapi, semua fitur berfungsi dengan baik 👍",5,Sangat-baik
6,jati,"barang sampai dengan kondisi baik, fitur fast chragingnya cepat dlm mengisi baterai",5,Sangat-baik
7,Sabilus,👍👍,5,Sangat-baik
8,Noveman,Mantap,5,Sangat-baik
9,S***y,cs na slow respon 👌,5,Sangat-baik
10,Azis,good,5,Sangat-baik
11,Iadrianus,"kedua kali beli smartphone disini, dari 2017 memang favorit banget pake xiaomi dari redmi note 7,redmi note 8, redmi note 10 5G, ini yg terbaru redmi note 12pro 5G. I LO... ",5,Sangat-baik
12,Rizki,dr taun 2020 akhirnya upgrade note 9 pro to note 12 pro,5,Sangat-baik
13,DiptaLana,top banget barang original segel garansi ok paking bagus Aman gak kecewa pokok nya,5,Sangat-baik
14,b***u,Xiaomi mantap poll,5,Sangat-baik
15,Alessandro,barangnya sagat memuaskan.. walau pun pengiriman agak telat,5,Sangat-baik
16,Muhamad,Official store emg terpercaya.. good recomended seller. puasa banget sama barangnya,5,Sangat-baik
17,Edi,oke..,5,Sangat-baik
18,a***a,"bagus, segel aman, dan respon cepet",5,Sangat-baik
19,Harfin,"Barang original, sesuai dengan description. Barang asli. Segel kotak bagus. Kekurangan: pengiriman ditinggal di depan pintu, tanpa bel dan telepon, untung tidak hilang, h... ",5,Sangat-baik
20,Felix,"pengiriman lumayan lama, respon penjual sangat baik dan cepat, kemasan produk aman dan rapi. berfungsi dengan baik.",5,Sangat-baik
21,Triono,"Packing aman, semua fitur bkerja dengan baik, sesuai ekpektasi brngnya, bagus sekali. Terima kasih gan atas produk dan pelayanannya",5,Sangat-baik
22,Dedi,"Kualitas barang luar biasa. Main PUBGM sudah bisa Smooth Extreme. Refresh rate 120Hz, bikin nonton dan kerja jadi lebih enak!",5,Sangat-baik
23,Andi,"brg sesuai,fungsi normal,semoga berkah buat cr rejeki",5,Sangat-baik
24,Yosia,"Barang bagus tnpa ad kendala,smua berfungsi baik",5,Sangat-baik
25,Widodo,"barangnya bagus banget, sesuai ekspektasi cm pengiriman dr pihak xiaomi lelet banget",5,Sangat-baik
26,Nur,"terimakasih,0 bintang buat pengirimannya",5,Sangat-baik
27,R***l,bagussssss cuman pengiriman agak lama,5,Sangat-baik
28,Ryan,Pengguna setia xiaomi. Harga murah kualitas dijamin tidak murahan.,5,Sangat-baik
