nama,komentar
dandidinda,barang tidak sesuai dengan pesanana
toprz,"barang di kirim repack, tidak di kasih ket. sesui barangnya"
apriliasusanti,barang ripek
Yahya,kecewa tidak sesuai diskripsi
Gatot,penjual tdk konfirmasi kalo repack
Nabilah,REPACK!!!!
K***y,Repackkkk....
K***y,Parah REPACK semuaaaaa!!!!!!
B***e,Repackkkkk coy
B***e,Beli 8 unit Repack semua
B***e,tidak ada konfirmasi kalo SDH repack
a***n,ketipu lihat ulasan.ternyata barangnya REPACK semua
N***a,REPACKKKKKK!!!!!!!!
N***a,barang repack tanpa deskripsi.sial kena tipu official
N***a,"admin nya blagu pake banget. ditanya kirim jam brp karna Sudah lewat Dari janji jam kirim, Malahan suruh ajukan cancel. Baru Kali ini belanja online ketemu yang super som... "
A***n,
