nama,komentar
Faiz,"barang mulus dan masih tersegel. overall bagus pengiriman, hp tidak ada kendala. cuma bingung cara klaim spotify sama youtube premiumnya, cs nya slowres"
Rayandra,"barang aman, dapat adaptor. tapi kecewa sama JNE, butuh waktu seminggu sampe rumah, biasanya hanya 4 hari paling lama"
Bejo,"barang masih tersegel, bonus charger. keren walau pengiriman agak tertunda"
O***i,"barang ori ya karena OS, packing aman apa lg kurir instant. tp proses pengiriman sekelas OS masih payah. delay 1 hari pakai instant kurir. tolong di perbaiki tuh."
Sanny,"Ada keterlambatan pengiriman dari pihak Samsung namun barang diterima dengan selamat, packing lumayan, semua perangkat berfungsi dengan baik. Terima kasih.."
F***y,"Pertama kalinya beli barang jutaan via ecomm, dan untungnya semua lancar2 aja. Terima kasih untuk Tokopedia, staf Samsung dan pak Achmad Muji yg sudah berperan mengantark... "
Mandala,semua oke kecuali 1 lamanya pengiriman
Hendra,"barang bagus, tp pengiriman ny lama"
Nining,"barang bagus, cukup utk jalanin aplikasi harian, tapi utk detail reviewnya gimana silakan search di Youtube ya"
Yanka,"mantab ya ges ya, datang dengan selamat dan belum ada keliatan kecacatan sedikitpun, nanti kalo dah sebulan ku up bintang 5"
D***i,"Barang bagus sesuai pesanan masih segel, packing oke, cuma respon proses & pengirimannya kurang cepat"
Ronny,"Barang sudah diterima, Unit Handphone nya berfungsi dengan baik, charger berfungsi, barang ORI, recommended. thank you..."
ria,"Barang cukup bgs, cm respon penjual lama. jd sy ga tau bs atau ga order brg tsb krn penulisan stock tdk sm dgn actual"
Fredy,"alhamdulillah barang sampai dengan selamat. original dan berfungsi dengan baik. cs tolong lebih fast response ketika pelanggan bertanya. semoga lebih baik kedepannya. ter... "
N***n,"Thanks for the free travel adapter, kualitas barang Official Store gak perlu diragukan lagi. Maaf tapi hanya bisa kasih bintang 4 ya, karena respon dan proses pengiriman... "
R***d,"Kualitas produk bagus, tapi pelayanan toko kurang memuaskan, respon lama. Terus paket saya hampir saja diambil orang dengan menunjukan nomor resi yang sama. Padahal yang... "
pradipa,"kasih bintang 4 dlu lah ngab, masa sim ejektornya gada hadeh, padahal ini baru loh aneh banget."
Fikry,"kecewa, gk dapet adapter nya."
Toni,tuk Dana pengembalian
Febrian,kualitas bagus
D***n,Kualitas barang sesuai ekspektasi. Tapi packagingnya perlu diperbaiki ya. Kardusnya sempet penyok.
A***i,Tidak dapat claim samsungcare+ dan claim bonus lainnya padahal sudah mengikuti sesuai instruksinya
athoillah,barang bagus tapi pengiriman lama banget padahal udah pake next day
r***l,barang bagus
r***a,barang original semoga awet tanpa kendala... tingkatkan lagi pelayanan yg gercep sekelas brand besar harus sat set sat set
P***o,"pengiriman dan pelayanannya kurang baik sekelas official store. barang dan bonus sesuai, untuk Spotify 3 bulan bingung claimnya gimana caranya."
sarip,"barang masih segel,pengiriman lambat"
J***a,"Barang asli dgn warna cakep bgt tp kardus agak penyok, dapat harga sale mayan lah apalagi dapat free traver adaptr ori samsjng, thankyou samsung ofc"
Azalia,"Barang sudah sampai, packing nya aman. kurirnya juga baik. cuma samsung care+ sama spotify nya masih blm bisa diaktifkan. mohon tanggapannya"
Arief,"terima kasih. meskipun saya hampir ketinggalan pesawat gara2 nunggu paketannya. kesalahan sistem pencari driver antara tokopedia dan gojek. sameday alhamdulillaah 3 hari.... "
Irvan,muantapppppp betul samsung m23
Riza,barang original.pengiriman cepat
A***n,Mantap
A***i,barang cepat sampai sesuai pesanan
A***a,"pengemasan dan device aman, bubble wrap tebal + dus, dapat bonus charger 25 w, hanya saja pengiriman dari anteraja sangat lama (4 hari lebih), kedepannya dari pihat penju... "
Wahyu,keren dan bagus barangnya
Irvan,muantapppppp betul samsung m23
Riza,barang original.pengiriman cepat
A***n,Mantap
A***i,barang cepat sampai sesuai pesanan
A***a,"pengemasan dan device aman, bubble wrap tebal + dus, dapat bonus charger 25 w, hanya saja pengiriman dari anteraja sangat lama (4 hari lebih), kedepannya dari pihat penju... "
Wahyu,keren dan bagus barangnya
