,nama,komentar,rating,kelas
0,Faiz,"barang mulus dan masih tersegel. overall bagus pengiriman, hp tidak ada kendala. cuma bingung cara klaim spotify sama youtube premiumnya, cs nya slowres",4,Baik
1,Rayandra,"barang aman, dapat adaptor. tapi kecewa sama JNE, butuh waktu seminggu sampe rumah, biasanya hanya 4 hari paling lama",4,Baik
2,Bejo,"barang masih tersegel, bonus charger. keren walau pengiriman agak tertunda",4,Baik
3,O***i,"barang ori ya karena OS, packing aman apa lg kurir instant. tp proses pengiriman sekelas OS masih payah. delay 1 hari pakai instant kurir. tolong di perbaiki tuh.",4,Baik
4,Sanny,"Ada keterlambatan pengiriman dari pihak Samsung namun barang diterima dengan selamat, packing lumayan, semua perangkat berfungsi dengan baik. Terima kasih..",4,Baik
5,F***y,"Pertama kalinya beli barang jutaan via ecomm, dan untungnya semua lancar2 aja. Terima kasih untuk Tokopedia, staf Samsung dan pak Achmad Muji yg sudah berperan mengantark... ",4,Baik
6,Mandala,semua oke kecuali 1 lamanya pengiriman,4,Baik
7,Hendra,"barang bagus, tp pengiriman ny lama",4,Baik
8,Nining,"barang bagus, cukup utk jalanin aplikasi harian, tapi utk detail reviewnya gimana silakan search di Youtube ya",4,Baik
9,Yanka,"mantab ya ges ya, datang dengan selamat dan belum ada keliatan kecacatan sedikitpun, nanti kalo dah sebulan ku up bintang 5",4,Baik
10,D***i,"Barang bagus sesuai pesanan masih segel, packing oke, cuma respon proses & pengirimannya kurang cepat",4,Baik
11,Ronny,"Barang sudah diterima, Unit Handphone nya berfungsi dengan baik, charger berfungsi, barang ORI, recommended. thank you...",4,Baik
12,ria,"Barang cukup bgs, cm respon penjual lama. jd sy ga tau bs atau ga order brg tsb krn penulisan stock tdk sm dgn actual",4,Baik
13,Fredy,alhamdulillah barang sampai dengan selamat. original dan berfungsi dengan baik. cs tolong lebih fast response ketika pelanggan bertanya. semoga lebih baik kedepannya. ter... ,4,Baik
14,N***n,"Thanks for the free travel adapter, kualitas barang Official Store gak perlu diragukan lagi. Maaf tapi hanya bisa kasih bintang 4 ya, karena respon dan proses pengiriman... ",4,Baik
15,R***d,"Kualitas produk bagus, tapi pelayanan toko kurang memuaskan, respon lama. Terus paket saya hampir saja diambil orang dengan menunjukan nomor resi yang sama. Padahal yang... ",4,Baik
16,pradipa,"kasih bintang 4 dlu lah ngab, masa sim ejektornya gada hadeh, padahal ini baru loh aneh banget.",4,Baik
17,Fikry,"kecewa, gk dapet adapter nya.",4,Baik
18,Toni,tuk Dana pengembalian,4,Baik
19,Febrian,kualitas bagus,4,Baik
20,D***n,Kualitas barang sesuai ekspektasi. Tapi packagingnya perlu diperbaiki ya. Kardusnya sempet penyok.,4,Baik
21,A***i,Tidak dapat claim samsungcare+ dan claim bonus lainnya padahal sudah mengikuti sesuai instruksinya,4,Baik
22,athoillah,barang bagus tapi pengiriman lama banget padahal udah pake next day,4,Baik
23,r***l,barang bagus,4,Baik
24,r***a,barang original semoga awet tanpa kendala... tingkatkan lagi pelayanan yg gercep sekelas brand besar harus sat set sat set,4,Baik
25,P***o,"pengiriman dan pelayanannya kurang baik sekelas official store. barang dan bonus sesuai, untuk Spotify 3 bulan bingung claimnya gimana caranya.",4,Baik
