,nama,komentar,rating,kelas
0,adhe,terkecoh banget sama variannya ternyata yang di klik 9a. bukan 9c. semoga awet deh ya hpnya. thx seller,4,Baik
1,Widyat,"Hp nya bagus. Tapi TG parah, sdh kotor di bagian lengketnya dari awal. Jd gak bisa dipake. Case nya kasar banget, mending case yg transparan aja sekalian. Padahal bayar l... ",4,Baik
2,sumarno,Pelayanan toko bagus. Hanya bagian pengiriman yg agak lambat,4,Baik
3,Putri,Siip mantap,4,Baik
4,pagar,"Produk original, pengiriman lumayan cepet. Belum di coba.. Tp looks ok nih.. Recommended seller.",4,Baik
5,A***w,brg dh nyampe mulus g da cacat,4,Baik
6,I***n,yang penting gercap barang aman k sipp,4,Baik
7,FiqihDwiSaputra,pelyanan admin dan pengiriman sangat memuaskanBarangnya original 👍. Ada garansi resmi.,4,Baik
8,Mohammad,"Pengiriman serta respon penjual cepat, tapi bonus nya tidak sesuai harapan; Order warna grey yg dikirim warna kemerahan stand holder nya malah jadi stand mic tempared gla... ",4,Baik
9,A***n,Barangnya original 👍. Spesifikasi sesuai . Kelengkapan sesuai. Kemasan disegel. Warna sesuai pesanan. Berfungsi dengan baik. Barangnya mulus. Proses pesanan cepat. Packa... ,4,Baik
10,Y***a,Diterima dengan selamat meskipun ga dapet bonus apa2. Chat ga dibales2,4,Baik
11,Heyo,"HP sampai dgn cepat, dan kondisi baik... Terima kasih",4,Baik
12,Rifqi,Ada garansi resmi. Barangnya original 👍. Kemasan disegel.,4,Baik
13,Ristriono,Thanks yaaa fast respons🙏,4,Baik
14,m***a,bgs tp bonusnya kurang bermanfaat,4,Baik
15,Bigah,"pengiriman cepat, seller responsif",4,Baik
16,Kemal,"barang semuanya ok, cuman bonus nya g dapat... dipostingan iklan nya katanya dapat aneka bonus tp g apalah yg penting HP nya sudah mendarat dgn selamat tks",4,Baik
17,Otanxyanuar,"Harusnya bisa bintang 5, tapi karena di sana ketulis ada bonus macem2 tp pas nyampe kaga ada 1 pun dapet apa2.",4,Baik
18,R***n,pengiriman cepat barang sesuai,4,Baik
19,M***i,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job,4,Baik
20,M***s,"Di gambar warna hitam, yg datang oren",4,Baik
21,Vaundra,sangat puas belnja di toko ini,4,Baik
22,Noni,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job,4,Baik
23,M***s,"Di gambar warna hitam, yg datang oren",4,Baik
24,Vaundra,sangat puas belnja di toko ini,4,Baik
25,Noni,,4,Baik
26,Nono,gambar 9c yg dtg 9a ya sudahlah...,3,Biasa
27,Kurniawan,5 hari (3 hari kerja) baru sampai. lama banget kirimnya,3,Biasa
28,Razi,"di foto dapet softcase, pas dikomplen, suruh milih gimana ceritanya, barang sesuai cuman GK gitu juga lah jualan",3,Biasa
29,David,barang bermasalah setelah bbrp hari,3,Biasa
30,Pujiono,kecewa pesen gift yg lengkap minus 1,3,Biasa
31,Erwin,"sameday sehari sampai, sebelumnya chat tanya stok n promo sesuai keterangan produk, free kartu perdana, cek ternyata gak ada, harus buat video unboxing, lha belanja sejut... ",3,Biasa
32,Hernita,"Barangnya original 👍. Spesifikasi sesuai . Warna sesuai pesanan. Packaging aman 🙏. .. cuman bungkusan luarnya basah🥺, tp untk HP nya masih aman",3,Biasa
33,R***T,"Moga2 aja barangnya awet, semoga",3,Biasa
34,ejaz,bonusnya kurang 1 wkwk,3,Biasa
35,Ramli,kirim nga sesuai warna ready grey blue kirim ya orange blue,2,Buruk
36,R***a,"Mohon maaf seller bagus tapi bintang 2 buat kurirnya, melebihi estimasi dan status tracking tidak jelas, tgl 25-28 Jakarta-jateng tanpa keterangan. Karena saya pikir pak... ",2,Buruk
37,K***i,"gk dapet softcase, padahal niat beli biar gk ribet uda lengkap.",2,Buruk
38,Hasan,kenapa kok yg datangnya 9A?? saya kan pesennya yg 9C...?? gx jelas... maaf ratingnya sy minuskn..,2,Buruk
39,toni,,2,Buruk
40,a***n,,2,Buruk
41,v***o,barang tidak datang....sampai sekarang. di komplain...malah di menangkan sama penjual,1,Sangat-buruk
42,W***y,"sudah pilih pengiriman nextday, ternyata alhasil 5 hari barang baru sampai,",1,Sangat-buruk
