,nama,komentar,rating,kelas
0,Dimas,terima kasih gan barang sudah mendarat dengan selamat 👍🏻👍🏻 ada beberapa dent yang seperti nya bekas jatuh dan juga ada keyboard yang coak seperti kena rokok.,4,Baik
1,Segar,"baterainya boros, dan touchpad sering geser sendiri ketika disentuh",4,Baik
2,topas,"Puas, barusan barang tiba dan sedang disedang digunakan. Tapi perlu cek beberapa hari ini semoga tetap lancar..",4,Baik
3,Bahtiar,"Meskipun mundur sehari dari jadwal semula namun tidak apa-apa, aplikasi dan driver masih versi lama, sedang diupgrade sendiri, bintang 4 cukup ya 🙏🏾👍",4,Baik
4,Bobby,"packing memuaskan rapih dan aman, untuk semuanya tidak ada komplain saya suka mantap min 👍🏼",4,Baik
5,Jambu,Kaca kamera ga ada Selebihnya insyaallah aman,4,Baik
6,S***h,kondisi fisik baik,4,Baik
7,A***s,"Barang yg dikirim kurang sip,bagian lcd kebuka dan tidak bisa nutup rapet,,stiker thinkpad bagian dalam tidak ada,,penjual responya bagus,,",4,Baik
8,Yuda,"okey, batrainya bertahan 2jam",4,Baik
9,I***n,"Puas, seller sangat membantu .",4,Baik
10,Rudisanusi,batre nya cuman kuat 1jam yg lain nya sih lancar,4,Baik
11,S***n,"barang sesuai, semoga awet.",4,Baik
12,Aldino,barang sudah diterima dengan baik hanya kondisi fisiknya saja yang kurang. terimakasih,4,Baik
13,Ridwan,"kerennn banget laptopnya, penjualnya juga bagus ramah, santun, & sabar melayani. Setelah laptop datang, Auto langsung saya pakai buat Programing & coding 🤩 Nam... ",4,Baik
14,Hai,"datengnya ke Semarang cepet sih 2 hari doang, barangnya mulus, ternyata udah backlit keyboard, bisa scroll 2 jari, layarnya bukan pake TN paketnya IPS keren sih jadi mau... ",4,Baik
15,v***a,keyboard nya banyak yang ketukar😭 harus ditempel bagian keyboardnya,4,Baik
16,AFIF,"Barang bagus, masih mulus walaupun bekas. booting cepet pake SSD storage",4,Baik
17,Tommy,Barangnya dalam kondisi baik,4,Baik
18,Dinta,"Jangan memiliki ekspektasi tinggi, biasa saja ekspektasinya, namanya juga laptop second (mungkin) eks luar negeri... khawatir kecewa...",4,Baik
19,T***h,performanya mantap.,4,Baik
20,E***n,barang mulus 95% semua sesuai deskripsi. seller responsif. recommended.,4,Baik
21,Adie,"Barangnya bagus, respon penjual cepat. Semoga barangnya awet. Terimakasih.",4,Baik
22,Luthfi,"Pengiriman cepat, packing mantap, dapet bonus mouse lagi.. Cuma sayangnya bukan tas selempang hehe. Semoga aman2 aja kedepannya dan awet. Edit: ternyata mikrofon gk ja... ",4,Baik
23,Y***a,,4,Baik
24,M***o,"dapat unit yg mulus secara fisik, tp sayang cuma baterainya yg g bisa bertahan lebih dari 1 jam, berasa kurang nyaman aja sih. sepertinya karena ini unit terakhir yg ada,... ",3,Biasa
25,R***a,"keyboard nya udah di ganti, engga ori lagi",3,Biasa
26,mursalinalink,ada sticker yg menutupi bagian cover atasnya mungkin karna ada goresan di sana. huruf di keyboard beberapa tidak kelihatan. tapi after all worth it lah di harga segitu.,3,Biasa
27,C***a,"Cukup bagus, body mulus seperti baru. Hanya saja ada beberapa minus menurut saya, saat laptop sleep trus pas nyala lagi wifi ga bisa auto konek, musti di trouble solving... ",3,Biasa
28,A***n,"Baru beli langsung error, katanya harddisk rusak zzz",1,Sangat-buruk
29,soebari,barang tidak sesuai charger tidak sama dan charger tidak bisa di gunakan.saya akan ganti ulasan ini jika ada pertanggung jawaban,1,Sangat-buruk
30,A***s,"Di Deskripsi produk, cacat pemakaian ya, jadi mksudnya cacat pemakaian itu seperti ini loh. saya sempat retur barang pertama karena retak (retak menurut saya ga termasuk... ",1,Sangat-buruk
31,Jian,"Overall bagus, tombol 4 nya agak keras",4,Baik
32,Rizanfiero,Masih belum terbiasa tanpa ms word,4,Baik
33,m***i,Seller responsif hanya saja kurir yg mengecewakan,4,Baik
34,Ekanur,"barangnya gak ada masalah cuma yg jadi masalah itu adminnya, saya minta batalin aja karena kelamaan ngirimnya tapi pengajuan pembatalan malah di tolak dan tetap di kirim... ",4,Baik
35,G***U,mungkin buble dan packing bs ditingkatkan karena cm lapis buble 2 lapis saja gampang penyok,4,Baik
36,A***p,pengiriman tidak sesuai yang dijanjikan. kualitas barang oke. Harga relarif murah. barang tersegel dengan aman.,4,Baik
37,Fachri,"barang sesuai, harga bersaing, tapi sayang nggak dapet screen protector",4,Baik
38,Eza,bagus,4,Baik
39,v***a,"Persis seperti hp android tapi versi laptop. Cocok untuk kebutuhan belajar-mengajar secara online. Aplikasi Zoom agak berbeda dengan versi cloud, tidak ada anotasi atau... ",4,Baik
40,m***h,ŕada lama kirim nya,4,Baik
41,Ivan,komplit tanpa ada lecet cuma mash bingung cara pakai nya,4,Baik
42,Tiyas,"Produk sesuai, Chromebook kereenn.. cm proses dr penjual agak lama aja.",4,Baik
