nama,komentar
Dimas,terima kasih gan barang sudah mendarat dengan selamat 👍🏻👍🏻 ada beberapa dent yang seperti nya bekas jatuh dan juga ada keyboard yang coak seperti kena rokok.
Segar,"baterainya boros, dan touchpad sering geser sendiri ketika disentuh"
topas,"Puas, barusan barang tiba dan sedang disedang digunakan. Tapi perlu cek beberapa hari ini semoga tetap lancar.."
Bahtiar,"Meskipun mundur sehari dari jadwal semula namun tidak apa-apa, aplikasi dan driver masih versi lama, sedang diupgrade sendiri, bintang 4 cukup ya 🙏🏾👍"
Bobby,"packing memuaskan rapih dan aman, untuk semuanya tidak ada komplain saya suka mantap min 👍🏼"
Jambu,Kaca kamera ga ada Selebihnya insyaallah aman
S***h,kondisi fisik baik
A***s,"Barang yg dikirim kurang sip,bagian lcd kebuka dan tidak bisa nutup rapet,,stiker thinkpad bagian dalam tidak ada,,penjual responya bagus,,"
Yuda,"okey, batrainya bertahan 2jam"
I***n,"Puas, seller sangat membantu ."
Rudisanusi,batre nya cuman kuat 1jam yg lain nya sih lancar
S***n,"barang sesuai, semoga awet."
Aldino,barang sudah diterima dengan baik hanya kondisi fisiknya saja yang kurang. terimakasih
Ridwan,"kerennn banget laptopnya, penjualnya juga bagus ramah, santun, & sabar melayani. Setelah laptop datang, Auto langsung saya pakai buat Programing & coding 🤩 Nam... "
Hai,"datengnya ke Semarang cepet sih 2 hari doang, barangnya mulus, ternyata udah backlit keyboard, bisa scroll 2 jari, layarnya bukan pake TN paketnya IPS keren sih jadi mau... "
v***a,keyboard nya banyak yang ketukar😭 harus ditempel bagian keyboardnya
AFIF,"Barang bagus, masih mulus walaupun bekas. booting cepet pake SSD storage"
Tommy,Barangnya dalam kondisi baik
Dinta,"Jangan memiliki ekspektasi tinggi, biasa saja ekspektasinya, namanya juga laptop second (mungkin) eks luar negeri... khawatir kecewa..."
T***h,performanya mantap.
E***n,barang mulus 95% semua sesuai deskripsi. seller responsif. recommended.
Adie,"Barangnya bagus, respon penjual cepat. Semoga barangnya awet. Terimakasih."
Luthfi,"Pengiriman cepat, packing mantap, dapet bonus mouse lagi.. Cuma sayangnya bukan tas selempang hehe. Semoga aman2 aja kedepannya dan awet. Edit: ternyata mikrofon gk ja... "
Y***a,
