,nama,komentar,rating,rating,rating
0,Dimas,terima kasih gan barang sudah mendarat dengan selamat 👍🏻👍🏻 ada beberapa dent yang seperti nya bekas jatuh dan juga ada keyboard yang coak seperti kena rokok.,4,4,4
1,Segar,"baterainya boros, dan touchpad sering geser sendiri ketika disentuh",4,4,4
2,topas,"Puas, barusan barang tiba dan sedang disedang digunakan. Tapi perlu cek beberapa hari ini semoga tetap lancar..",4,4,4
3,Bahtiar,"Meskipun mundur sehari dari jadwal semula namun tidak apa-apa, aplikasi dan driver masih versi lama, sedang diupgrade sendiri, bintang 4 cukup ya 🙏🏾👍",4,4,4
4,Bobby,"packing memuaskan rapih dan aman, untuk semuanya tidak ada komplain saya suka mantap min 👍🏼",4,4,4
5,Jambu,Kaca kamera ga ada Selebihnya insyaallah aman,4,4,4
6,S***h,kondisi fisik baik,4,4,4
7,A***s,"Barang yg dikirim kurang sip,bagian lcd kebuka dan tidak bisa nutup rapet,,stiker thinkpad bagian dalam tidak ada,,penjual responya bagus,,",4,4,4
8,Yuda,"okey, batrainya bertahan 2jam",4,4,4
9,I***n,"Puas, seller sangat membantu .",4,4,4
10,Rudisanusi,batre nya cuman kuat 1jam yg lain nya sih lancar,4,4,4
11,S***n,"barang sesuai, semoga awet.",4,4,4
12,Aldino,barang sudah diterima dengan baik hanya kondisi fisiknya saja yang kurang. terimakasih,4,4,4
13,Ridwan,"kerennn banget laptopnya, penjualnya juga bagus ramah, santun, & sabar melayani. Setelah laptop datang, Auto langsung saya pakai buat Programing & coding 🤩 Nam... ",4,4,4
14,Hai,"datengnya ke Semarang cepet sih 2 hari doang, barangnya mulus, ternyata udah backlit keyboard, bisa scroll 2 jari, layarnya bukan pake TN paketnya IPS keren sih jadi mau... ",4,4,4
15,v***a,keyboard nya banyak yang ketukar😭 harus ditempel bagian keyboardnya,4,4,4
16,AFIF,"Barang bagus, masih mulus walaupun bekas. booting cepet pake SSD storage",4,4,4
17,Tommy,Barangnya dalam kondisi baik,4,4,4
18,Dinta,"Jangan memiliki ekspektasi tinggi, biasa saja ekspektasinya, namanya juga laptop second (mungkin) eks luar negeri... khawatir kecewa...",4,4,4
19,T***h,performanya mantap.,4,4,4
20,E***n,barang mulus 95% semua sesuai deskripsi. seller responsif. recommended.,4,4,4
21,Adie,"Barangnya bagus, respon penjual cepat. Semoga barangnya awet. Terimakasih.",4,4,4
22,Luthfi,"Pengiriman cepat, packing mantap, dapet bonus mouse lagi.. Cuma sayangnya bukan tas selempang hehe. Semoga aman2 aja kedepannya dan awet. Edit: ternyata mikrofon gk ja... ",4,4,4
23,Y***a,,4,4,4
