nama,komentar
Jian,"Overall bagus, tombol 4 nya agak keras"
Rizanfiero,Masih belum terbiasa tanpa ms word
m***i,Seller responsif hanya saja kurir yg mengecewakan
Ekanur,"barangnya gak ada masalah cuma yg jadi masalah itu adminnya, saya minta batalin aja karena kelamaan ngirimnya tapi pengajuan pembatalan malah di tolak dan tetap di kirim... "
G***U,mungkin buble dan packing bs ditingkatkan karena cm lapis buble 2 lapis saja gampang penyok
A***p,pengiriman tidak sesuai yang dijanjikan. kualitas barang oke. Harga relarif murah. barang tersegel dengan aman.
Fachri,"barang sesuai, harga bersaing, tapi sayang nggak dapet screen protector"
Eza,bagus
v***a,"Persis seperti hp android tapi versi laptop. Cocok untuk kebutuhan belajar-mengajar secara online. Aplikasi Zoom agak berbeda dengan versi cloud, tidak ada anotasi atau... "
m***h,ŕada lama kirim nya
Ivan,komplit tanpa ada lecet cuma mash bingung cara pakai nya
Tiyas,"Produk sesuai, Chromebook kereenn.. cm proses dr penjual agak lama aja."
A***e,"sebelumnya saya cuma mau ngomong bahwa tidak ada masalah dengan toko ini. penjual responsif, barang jg oke sesuai deskripsi. hanya saja, kurir yg saya pakai yaitu a*n*r*j... "
Indra,Perbaikin untuk konsekuensi perihal pengiriman ya kak. Lain2 oke lahh
A***a,
