,nama,komentar,rating
0,sapto,K = Lumayan P = Bagus T = Keren S = Sesuai G = Ada Sayang Cepat Panas Touchpadnya Berisik Bonusnya Tas 😀😀😄😄 Smoga Awet Buat Tempur Kerja,4
1,Fadllyh,"Layar full HD. Kenceng buat gaming 👍. Desainnya keren. tapi sayangnya laptop cepet panas, baru di pakai 30 menitan udah panas banget",4
2,eddy,"sesuai harapan dan pengiriman tepat waktu, kekurangan packingan nya hanya buble 1 layer tanpa pakai pelindung lain nya",4
3,Joko,Packingan nya tidak safety banget.. hanya 1 lapisan dibagian luar saja. Untung saja laptop nya aman2 saja,4
4,Mihma,Desainnya keren. Layar full HD. Gampang dibawa-bawa.,4
5,Rega,"saya kecewa dengan packing nya, yg tidak sesuai SOP dari kurir yg cuma pake satu lapis buble warp. untuk laptop Alhamdulillah sesuai dengan spek yg ditawarkan",4
6,Shidiq,cepat panas Wei gila nih laptop selain bisa dipakai buat ngetik juga bisa dipakai buat setrikaan,3
7,y***a,"adminnya cuek, overall bagus sih",3
8,arin,"mengecewakan sebenernya, free upgrade nya tolong di hapus klo sudah habis promonya, kaya ketipu jadinya, sekelas official store lo ini",2
9,B***s,"Toko yang menyulitkan pelanggan! pembayaran via CC dikenakan charge 3% yang sangat tidak masuk akal. Apabila beli di toko namun settlement di tokped, dipaksa memilih pe... ",1
10,W***i,"berat setelah ditimbang hanya 3,9 kg, dengan packing kardus. tapi di deskripsi dituliskan 12 kg. pengiriman ke riau. alhasil, kena biaya kirim 400rb an.",1
11,B***o,"admin kurang soal pengetahuan laptop, admin kurang responsif, barang baru sampai keyboard tidak berfungsi bahkan on screen keyboard gabisa, tolong berhati2 membeli barang",1
12,Y***B,"Pelayanan Tokonya baik tapi Laptop cepat Panas, saat Idle temperature bisa 73 C (nggak di pakai apa2, cuman browsing). pas di pegang di atas keyboardnya panas banget. Moh... ",1
