,nama,komentar,rating
0,R***a,"Tidak cocok untuk mahasiswa, itu aja",4
1,D***i,cocok buat kebutuhan office. ada kendala minus belum dapat mouse tapi segera diproses buat pengirimannya. lebih rekomen pakai ms office online daripada install aplikasi.,4
2,rian,barang bagus peking nya aman,4
3,Arif,"Sempat dikirim barang yang bermasalah, akhirnya di retur dan dikirim yang baru, agak bikin males karna harus nunggu lama lagi, no bonus, Semoga Awet.",4
4,f***i,cukup bagus,4
5,Muhammad,Barang sudah di Terima kemarin. aman..,4
6,Ika,Ada kendala sedikit. Kurang dicek kelengkapan barang ketika dikirimkan. Mohon di upgrade pelayanan nya.,4
7,M***M,"oke.. pemakaian enteng cukup oke, tapi sayang cuma bisa buka 2 akun saja nggak bisa lebih butuh bibit tanaman cek ""Agro Bibit Sentosa""",4
8,wedhy,kondisi layar tidak normal ada bagian putih² disetiap sudut,4
9,F***r,mantap gann👍🏻,4
10,Agus,"Paket sdh diterima dg baik, berjalan normal. Hanya bagian sudut2 layar ada cahaya putih spt pernah tertekan layarnya.",4
11,H***a,"Seller gercep & responsif. Packing plastik tanpa lapisan bubble wrap. 😔 Bundle normal = Bundle FS, tanpa ms office hanya beda harga 😩 160 GB = 32 GB E-mmc + 128 GB... ",4
12,B***g,pengiriman cepat & packing aman,4
13,A***i,"Begitu ada kendala, langsung direspon dengan baik oleh penjualnya",4
14,Dwi,"alhamdullilah brng nya bgus sih,,tp pngiriman nya agak lama,,,tlng kdpn nya LBH baik lg dan respon nya jga LBH cpet.",4
15,Vivien,Diberi 4 bintang karena masih menunggu free mouse yang tidak dikirim bareng laptop.,4
16,Priyanto,kurang optimal..,4
17,S***r,"Performa nya lumayan untuk dipakai kerja ringan seperti mengetik, build quality agak kurang di touchpadnya yang kurang solid, overall sesuai harga untuk tokonya bintang... ",4
18,Efien,papan mouse kalau ditekan ada bunyi,4
19,Rangga,pengiriman cepat,4
20,aditia,lumayan,4
21,A***i,kecewa sama pelayanan toko... Janji jumat bisa pickup baru sabtu diproses pickup.. Hasilnya saya harus ambil barang di gerai karena dibutuhkan hari itu jg. Lain kali Lai... ,4
22,Eric,Seller cepat respon dan kirim Overall barang bagus.. Setelah dicek online katanya Battery tahan sampe 10 jam.. Tapi blm coba.. Cuman pas di tanyain tas nya katanya lagi... ,4
23,aditia,lumayan,4
24,A***i,kecewa sama pelayanan toko... Janji jumat bisa pickup baru sabtu diproses pickup.. Hasilnya saya harus ambil barang di gerai karena dibutuhkan hari itu jg. Lain kali Lai... ,4
25,Eric,Seller cepat respon dan kirim Overall barang bagus.. Setelah dicek online katanya Battery tahan sampe 10 jam.. Tapi blm coba.. Cuman pas di tanyain tas nya katanya lagi... ,4
