,nama,komentar,rating,kelas
0,Adikrisna,"Admin responsif mantap, untuk barang memang ada harga ada barang, tapi overall sip!",5,Sangat-baik
1,Adhan,"laptop agak cepet panas, barang lengkap semoga awet",5,Sangat-baik
2,Heri,"Untuk pemakaian kerja ringan seperti mengetik dan browsing perangkat ini sudah sangat memadai, boleh dikatakan lebih dari cukup. Pengiriman cepat sampai, terimakasih sell... ",5,Sangat-baik
3,oca,makasiiiii,5,Sangat-baik
4,A***d,Bagus,5,Sangat-baik
5,j***o,mantapppp,5,Sangat-baik
6,nurmala,pelayanan nya ramah❤,5,Sangat-baik
7,Jannatun,"Saya beli untuk anak. Dan anak pun suka. Mudah dioperasikan, bahannya bagus. Top!",5,Sangat-baik
8,wegig,"bagus produknya, dan sesuai untuk pekerjaan2 yg tidak membutuh aplikasi yg berat2...",5,Sangat-baik
9,P***u,Ketika barang sampai saya merasa puas sebab barang benar-benar mulus. Ekspektasi terhadap chromebook membuat saya sangat antusias. laptop juga tidak terkesan murahan. goo... ,5,Sangat-baik
10,Arif,ManTRAPS,5,Sangat-baik
11,N***m,Mantaap kualitas bagus barang cepat nyampe juga,5,Sangat-baik
12,C***s,Terima kasih,5,Sangat-baik
13,Julfandes,"Puas banget sama pelayannya, returnnya juga mudah dan tidak dipersulit. Baru pertama kali beli laptop eh kena Hot Pixel, untung masih bisa direturn dengan syarat vido unb... ",5,Sangat-baik
14,Tentra,"Bekerja dengan baik laptopnya… lalu untuk packaging aman, cm mgkn buat ke depannya bs lebih tebal lagi wrap nya. Ketika barang sudah sampai kalau bs ada bukti foto yang n... ",5,Sangat-baik
15,R***a,"Tidak cocok untuk mahasiswa, itu aja",4,Baik
16,D***i,cocok buat kebutuhan office. ada kendala minus belum dapat mouse tapi segera diproses buat pengirimannya. lebih rekomen pakai ms office online daripada install aplikasi.,4,Baik
17,rian,barang bagus peking nya aman,4,Baik
18,Arif,"Sempat dikirim barang yang bermasalah, akhirnya di retur dan dikirim yang baru, agak bikin males karna harus nunggu lama lagi, no bonus, Semoga Awet.",4,Baik
19,f***i,cukup bagus,4,Baik
20,Muhammad,Barang sudah di Terima kemarin. aman..,4,Baik
21,Ika,Ada kendala sedikit. Kurang dicek kelengkapan barang ketika dikirimkan. Mohon di upgrade pelayanan nya.,4,Baik
22,M***M,"oke.. pemakaian enteng cukup oke, tapi sayang cuma bisa buka 2 akun saja nggak bisa lebih butuh bibit tanaman cek ""Agro Bibit Sentosa""",4,Baik
23,wedhy,kondisi layar tidak normal ada bagian putih² disetiap sudut,4,Baik
24,F***r,mantap gann👍🏻,4,Baik
25,Agus,"Paket sdh diterima dg baik, berjalan normal. Hanya bagian sudut2 layar ada cahaya putih spt pernah tertekan layarnya.",4,Baik
26,H***a,"Seller gercep & responsif. Packing plastik tanpa lapisan bubble wrap. 😔 Bundle normal = Bundle FS, tanpa ms office hanya beda harga 😩 160 GB = 32 GB E-mmc + 128 GB... ",4,Baik
27,B***g,pengiriman cepat & packing aman,4,Baik
28,A***i,"Begitu ada kendala, langsung direspon dengan baik oleh penjualnya",4,Baik
29,Dwi,"alhamdullilah brng nya bgus sih,,tp pngiriman nya agak lama,,,tlng kdpn nya LBH baik lg dan respon nya jga LBH cpet.",4,Baik
30,attha,"paket datang tanpa ada packing kayu, padahal isinya barang elektronik, buat kedepan nya tolong di packing kayu, karna biaya proteksi nya lumayan mahal kalo hanya packing... ",3,Biasa
