nama,komentar
Adikrisna,"Admin responsif mantap, untuk barang memang ada harga ada barang, tapi overall sip!"
Adhan,"laptop agak cepet panas, barang lengkap semoga awet"
Heri,"Untuk pemakaian kerja ringan seperti mengetik dan browsing perangkat ini sudah sangat memadai, boleh dikatakan lebih dari cukup. Pengiriman cepat sampai, terimakasih sell... "
oca,makasiiiii
A***d,Bagus
j***o,mantapppp
nurmala,pelayanan nya ramah❤
Jannatun,"Saya beli untuk anak. Dan anak pun suka. Mudah dioperasikan, bahannya bagus. Top!"
wegig,"bagus produknya, dan sesuai untuk pekerjaan2 yg tidak membutuh aplikasi yg berat2..."
P***u,"Ketika barang sampai saya merasa puas sebab barang benar-benar mulus. Ekspektasi terhadap chromebook membuat saya sangat antusias. laptop juga tidak terkesan murahan. goo... "
Arif,ManTRAPS
N***m,Mantaap kualitas bagus barang cepat nyampe juga
C***s,Terima kasih
Julfandes,"Puas banget sama pelayannya, returnnya juga mudah dan tidak dipersulit. Baru pertama kali beli laptop eh kena Hot Pixel, untung masih bisa direturn dengan syarat vido unb... "
Tentra,"Bekerja dengan baik laptopnya… lalu untuk packaging aman, cm mgkn buat ke depannya bs lebih tebal lagi wrap nya. Ketika barang sudah sampai kalau bs ada bukti foto yang n... "
F***e,"tidak menyesal beli di toko ini.. : 1. respon cepat 2.barang di pack rapi dan di buble wrap 3.brg mulus tiba di buyer 4.utk kualitas brg: performa bagus, bentuk compact,... "
Sapto,Semoga awet. Mantap.
kinderjoy,Value for money
ahdiyat,"Sempat kena drama keluh kesah belanja online, tapi seller sangat responsif menyelesaikan masalah gak pake ribet. Untuk pelayanan, top notch juara pisan. Kalo laptopnya g... "
adiptawf,Proses cepat
I***a,"Sesuai ekspektasi. Performanya lancar jaya walaupun chipsetnya, ya tau sendiri lah. Secara keseluruhan memuaskan, walaupun minusnya mungkin di speaker yang kurang bisa le... "
Adam,Produk nya berkualitas. Produknya recommended dan berkualitas!. Produk mantap..Pengiriman juga cepat.. Packing aman Jaya..Terima kasih bos.. Sukses selalu🙏🙏👍👍
Woen,"Build quality bagus, performa utk chromebook kencang, desain lumayan, seller komunikatif"
Antonio,"Ini adalah pertama kalinya saya beli chromebook. Berawal dari review gadgetin ttg benda satu ini dari toko satu ini lalu david gadgetin bilang buat apa beli laptop mahal... "
r***a,"sudaah sampaii niihh, suka bgt smaa kakanyaaa sabarr ngadepin chat aku ehehe besttt bgtt dehh terimakasiih puass bgtt 🥰🥰"
H***l,"bagus, mulus gak ngelag, ringan"
Tegar,"barang oke , recommended seller"
Samuel,❤️❤️
Siti,"Mantap min, paket sampai dengan aman. Sesuai ekspektasi."
e***a,Barang datangnya cepet sekali. Sudah sampai dan langsung dipakai buat kerja. Ini laptop harga 1jtan tapi cepet banget dibandingkan laptop windows 5jtan saya 👍🏻
N***a,"sampai dengan amann, gercep banget utk seller dan ekspedisinya. langsung di proses dan langsung sampai. paket juga aman"
Ridho,Sesuai ekspektasi
Adityo,"cocok untuk orang yang bener"" tau tujuannya beli laptop ini untuk apa 😁🙏"
I***d,sesuai ekspektasi... kirain pakai wifi rumahan g bisa ternyata bisa....ITS ok lah
Moh,ok good
Yoanfara,"Alhamdhulillah bgs barangnya video unboxingnya menyusul, overall bgs cocok utk kerja edit tipis dan foto, makasih gan 😁🙏👍"
Aning,"untuk crhome book harga segini lumayan lah, cuma kesan pertama agak panas aja."
Yuliyanti,"mantap performa keren. wuzz, build Quality kalau merk hp mah gk usah di ragukan lah"
Daru,"Barang sesuai pesanan, barang Ori disertai dengan Garansi 1 tahun, sistem berjalan dengan baik, terima kasih"
A***f,"barang bagus, pengiriman cepat."
Lkp,👍👍👍👍👍
Priyo,"Entah kenapa pengiriman berkendala. Kemasan cukup baik. Produk sesuai deskripsi, berfungsi dg baik 👍"
Handoko,Alhamdulillah barang sesuai pesanan mudah mudahan awet bisa buat kerja dan nonton jangka lama
K***k,"Packing cukup aman pakai bubblewrap. Barang oke untuk harganya tinggal penyesuaian penggunaan. Port usb a dan usb c cukup banyak untuk kelasnya. Baterai irit. Performa bu... "
F***z,alhamdullillah
A***p,mendarat dengan selamat
P***i,"bagus rekomeded DECH seller ini ,, fast respon dan respect banget terimakasih kak seller next beli lagi di toko ini selalu amanah ya terima kasih"
Delviadi,
Oki,
A***a,
