,nama,komentar,rating,kelas
0,Nurul,Barang bagus sesuai dengan deskripsi produk,5,Sangat-baik
1,Rahadian,"packing rapih dan aman, laptop berfungsi baik, pelayanan cepat",5,Sangat-baik
2,Mulyadi,Alhamdulilah barang tiba dengan cepat.. barang ok,5,Sangat-baik
3,Titiek,sudah di terima dengan baik dan sesuai. hanya terkendala di pengiriman yg cukup meresahkan dan lama. karena tracking tidak jalan. but overall jkt - bali aman. pakai asura... ,5,Sangat-baik
4,sophia,mmmmmmmmmaaaaaaaaannnnnnnnnnnntttttttaaaaaabbbbbbbbb,5,Sangat-baik
5,I***n,"datengnya cepet dan barang'nya original, fast respon, official store emang the best",5,Sangat-baik
6,Deannissa,"Pengirimannya cepat, walaupun pakai yang reguler. Packaging aman, anti basah padahal udah deg2an musim hujan. Desain laptopnya bagus, simple but elegant. Dapet tas laptop... ",5,Sangat-baik
7,B***y,Puji Tuhan barangnya sudah diterima malam ini juga jam 10mlm. toko responsif. semoga bermanfaat utk anak saya dlm pendidikannya. utk pak Suwandi driver grab semoga sehat... ,5,Sangat-baik
8,A***w,Laptopnya oke 👍 specs sesuai .. setelah pemakaian 3 Minggu lancar jaya ..,5,Sangat-baik
9,N***i,good pokonya recommended bgt nih laptop pesan tadi siang jam 6 sore sampai. respon cs sangan baik n sabar .kurir cepat good pokonya,5,Sangat-baik
10,Asep,keren si... mantappppppppppppppppppppp dahhh gk diragukan lagi... keren keren keren,5,Sangat-baik
11,Elwimetri,overall good... recommended sellers... thanks alot,5,Sangat-baik
12,Captaw,"Original, berfungsi dengan baik, Windows OHS ori, dapat free tas dan cashback gopay...",5,Sangat-baik
13,G***a,pengiriman cepat barang sampai dengan aman,5,Sangat-baik
14,P***i,"Pengiriman barang agak lambat karena ada dibatalkan oleh kurir ekspedisi, pengecekan dan review kualitas barang menunggu penerima balik dari tugas luar kota.",5,Sangat-baik
15,A***e,"kerasa kualitasnya, desain nya mewah, dll",5,Sangat-baik
16,Hermawan,barangnya bagus smga awet,5,Sangat-baik
17,e***a,Barang cepat sampai. Dapet discount. Jauh lbh murah,5,Sangat-baik
18,D***y,Packing rapi dan barang sampai dengan selamat mantap 👍🏼👍🏼,5,Sangat-baik
19,K***k,"masyaallah... barangnya bner bner gress, tanpa ada cacat sdkitpun, smpet degdegan juga sih krna tkt trjdi hal apa, tapi alhmdulillah barang slmat smpai k tangan,, smoga... ",5,Sangat-baik
20,kembar,Mantap,5,Sangat-baik
21,A***s,Alhamdulillah mantul dikirim dengan cepat dan selamat. terima kasih bisa dipakai semoga awet. thank you toped dan antaraja,5,Sangat-baik
22,S***a,Great lappie with reasonable price. Spectacular!,5,Sangat-baik
23,Eric,"Diprosesnya cepat, pengantarannya juga cepat & lancar, customer service cepat responsenya.",5,Sangat-baik
24,M***r,"Barangnya cepat diterima dengan kondisi baik, terlebih produknya sesuai dengan harapan. Terima kasih ya",5,Sangat-baik
25,F***l,"laptop yang murah tapi mantap. Sayangnya pengiriman instan ternyata baru tiba 7 jam sejak dipesan, karna seller lama komfirmasi ordernya.",5,Sangat-baik
