nama,komentar
M***d,"Fast respon dan barang bnib, sy sdh beberapakali belanja di toko ini dan tidak pernah mengecewakan"
Yovinus,"Mantap Jiwa deh pokoknya, aktif ngebalas, dan sellernya ramah"
A***i,best cepet banget pesen jam 1 sore jam 5 sampe
E***h,"barangnya okee pengiriman jg cepat krn pake instant. sayangnya segel box laptop udah kekupas sedikit dan box penyok (bukan kesalahan kurir) garansi di website apple sisa... "
Anessa,"mantulll... pengiriman cepat, ke papua kurang dari 1 minggu. barang aman meski cuma pake bubble wrap. barang ori. chat seller responsif. recomended seller 👍"
M***z,"seller fast respond, macbook nya garansi blm jalan packingnya jg aman karna pake packing kayu"
R***d,Brg sesuai pesanan 👍🏼
H***z,Barang baru sesuai dengan informasi
Young,Bagus banget udah 2 buln di pakai gada kendala
H***i,"seller sangat responsif saat ada pertanyaan merupakan nilai plus. Barang mulus, cycle count baru 6 dan masih dapat garansi sampai oktober 2023"
L***d,"kualitas sangat bagus dan sesuai, barang baru dan masih garansi, meskipun barang cpo namun semua berfungsi dengan baik seperti baru, seller pro aktif"
M***i,cepat. kirim.ke jogja aman gak ada yg penyok karena full bubble dan tercover kadus dari toko. jadi kardus apple aman. barang juga aman
Flinn,"Pengirimin cepat, walaupun plastik segel terbuka sedikit namun setelah di cek laptop original dan aman."
L***y,🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻
Fandhy,"macbook m1 2020 inter, kualitas oke"
A***y,Mantaappp produknya original dan sesuai. Proses pemesanan cepat dan dipacking pake bubble warpnya aman sekali. Terimakasih!!
Jenshiang,"mantep lah, tapi belum seminggu beli udah diajak kecelakaan sama yang punya 🤣"
Gilang,"Packing tebel, mantap semoga maxwin gan"
Hilarius,barang segel mantap
M***d,Walaupun box ada sedikit penyok tapi unit aman dan penjual sangat responsif dan komunikatif
Yudha,"Respon nya sangat baik, so far blm ada kendala ya di laptopnya . Sukses !"
kinoy,"setelah seminggu lebih pemakaian tidak ada masalah, admin juga fast respon. pengiriman cepat"
Z***h,barangnya mulus seperti baru
s***a,Thank you for your job) All is good!)
B***s,"Pengiriman cepat dan aman walau ketika datang kondisi kotak sedikit penyok di salah satu sudut kotak. Namun kondisi macbook masih aman. Bonus hardshell case dan keyboard... "
M***a,"Produk sampai dengan selamat, keren behh..."
Nenden,So far super satisfied
S***s,Pembelian ketiga dari toko ini. Semuanya memuaskan. Kali ini bonus langsung dikirim bersama macbooknya. Thanks
mohammad,"seller sangat responsif, pengemasan dan pengiriman sangat cepat, barang bnib dan berfungsi dengan baik, mantap👍🏻"
R***y,pelayanan dan barang oke bgttt
Ardyan,Baru dibuka dan normal jaya semuanya.
Sulthoni,"Pengiriman cepat, packing tebal walau luar kota tetap aman, barang ori. admin nya juga fast response, ga salah pilih toko ini. smoga usahanya makin lancarr"
N***l,"Puji Tuhan barang aman dan ori 💯%, sudah di cek serial numbernya dan terdaftar walaupun garansinya sudah berjalan kurang lebih sebulan, tapi gapapa karena dapet cashback... "
Muhammad,Udah langganan beli produk apple disini. Packing cepat dan seller responsive. Semoga produknya awet yaaa. Pelayanan after salesnya semoga baik juga. Thank you seller
Nakzim,"Sampainya cepat, packing aman dan tebal"
Widitia,"Setelah beberapa hari pemakaian, ternyata bagus barangnya, ga ada masalah, sayangnya karena dipacking bareng airpods, box luarnya terlalu sempit, jadi penyok box macbookn... "
T***s,Mantap
P***a,"mantab,fast responce,recommended seller.."
B***a,"Semuanya berfungsi dengan baik, saran aja sih adain contact Customer Service nya jika terjadi sesuatu dan ingin claim garansi"
F***n,"Finally! Terealisasi jg beli mac disini. Makasi ya semoga awet, pelayanannya emang ga kaleng2, garansi aktif, Langsung dikirim dalam hitungan jam, cashbacknya mantep ni t... "
Feisal,mantaapp!!
M***d,"barang sesuai pesanan, seller ramah komunikatif, barang cepat sampai dan packing super aman. top lah....."
funstuff,"Mantap sehh...packing keren dan aman, respon saat chatingcepat"
Kris,"Sudah terpercaya, Semoga ga ada kendala. Terima kasih admin"
I***i,"Barangnya nyanpe dengan selamat, awalnya kirain dikirim pake box kayu, ternyata engga, pake bubble wrap, sedikiittt penyok dikit beberapa sisi, tapi untungnya dalemnya am... "
a***r,
Surya,
asriel,
K***a,
Oktavia,
