nama,komentar
K***n,"Kualitas produk udah dijamin bagus, performa kencang, desain mewah terupdate, spesifikasinya lumayan, garansi iBox pooll. Tapi sayang, kali ini giliran Saya yg nambah ko... "
dandyfebriansyah,barang bagus cuman dus agak penyok gara gara packing.. overall bagus ya
V***a,"Barang sesuai, Macbook berfungsi dengan baik, paket hanya dipacking dengan bubble wrap sehingga ujung-ujung box tidak rapih, sampai tepat waktu"
F***l,"Barang original tapi ternyata punyanya Malaysia. Jadi chargernya kaki 3 sementara gapunya adaptor pas unbox udah malem akhirnya gabisa langsung dipake 😭 Sisanya oke sih... "
Rudi,"semua sesuai hanya box nya penyok, mungkin jatuh pada saat perjalanan.. thanks."
Nora,respon admin cepat pengiriman lumayan packing tidak sesuai krn tidak pakai packing kayu padahal sudah dibayar jadinya kotaknya penyok2 untung isi dalamnya masih aman
I***n,Protector hukan peruntukannya jd nggak ke pake
Ademas,"Bayar instant dari malem sblmnya, katanya biar masuk pengiriman besok pagi, udh di chat2 tetep aja ternyata kirimnya siang, udh 3 jam pengiriman, gak gerak2 masih di slip... "
T***t,Barang nya oke n cuma sayang pelayanan nya harus ditingatin lagi
Hanif,"Alhamdulillah, akhirnya barangnya nyampe juga 😌👍 Barang sampai dengan selamat dan cepat, dapat bonus mouse juga. Terimakasih Studio Ponsel, pelayanannya memuaskan 🙏 ta... "
Herdi,"Laptop sesuai dgn deskripsi, sayang packaging cuman bubble wrap..penyok penyok dusnya"
Herdi,"Laptop sesuai dgn deskripsi, sayang packaging cuman bubble wrap..penyok penyok dusnya"
