,nama,komentar,rating
0,j***f,Barang Ok.. BNIB Packing bubble warp tebal.. Seller responsive.. Kirim pakai JNE lambat.. 5 hari muter2 di jakarta terus barangnya..,5
1,Tiee,Barang mulus dan baik min. Cepat hari itu juga sampai. Terbaek,5
2,k***a,trusted,5
3,Arif,wih barang nya udh sampai cepat,5
4,Shanty,"Pertama beli iphone disini, trus skg macbook air M1. Happy dan puas bgt. Barang asli ibox, packaging rapi, bubble wrap extra, pengiriman ke Bali cepet dan aman. Admin ger... ",5
5,E,"toko reckomen,, CS ramah 🙏 laptopnya seperti yg di harapkan.. terima kasih semoga awet..",5
6,Mohammad,"Respon oke barang baru, cuman kalo mw di install free office nya sensasi unboxing nya hilang 🤣 overall bagus rec seller",5
7,S***f,"Seller respon cepat bosku, barang ori langsung cek out bosku",5
8,E***n,"service nya sangat cepat dan memuaskan, dikasi bonus mouse lagi… thanks ya",5
9,E***i,Mantab,5
10,Eji,puas,5
11,Eji,Recommended,5
12,E***i,mantap...,5
13,E***i,sesuai Pesanan Barang Gres garansi I Box,5
14,Eji,barang Gress... sesuai pesanan,5
15,Hedri,Unit original apple. Cocok dipadukan dg ipad.,5
16,Sam,"PELAYANAN SANGAT BAIK DAN RESPON SANGAT CEPAT, PENGIRIMAN CEPAT DAN PENGIRIMAN PAKAI SI CEPAT JADI SANGAT CEPAT SEMUA HEHEHE. POKOK NYA TERBAIK, TERIMA KASIH",5
17,Mhd,"mouse nya rusak gratis tapi rusak, buat apa?",5
18,Widi,"Original, respon cepat beli dikasih bonus",5
19,Andrew,"Bagus, original, good service, pengiriman gosend cepet",5
20,I***n,Barang original,5
21,S***a,Pelayanan memuaskan selama proses pembelian. Trusted.,5
22,hilmi,Topp seller semoga aman dan awet👍🏻👍🏻,5
23,Ina,udah beli 3macbook dari sini all good. respon admin jg cepat. thanks ya,5
24,Ina,udah beli 3macbook dari sini all good. respon admin jg cepat. thanks ya,5
25,Andhika,toko langganan dari sebelum punya toko di tokped cheers bang,5
26,L***s,jos gandos!,5
27,R***a,Trusted! Sellernya informatif ngejawab semua pertanyaan daan fast response banget. Thank you seller,5
28,Mohamad,"Barang datang dengan packing rapi, full bubble wrap, dapet bonus pelindung keyboard, mouse, dan office sesuai deskripsi. Barang sejauh ini aman banget, garansi aman sudah... ",5
29,A***n,"Toko terbaik sih ini memang. Respon seller cepat, harga lebih murah dari toko-toko lain, packing sangat baik (bubble wrap berlapis-lapis dan double box), pengiriman langs... ",5
30,Abie,"Top pelayananya ,Terpercaya ,barang tiba dgn selamat , semoga awet barangnya",5
31,abibold,"Sesuai request, mantab, semoga barang aman selalu biar gak ganggu admin dgn garansinya. Minta video unboxing dikasih, di install in juga ms officenya",5
32,Theresia,Cepet banget penjual juga ramah aman bangett beli disini thankyouu,5
33,Herwanto,Mantap banget,5
34,I***n,"Seller responsif, helpful, dan pengiriman cepat",5
35,Ali,"Aman cepat terjamin asik cashback nya pun mantap, chat responsive dan kualitas terjamin. Recommended 👌🏽",5
36,Isti,"udah riset kesana kemari, dan gue memutuskan beli di sini. good store",5
37,Disky,"Sellernya mantap responsif sekali, pesan pagi, 2 jam kemudian sampai, barang segel dikasih bonus pula, mantap.. makasih gan! ga ragu beli disini!",5
38,M***e,lancar jaya setelah dipakai 3 minggu,5
39,Prita,"Macbook air berjalan lancar dan mulus pas sampai di rumah. Cuma agak kesulitan untuk install free office-nya. But, it’s okay! Selama laptop bisa digunakan dengan baik, se... ",5
