,Unnamed: 0,nama,komentar,rating,kelas
0,0,Adikrisna,"Admin responsif mantap, untuk barang memang ada harga ada barang, tapi overall sip!",5,Sangat-baik
1,1,Adhan,"laptop agak cepet panas, barang lengkap semoga awet",5,Sangat-baik
2,2,Heri,"Untuk pemakaian kerja ringan seperti mengetik dan browsing perangkat ini sudah sangat memadai, boleh dikatakan lebih dari cukup. Pengiriman cepat sampai, terimakasih sell... ",5,Sangat-baik
3,3,oca,makasiiiii,5,Sangat-baik
4,4,A***d,Bagus,5,Sangat-baik
5,5,j***o,mantapppp,5,Sangat-baik
6,6,nurmala,pelayanan nya ramah❤,5,Sangat-baik
7,7,Jannatun,"Saya beli untuk anak. Dan anak pun suka. Mudah dioperasikan, bahannya bagus. Top!",5,Sangat-baik
8,8,wegig,"bagus produknya, dan sesuai untuk pekerjaan2 yg tidak membutuh aplikasi yg berat2...",5,Sangat-baik
9,9,P***u,Ketika barang sampai saya merasa puas sebab barang benar-benar mulus. Ekspektasi terhadap chromebook membuat saya sangat antusias. laptop juga tidak terkesan murahan. goo... ,5,Sangat-baik
10,10,Arif,ManTRAPS,5,Sangat-baik
11,11,N***m,Mantaap kualitas bagus barang cepat nyampe juga,5,Sangat-baik
12,12,C***s,Terima kasih,5,Sangat-baik
13,13,Julfandes,"Puas banget sama pelayannya, returnnya juga mudah dan tidak dipersulit. Baru pertama kali beli laptop eh kena Hot Pixel, untung masih bisa direturn dengan syarat vido unb... ",5,Sangat-baik
14,14,Tentra,"Bekerja dengan baik laptopnya… lalu untuk packaging aman, cm mgkn buat ke depannya bs lebih tebal lagi wrap nya. Ketika barang sudah sampai kalau bs ada bukti foto yang n... ",5,Sangat-baik
15,15,F***e,"tidak menyesal beli di toko ini.. : 1. respon cepat 2.barang di pack rapi dan di buble wrap 3.brg mulus tiba di buyer 4.utk kualitas brg: performa bagus, bentuk compact,... ",5,Sangat-baik
16,16,Sapto,Semoga awet. Mantap.,5,Sangat-baik
17,17,kinderjoy,Value for money,5,Sangat-baik
18,18,ahdiyat,"Sempat kena drama keluh kesah belanja online, tapi seller sangat responsif menyelesaikan masalah gak pake ribet. Untuk pelayanan, top notch juara pisan. Kalo laptopnya g... ",5,Sangat-baik
19,19,adiptawf,Proses cepat,5,Sangat-baik
20,20,I***a,"Sesuai ekspektasi. Performanya lancar jaya walaupun chipsetnya, ya tau sendiri lah. Secara keseluruhan memuaskan, walaupun minusnya mungkin di speaker yang kurang bisa le... ",5,Sangat-baik
21,21,Adam,Produk nya berkualitas. Produknya recommended dan berkualitas!. Produk mantap..Pengiriman juga cepat.. Packing aman Jaya..Terima kasih bos.. Sukses selalu🙏🙏👍👍,5,Sangat-baik
22,22,Woen,"Build quality bagus, performa utk chromebook kencang, desain lumayan, seller komunikatif",5,Sangat-baik
23,23,Antonio,Ini adalah pertama kalinya saya beli chromebook. Berawal dari review gadgetin ttg benda satu ini dari toko satu ini lalu david gadgetin bilang buat apa beli laptop mahal... ,5,Sangat-baik
24,24,r***a,"sudaah sampaii niihh, suka bgt smaa kakanyaaa sabarr ngadepin chat aku ehehe besttt bgtt dehh terimakasiih puass bgtt 🥰🥰",5,Sangat-baik
25,25,H***l,"bagus, mulus gak ngelag, ringan",5,Sangat-baik
26,26,Tegar,"barang oke , recommended seller",5,Sangat-baik
27,27,Samuel,❤️❤️,5,Sangat-baik
28,28,Siti,"Mantap min, paket sampai dengan aman. Sesuai ekspektasi.",5,Sangat-baik
29,29,e***a,Barang datangnya cepet sekali. Sudah sampai dan langsung dipakai buat kerja. Ini laptop harga 1jtan tapi cepet banget dibandingkan laptop windows 5jtan saya 👍🏻,5,Sangat-baik
30,30,N***a,"sampai dengan amann, gercep banget utk seller dan ekspedisinya. langsung di proses dan langsung sampai. paket juga aman",5,Sangat-baik
31,31,Ridho,Sesuai ekspektasi,5,Sangat-baik
32,32,Adityo,"cocok untuk orang yang bener"" tau tujuannya beli laptop ini untuk apa 😁🙏",5,Sangat-baik
33,33,I***d,sesuai ekspektasi... kirain pakai wifi rumahan g bisa ternyata bisa....ITS ok lah,5,Sangat-baik
34,34,Moh,ok good,5,Sangat-baik
35,35,Yoanfara,"Alhamdhulillah bgs barangnya video unboxingnya menyusul, overall bgs cocok utk kerja edit tipis dan foto, makasih gan 😁🙏👍",5,Sangat-baik
