,Unnamed: 0,nama,komentar,rating,kelas,Unnamed: 0.1
0,0.0,M***d,"Fast respon dan barang bnib, sy sdh beberapakali belanja di toko ini dan tidak pernah mengecewakan",5,Sangat-baik,
1,1.0,Yovinus,"Mantap Jiwa deh pokoknya, aktif ngebalas, dan sellernya ramah",5,Sangat-baik,
2,2.0,A***i,best cepet banget pesen jam 1 sore jam 5 sampe,5,Sangat-baik,
3,3.0,E***h,barangnya okee pengiriman jg cepat krn pake instant. sayangnya segel box laptop udah kekupas sedikit dan box penyok (bukan kesalahan kurir) garansi di website apple sisa... ,5,Sangat-baik,
4,4.0,Anessa,"mantulll... pengiriman cepat, ke papua kurang dari 1 minggu. barang aman meski cuma pake bubble wrap. barang ori. chat seller responsif. recomended seller 👍",5,Sangat-baik,
5,5.0,M***z,"seller fast respond, macbook nya garansi blm jalan packingnya jg aman karna pake packing kayu",5,Sangat-baik,
6,6.0,R***d,Brg sesuai pesanan 👍🏼,5,Sangat-baik,
7,7.0,H***z,Barang baru sesuai dengan informasi,5,Sangat-baik,
8,8.0,Young,Bagus banget udah 2 buln di pakai gada kendala,5,Sangat-baik,
9,9.0,H***i,"seller sangat responsif saat ada pertanyaan merupakan nilai plus. Barang mulus, cycle count baru 6 dan masih dapat garansi sampai oktober 2023",5,Sangat-baik,
10,10.0,ALI,Black peel nya macam di tempel balik hmmmm. Produk minta yg garansi blm aktif tp dikirim yg sudah aktif. Untung produk ok,4,Baik,
11,11.0,B***n,Bagus aja,4,Baik,
12,12.0,Nurdin,"Barangnya oke, asli apple MacBook, dicek garansi sesuai tanggal beli, hanya saja pengiriman kurang komunikatif adminnya dan driver grab instannya ganti2 terus sampai beso... ",4,Baik,
13,13.0,Ayu,"Sesuai deskripsi, terimakasih bonusnya",4,Baik,
14,14.0,J***n,"barang sangat bagus, cs juga responsif nanya apa dijawab, cm sebelum membeli saya nanya bonus hardcasenya ada ga, ktnya ada tp ketika sampai cm keyboard cover aja. overal... ",4,Baik,
15,15.0,Shellshark,barang sesuai pesanan dan packing bagus,4,Baik,
16,16.0,Ahmad,"pas pesen, tulisan di etalase nya available yang warna Gold, jadi pesan yang itu. tapi setelah check out, di chat kalo ternyata stock nya ngga ada. jadi diganti ke warna... ",4,Baik,
