,nama,komentar,rating,kelas
0,Ahmad,touchpad seret susah digerakin,3,Biasa
1,hendi,,2,Buruk
2,nur,batrai cpet abis,3,Biasa
3,Bismllahn,ok,3,Biasa
4,Listiyo,Laptopnya sekarang mati ..tidak bisa dinyalakan,1,Sangat-buruk
5,Alessandra,brang tidak bagus.. keyboard banyak tidak fungsi.. sdh ganti keyboard masih tidak bisa ..rusak mainboard.. tidak di rekomendasikan.. jangan belanja dsini.. kecewa berat.... ,1,Sangat-buruk
6,salam,"Bintang satu artinya....""TAK SESUAI HARPAN"".",1,Sangat-buruk
7,FERRY,tidak sesuai deskripsi,1,Sangat-buruk
8,L***i,"teknisi tidak ramah, terkesan gak mau direpotkan, malah judgemental ke pembeli",1,Sangat-buruk
9,a***e,mohon dibantu teman teman. penjual toko ini baik banget spartpart kondisi normal yg dikirim. semoga berkah unit lapotnya yg saya beli,1,Sangat-buruk
10,R***i,,1,Sangat-buruk
11,Sonya,"Beli 5, 1 kendala cmos, 2 port lan ga bisa connect lan. Colokan gepeng semuanya ternyata😂",3,Biasa
12,Iwan,"pesen yg yg ram 8 GB di ksh yg 4gb..ga sesuai harapan,",3,Biasa
13,Dicky,kondisi barang banyak bekas stiker yg gak dicopot2in & gak dibersihkan dulu,3,Biasa
14,S***o,"respon cepat, mainboard normal, baterai ok, charger adaptor not ori, fisik bekas-baik, kesehatan HDD 72% banyak bad sector. setelah di install ulang bad sector nambah se... ",3,Biasa
15,fatih,Unit yg saya dapat burik kondisinya. Semoga tambah jujur jualan nya,1,Sangat-buruk
16,H***n,"di deskripsi tertera + Dual Batrai normal tapi setelah 2 hari baterai tidak support, katanya dapat tas juga ternyata tidak tapi bukan itu masalahnya, masalahnya adalah la... ",1,Sangat-buruk
17,e***i,semoga awet . barang mulus.,5,Sangat-baik
18,Muhammad,Mantabbbbbbbbbbbbbbbbbbbbbbb,5,Sangat-baik
19,D***i,"udah dicek, spek sesuai deskripsi dan sejauh ini semua fitur berfungsi. worthy banget sih harga affordable dan kualitas oke. semoga bisa awet jangka panjang. thank you",5,Sangat-baik
20,A***n,"Semoga awet amin, recommended.",5,Sangat-baik
21,R***K,Sesuai spek,5,Sangat-baik
22,Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih",5,Sangat-baik
23,Haniv,"recommended 👍👍,.",5,Sangat-baik
24,Budi,mantuuul,5,Sangat-baik
25,Warmsilo,"respon cepat, masih mulus juga.",5,Sangat-baik
