,Unnamed: 0,nama,komentar,rating,kelas
0,0,Ahmad,touchpad seret susah digerakin,3,Biasa
1,1,hendi,,2,Buruk
2,2,nur,batrai cpet abis,3,Biasa
3,3,Bismllahn,ok,3,Biasa
4,4,Listiyo,Laptopnya sekarang mati ..tidak bisa dinyalakan,1,Sangat-buruk
5,5,Alessandra,brang tidak bagus.. keyboard banyak tidak fungsi.. sdh ganti keyboard masih tidak bisa ..rusak mainboard.. tidak di rekomendasikan.. jangan belanja dsini.. kecewa berat.... ,1,Sangat-buruk
6,6,salam,"Bintang satu artinya....""TAK SESUAI HARPAN"".",1,Sangat-buruk
7,7,FERRY,tidak sesuai deskripsi,1,Sangat-buruk
8,8,L***i,"teknisi tidak ramah, terkesan gak mau direpotkan, malah judgemental ke pembeli",1,Sangat-buruk
9,9,a***e,mohon dibantu teman teman. penjual toko ini baik banget spartpart kondisi normal yg dikirim. semoga berkah unit lapotnya yg saya beli,1,Sangat-buruk
10,10,R***i,,1,Sangat-buruk
11,11,Sonya,"Beli 5, 1 kendala cmos, 2 port lan ga bisa connect lan. Colokan gepeng semuanya ternyata😂",3,Biasa
12,12,Iwan,"pesen yg yg ram 8 GB di ksh yg 4gb..ga sesuai harapan,",3,Biasa
13,13,Dicky,kondisi barang banyak bekas stiker yg gak dicopot2in & gak dibersihkan dulu,3,Biasa
14,14,S***o,"respon cepat, mainboard normal, baterai ok, charger adaptor not ori, fisik bekas-baik, kesehatan HDD 72% banyak bad sector. setelah di install ulang bad sector nambah se... ",3,Biasa
15,15,fatih,Unit yg saya dapat burik kondisinya. Semoga tambah jujur jualan nya,1,Sangat-buruk
16,16,H***n,"di deskripsi tertera + Dual Batrai normal tapi setelah 2 hari baterai tidak support, katanya dapat tas juga ternyata tidak tapi bukan itu masalahnya, masalahnya adalah la... ",1,Sangat-buruk
17,0,e***i,semoga awet . barang mulus.,5,Sangat-baik
18,1,Muhammad,Mantabbbbbbbbbbbbbbbbbbbbbbb,5,Sangat-baik
19,2,D***i,"udah dicek, spek sesuai deskripsi dan sejauh ini semua fitur berfungsi. worthy banget sih harga affordable dan kualitas oke. semoga bisa awet jangka panjang. thank you",5,Sangat-baik
20,3,A***n,"Semoga awet amin, recommended.",5,Sangat-baik
21,4,R***K,Sesuai spek,5,Sangat-baik
22,5,Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih",5,Sangat-baik
23,6,Haniv,"recommended 👍👍,.",5,Sangat-baik
24,7,Budi,mantuuul,5,Sangat-baik
25,8,Warmsilo,"respon cepat, masih mulus juga.",5,Sangat-baik
26,9,Maulana,2x pesan barang yg dikirim mantap tidak mengecewakan dapat barang yg muluss battery bahkan kuat 5jam,5,Sangat-baik
27,10,Y***s,"bagusssss, semoga awet🙇‍♂️ seller responsif, thank you jangan ragu beli disini guys, super recomended🥳 thanks juga Pak Pos Indonesia",5,Sangat-baik
28,11,Achmad,"barang sudah sampai, barang sesuai dengan pesanan, di test lancar,internet jalan, ringan. thanks ya gan,,,,",5,Sangat-baik
29,12,Teguh,"dapet barang mulus banget, mantep lah pokok na",5,Sangat-baik
30,13,H***r,oke,5,Sangat-baik
31,14,D***e,"Murah tp ga murahan. Sempet maju mundur buat beli, karena ga pernah beli brg second (takut zonk) tp abis mikir2 kalo buat kerja data doang ngapain mahal2. Akhirnya berani... ",5,Sangat-baik
32,15,Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih",4,Baik
33,16,M***d,lumayan bagus. hanya ad sdikit goresan di kesing. tapi tdk mempengaruhi performa,4,Baik
34,17,A***s,"Cukup mulus, cukup curiga setelah barang mendarat.bodi atas bagian engsel layar sebelah kanan terbuka, saya kira pecah ternyata tekniksi lupa mengencang semua baut. perfo... ",4,Baik
35,18,Gallan,"laptop aman normal, cuma adaptornya ada masalah",4,Baik
36,19,S***o,"pengiriman cepat, sesuai spesifikasi",4,Baik
37,20,E***a,"respon penjual cepat,jg membantu Krn kiriman yg lebih dr estimasi pengiriman.packin msh aman ,produk berjalan sesuai..msh bagus. thanks",4,Baik
38,21,H***n,"pembelian kesekian kalinya. pelapak sangat komunikatif, sangat bertanggung jawab siap ganti unit baru jika ada troble dan layanannya sangat cepat. pembelian kali ini mala... ",4,Baik
39,22,w***n,Barang sesuai dengan deskripsi,4,Baik
40,23,Asril,ok sih barangnya cuma agak kecewa krna tombol merah (trackpad) d tengahya ga ada,4,Baik
41,24,Erik,"Secara keseluruhan bagus , fungsi baik , btrai awet Tapi ada pinggir nya yg gak rapet",4,Baik
42,25,P***o,masih mulus dan sesuai Spec diiklankan,4,Baik
43,26,Amir,"leptop sesuatu deskripsi aman mulus dan bekerja, cuma kurang kepala charger aja tp amanlah gapapa",4,Baik
44,27,Aditya,oke udah direspon,4,Baik
45,28,A***n,"overall mantap dri sekian kali mesen di sini ok semua, untuk unit yang ini keren ,kurang di speaker aja kurang kenceng suaranya, sama chargernya pake sambungan bukan yan... ",4,Baik
46,29,M,barangnya sdh sampai sesuai harapan 👍😍 tp terlambat dipengirimannya tp gak ap2 sich yg penting smpai barangnya 🙏😇🥰,4,Baik
47,30,F***h,"barang sudah dicek sementara belum ada kendala kondisi laptop bagus, minus kurir lambat.",3,Biasa
48,31,Ari,"Ada body laptopnya yang tidak terpasang dengan benar sehingga terlihat tidak enak, tetapi semua fungsi oke hanya sedikit kecewa dengan seller karena body laptopnya saja",3,Biasa
49,32,Ivan,barangnya mulus,3,Biasa
50,33,Edwardo,Salah satu rumah baut cover belakangnya slek* pas coba buat dikencengin tetep tidak bisa rapat. Jangan terlalu berharap sama barang second soal kondisi fisik. Fungsi aman... ,3,Biasa
51,34,Baut,"Di deskripsi katanya dapat sticker keyboard gratis, ternyata ga dikasih, di chat ssd katanya 2245 (2242) pas dibuka ternyata ssd 2,5""",3,Biasa
52,35,yusuf,Pengiriman,3,Biasa
53,36,Irfan,sesuai deskripsi. bintang 3 krn pengiriman doang agak telat,3,Biasa
54,37,Dio,"beli pertama puas, beli yg kedua, aplikasi tdk berfungsi dg baik",2,Buruk
55,38,Arie,Penjual kurang gercep sat set sat set,2,Buruk
56,39,i***n,"Barang tidak sesuai deskripsi, body ada retak dan kepala charher sompal",1,Sangat-buruk
57,40,R***a,"barang datang, bagian layar ada yang terbuka. akhirnya barang diretur. setelah diretur barang tidak langsung dikirim balik sampai 2 hari, itu pun harus diingatkan di chat... ",1,Sangat-buruk
58,41,L***o,kebanyakan trik.,1,Sangat-buruk
59,42,Tuki,"gw pernah beli notebook ini, tepatnya beli rongsokan seharga 5 jt, keyboard macet +-17 digit, habis di sleep pasti layar error! garansi sebulan apanya!!!, ditanya ""g... ",1,Sangat-buruk
60,0,santoso,layar pecah,1,
61,1,Bagus,"gak sesuai gambar, kabel charger mati, casing belakang gak rapet, di tutup lakban, mousepad di klik susah, body asli 80-85%, gak sesuai sama foto, ada bekas kayak kebakar... ",1,
62,2,Priatna,kecewa banget udah beli disini. banyak keybord yg rusak. pas di komplain katanya garansi udah void. padahal saya baru beli sekitar 25 hari belom sampe sebulan. gak sesua... ,1,
63,3,E***o,Customer service nya jelek sekali!! Tidak Rekomendasi sama sekali!!,1,
