,komentar,rating,label
0,terima kasih gan barang sudah mendarat dengan selamat 👍🏻👍🏻 ada beberapa dent yang seperti nya bekas jatuh dan juga ada keyboard yang coak seperti kena rokok.,4,positif
1,"baterainya boros, dan touchpad sering geser sendiri ketika disentuh",4,positif
2,"Puas, barusan barang tiba dan sedang disedang digunakan. Tapi perlu cek beberapa hari ini semoga tetap lancar..",4,positif
3,"Meskipun mundur sehari dari jadwal semula namun tidak apa-apa, aplikasi dan driver masih versi lama, sedang diupgrade sendiri, bintang 4 cukup ya 🙏🏾👍",4,positif
4,"packing memuaskan rapih dan aman, untuk semuanya tidak ada komplain saya suka mantap min 👍🏼",4,positif
5,Kaca kamera ga ada Selebihnya insyaallah aman,4,positif
6,kondisi fisik baik,4,positif
7,"Barang yg dikirim kurang sip,bagian lcd kebuka dan tidak bisa nutup rapet,,stiker thinkpad bagian dalam tidak ada,,penjual responya bagus,,",4,positif
8,"okey, batrainya bertahan 2jam",4,positif
9,"Puas, seller sangat membantu .",4,positif
10,batre nya cuman kuat 1jam yg lain nya sih lancar,4,positif
11,"barang sesuai, semoga awet.",4,positif
12,barang sudah diterima dengan baik hanya kondisi fisiknya saja yang kurang. terimakasih,4,positif
13,"kerennn banget laptopnya, penjualnya juga bagus ramah, santun, & sabar melayani. Setelah laptop datang, Auto langsung saya pakai buat Programing & coding 🤩 Nam... ",4,positif
14,"datengnya ke Semarang cepet sih 2 hari doang, barangnya mulus, ternyata udah backlit keyboard, bisa scroll 2 jari, layarnya bukan pake TN paketnya IPS keren sih jadi mau... ",4,positif
15,keyboard nya banyak yang ketukar😭 harus ditempel bagian keyboardnya,4,positif
16,"Barang bagus, masih mulus walaupun bekas. booting cepet pake SSD storage",4,positif
17,Barangnya dalam kondisi baik,4,positif
18,"Jangan memiliki ekspektasi tinggi, biasa saja ekspektasinya, namanya juga laptop second (mungkin) eks luar negeri... khawatir kecewa...",4,positif
19,performanya mantap.,4,positif
20,barang mulus 95% semua sesuai deskripsi. seller responsif. recommended.,4,positif
21,"Barangnya bagus, respon penjual cepat. Semoga barangnya awet. Terimakasih.",4,positif
22,"Pengiriman cepat, packing mantap, dapet bonus mouse lagi.. Cuma sayangnya bukan tas selempang hehe. Semoga aman2 aja kedepannya dan awet. Edit: ternyata mikrofon gk ja... ",4,positif
23,,4,positif
24,"dapat unit yg mulus secara fisik, tp sayang cuma baterainya yg g bisa bertahan lebih dari 1 jam, berasa kurang nyaman aja sih. sepertinya karena ini unit terakhir yg ada,... ",3,netral
25,"keyboard nya udah di ganti, engga ori lagi",3,netral
26,ada sticker yg menutupi bagian cover atasnya mungkin karna ada goresan di sana. huruf di keyboard beberapa tidak kelihatan. tapi after all worth it lah di harga segitu.,3,netral
27,"Cukup bagus, body mulus seperti baru. Hanya saja ada beberapa minus menurut saya, saat laptop sleep trus pas nyala lagi wifi ga bisa auto konek, musti di trouble solving... ",3,netral
