nama,komentar
Sri,"Halo Erigo, salah pengiriman Brg dan saya komplain dari pihak erigo meminta saya untuk membatalkan komplain saya supaya dia bisa mengirim Brg sesuai pesanan saya. tetapi... "
r***e,kirimnya lams kali
yeni,"QCnya gimana? sudah dikasih note untuk cek barang sebelum dikirim, masih aja lolos kaos yg jahitannya gk sempurna."
Abdul,"Pembelian pertama bulan lalu bagus, pembelian ke dua pengiriman sangat lambat."
motivation,pesan ukuran XXL tapi kaya ukuran L
J***n,saya sangat kecewa respon lama apalagi yang jawab chat robot & proses pengiriman sangat lama harus 3 hari
azril,"Pretttt lahhh eligo, sdh lama di pickup & tdk bisa tukar ukuran padahal blm dikirim"
syahrul,size XL tidak sesuai dengan ukurannya beda
Rahmansyah,proses dan pengiriman lama seller kurang responsif nyesal beli di sini
Marcellino,bahan tipis
T***n,size nggak sesuai dengan pesanan
sihar,pengiriman lama
S***n,Cs utk konfirm lama pake bangetttt
Ryan,"kok gambar ini ukuran M kekecilan sih , padahal model lain pas..sama jga ukuran M.."
E***a,"jahitan ga rapi,kurang memuskan pokonya"
Adrian,barang gagal pick up 5*
Hardi,Barang gak sesuai pesanan Mau komplain takut ribet dan udah terlanjur kepencet botton selesai
H***a,proses dan pengiriman lama seller kurang responsif nyesal beli di sini
Okky,bahan tipis
T***n,size nggak sesuai dengan pesanan
sihar,pengiriman lama
S***n,Cs utk konfirm lama pake bangetttt
Ryan,"kok gambar ini ukuran M kekecilan sih , padahal model lain pas..sama jga ukuran M.."
E***a,"jahitan ga rapi,kurang memuskan pokonya"
Adrian,barang gagal pick up 5*
Hardi,Barang gak sesuai pesanan Mau komplain takut ribet dan udah terlanjur kepencet botton selesai
H***a,proses dan pengiriman lama seller kurang responsif nyesal beli di sini
Okky,bahan tipis
T***n,size nggak sesuai dengan pesanan
sihar,pengiriman lama
S***n,Cs utk konfirm lama pake bangetttt
Ryan,"kok gambar ini ukuran M kekecilan sih , padahal model lain pas..sama jga ukuran M.."
E***a,"jahitan ga rapi,kurang memuskan pokonya"
Adrian,barang gagal pick up 5*
Hardi,Barang gak sesuai pesanan Mau komplain takut ribet dan udah terlanjur kepencet botton selesai
H***a,proses dan pengiriman lama seller kurang responsif nyesal beli di sini
Okky,bahan tipis
T***n,size nggak sesuai dengan pesanan
sihar,pengiriman lama
S***n,Cs utk konfirm lama pake bangetttt
Ryan,"kok gambar ini ukuran M kekecilan sih , padahal model lain pas..sama jga ukuran M.."
E***a,"jahitan ga rapi,kurang memuskan pokonya"
Adrian,barang gagal pick up 5*
Hardi,Barang gak sesuai pesanan Mau komplain takut ribet dan udah terlanjur kepencet botton selesai
H***a,
Okky,
